kode_provinsi ;nama_provinsi;kode_kabupaten_kota;nama_kabupaten_kota;kode_kecamatan;nama_kecamatan;data_pokok;tahun_ajaran;status;jenjang_pendidikan;jumlah
15;JAMBI;1508;Kab. Bungo;150802;Rantau Pandan;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SLB;0
15;JAMBI;1508;Kab. Bungo;150802;Rantau Pandan;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SMA;1
15;JAMBI;1508;Kab. Bungo;150802;Rantau Pandan;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SMK;0
15;JAMBI;1508;Kab. Bungo;150802;Rantau Pandan;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SLB;0
15;JAMBI;1508;Kab. Bungo;150802;Rantau Pandan;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SMA;0
15;JAMBI;1508;Kab. Bungo;150802;Rantau Pandan;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SMK;0
15;JAMBI;1508;Kab. Bungo;150813;Rimbo Tengah;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SLB;1
15;JAMBI;1508;Kab. Bungo;150813;Rimbo Tengah;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SMA;4
15;JAMBI;1508;Kab. Bungo;150813;Rimbo Tengah;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SMK;0
15;JAMBI;1508;Kab. Bungo;150813;Rimbo Tengah;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SLB;1
15;JAMBI;1508;Kab. Bungo;150813;Rimbo Tengah;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SMA;0
15;JAMBI;1508;Kab. Bungo;150813;Rimbo Tengah;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SMK;0
15;JAMBI;1508;Kab. Bungo;150805;Tanah Sepenggal;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SLB;0
15;JAMBI;1508;Kab. Bungo;150805;Tanah Sepenggal;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SMA;2
15;JAMBI;1508;Kab. Bungo;150805;Tanah Sepenggal;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SMK;1
15;JAMBI;1508;Kab. Bungo;150805;Tanah Sepenggal;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SLB;0
15;JAMBI;1508;Kab. Bungo;150805;Tanah Sepenggal;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SMA;0
15;JAMBI;1508;Kab. Bungo;150805;Tanah Sepenggal;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SMK;0
15;JAMBI;1508;Kab. Bungo;150817;Tanah Sepenggal Lintas;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SLB;0
15;JAMBI;1508;Kab. Bungo;150817;Tanah Sepenggal Lintas;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SMA;2
15;JAMBI;1508;Kab. Bungo;150817;Tanah Sepenggal Lintas;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SMK;0
15;JAMBI;1508;Kab. Bungo;150817;Tanah Sepenggal Lintas;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SLB;0
15;JAMBI;1508;Kab. Bungo;150817;Tanah Sepenggal Lintas;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SMA;0
15;JAMBI;1508;Kab. Bungo;150817;Tanah Sepenggal Lintas;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SMK;0
15;JAMBI;1508;Kab. Bungo;150801;Tanah Tumbuh;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SLB;0
15;JAMBI;1508;Kab. Bungo;150801;Tanah Tumbuh;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SMA;2
15;JAMBI;1508;Kab. Bungo;150801;Tanah Tumbuh;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SMK;0
15;JAMBI;1508;Kab. Bungo;150801;Tanah Tumbuh;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SLB;0
15;JAMBI;1508;Kab. Bungo;150801;Tanah Tumbuh;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SMA;0
15;JAMBI;1508;Kab. Bungo;150801;Tanah Tumbuh;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SMK;0
15;JAMBI;1501;Kab. Kerinci;150105;Air Hangat ;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SLB;0
15;JAMBI;1501;Kab. Kerinci;150105;Air Hangat ;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SLB;0
15;JAMBI;1501;Kab. Kerinci;150105;Air Hangat ;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SMA;0
15;JAMBI;1501;Kab. Kerinci;150105;Air Hangat ;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SMA;1
15;JAMBI;1501;Kab. Kerinci;150105;Air Hangat ;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SMK;0
15;JAMBI;1501;Kab. Kerinci;150105;Air Hangat ;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SMK;0
15;JAMBI;1501;Kab. Kerinci;150121;Air Hangat Barat;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SLB;0
15;JAMBI;1501;Kab. Kerinci;150121;Air Hangat Barat;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SLB;0
15;JAMBI;1501;Kab. Kerinci;150121;Air Hangat Barat;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SMA;1
15;JAMBI;1501;Kab. Kerinci;150121;Air Hangat Barat;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SMA;0
15;JAMBI;1501;Kab. Kerinci;150121;Air Hangat Barat;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SMK;0
15;JAMBI;1501;Kab. Kerinci;150121;Air Hangat Barat;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SMK;1
15;JAMBI;1501;Kab. Kerinci;150111;Air Hangat Timur;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SLB;0
15;JAMBI;1501;Kab. Kerinci;150111;Air Hangat Timur;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SLB;1
15;JAMBI;1501;Kab. Kerinci;150111;Air Hangat Timur;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SMA;2
15;JAMBI;1501;Kab. Kerinci;150111;Air Hangat Timur;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SMA;0
15;JAMBI;1501;Kab. Kerinci;150111;Air Hangat Timur;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SMK;0
15;JAMBI;1501;Kab. Kerinci;150111;Air Hangat Timur;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SMK;0
15;JAMBI;1501;Kab. Kerinci;150107;Batang Merangin;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SLB;0
15;JAMBI;1501;Kab. Kerinci;150107;Batang Merangin;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SLB;0
15;JAMBI;1501;Kab. Kerinci;150107;Batang Merangin;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SMA;2
15;JAMBI;1501;Kab. Kerinci;150107;Batang Merangin;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SMA;0
15;JAMBI;1501;Kab. Kerinci;150107;Batang Merangin;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SMK;0
15;JAMBI;1501;Kab. Kerinci;150107;Batang Merangin;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SMK;0
15;JAMBI;1501;Kab. Kerinci;150120;Bukit Kerman;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SLB;0
15;JAMBI;1501;Kab. Kerinci;150120;Bukit Kerman;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SLB;0
15;JAMBI;1501;Kab. Kerinci;150120;Bukit Kerman;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SMA;1
15;JAMBI;1501;Kab. Kerinci;150120;Bukit Kerman;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SMA;0
15;JAMBI;1501;Kab. Kerinci;150120;Bukit Kerman;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SMK;0
