kode_provinsi;nama_provinsi;kode_kabupaten;nama_kabupaten;kode_kecamatan;nama_kecamatan;nilai_idm_kecamatan;status_idm_kecamatan;tahun
15;JAMBI;1505;MUARO JAMBI;150508;SUNGAI  GELAM;0,8158;MANDIRI;2024
15;JAMBI;1502;MERANGIN;150206;PAMENANG;0,8121;MAJU;2024
15;JAMBI;1502;MERANGIN;150208;TABIR SELATAN;0,8114;MAJU;2024
15;JAMBI;1502;MERANGIN;150216;RENAH PEMBARAP;0,8088;MAJU;2024
15;JAMBI;1505;MUARO JAMBI;150507;SUNGAI  BAHAR;0,8074;MAJU;2024
15;JAMBI;1507;TANJUNG JABUNG TIMUR;150710;GERAGAI;0,8057;MAJU;2024
15;JAMBI;1509;TEBO;150911;VII  KOTO ILIR;0,8053;MAJU;2024
15;JAMBI;1502;MERANGIN;150217;PANGKALAN  JAMBU;0,8033;MAJU;2024
15;JAMBI;1504;BATANGHARI;150406;MARO SEBO ULU;0,8018;MAJU;2024
15;JAMBI;1503;SAROLANGUN;150309;SINGKUT;0,8018;MAJU;2024
15;JAMBI;1509;TEBO;150908;RIMBO ILIR;0,7985;MAJU;2024
15;JAMBI;1501;KERINCI;150109;KAYU ARO;0,7966;MAJU;2024
15;JAMBI;1502;MERANGIN;150221;MARGO TABIR;0,7931;MAJU;2024
15;JAMBI;1501;KERINCI;150119;KAYU ARO BARAT;0,7876;MAJU;2024
15;JAMBI;1509;TEBO;150912;MUARA TABIR;0,7867;MAJU;2024
15;JAMBI;1504;BATANGHARI;150402;MUARA TEMBESI;0,7850;MAJU;2024
15;JAMBI;1505;MUARO JAMBI;150502;SEKERNAN;0,7806;MAJU;2024
15;JAMBI;1509;TEBO;150904;RIMBO BUJANG;0,7715;MAJU;2024
15;JAMBI;1502;MERANGIN;150215;TABIR TIMUR;0,7713;MAJU;2024
15;JAMBI;1508;BUNGO;150811;BATHIN III;0,7698;MAJU;2024
15;JAMBI;1501;KERINCI;150115;GUNUNG TUJUH;0,7669;MAJU;2024
15;JAMBI;1502;MERANGIN;150211;NALO TANTAN;0,7663;MAJU;2024
15;JAMBI;1505;MUARO JAMBI;150504;MARO SEBO;0,7637;MAJU;2024
15;JAMBI;1503;SAROLANGUN;150307;AIR HITAM;0,7625;MAJU;2024
15;JAMBI;1502;MERANGIN;150204;SUNGAI  MANAU;0,7618;MAJU;2024
15;JAMBI;1503;SAROLANGUN;150308;BATHIN VIII;0,7599;MAJU;2024
15;JAMBI;1509;TEBO;150906;VII  KOTO;0,7576;MAJU;2024
15;JAMBI;1507;TANJUNG JABUNG TIMUR;150708;KUALA JAMBI;0,7571;MAJU;2024
15;JAMBI;1501;KERINCI;150108;KELILING DANAU;0,7544;MAJU;2024
15;JAMBI;1507;TANJUNG JABUNG TIMUR;150706;DENDANG;0,7536;MAJU;2024
15;JAMBI;1509;TEBO;150907;RIMBO ULU;0,7534;MAJU;2024
