id;kode_provinsi ;nama_provinsi;kode_kabupaten_kota;kode_kecamatan;data_pokok;tahun_ajaran;status;jenjang_pendidikan;jumlah
189;15;JAMBI;1501;150106;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SMA;1
190;15;JAMBI;1501;150106;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SMA;0
191;15;JAMBI;1501;150106;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SMK;0
192;15;JAMBI;1501;150106;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SMK;1
193;15;JAMBI;1501;150101;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SLB;0
194;15;JAMBI;1501;150101;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SLB;0
195;15;JAMBI;1501;150101;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SMA;1
196;15;JAMBI;1501;150101;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SMA;0
197;15;JAMBI;1501;150101;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SMK;0
198;15;JAMBI;1501;150101;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SMK;0
199;15;JAMBI;1501;150115;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SLB;0
200;15;JAMBI;1501;150115;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SLB;0
201;15;JAMBI;1501;150115;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SMA;0
202;15;JAMBI;1501;150115;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SMA;1
203;15;JAMBI;1501;150115;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SMK;1
204;15;JAMBI;1501;150115;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SMK;0
205;15;JAMBI;1501;150109;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SLB;0
206;15;JAMBI;1501;150109;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SLB;0
207;15;JAMBI;1501;150109;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SMA;1
208;15;JAMBI;1501;150109;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SMA;0
209;15;JAMBI;1501;150109;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SMK;1
210;15;JAMBI;1501;150109;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SMK;0
211;15;JAMBI;1501;150119;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SLB;0
212;15;JAMBI;1501;150119;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SLB;0
213;15;JAMBI;1501;150119;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SMA;0
214;15;JAMBI;1501;150119;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SMA;1
215;15;JAMBI;1501;150119;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SMK;1
216;15;JAMBI;1501;150119;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SMK;0
217;15;JAMBI;1501;150108;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SLB;0
218;15;JAMBI;1501;150108;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SLB;0
219;15;JAMBI;1501;150108;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SMA;1
220;15;JAMBI;1501;150108;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SMA;2
221;15;JAMBI;1501;150108;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SMK;1
222;15;JAMBI;1501;150108;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SMK;0
223;15;JAMBI;1501;150104;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SLB;0
224;15;JAMBI;1501;150104;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SLB;0
225;15;JAMBI;1501;150104;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SMA;2
226;15;JAMBI;1501;150104;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SMA;1
227;15;JAMBI;1501;150104;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SMK;0
228;15;JAMBI;1501;150104;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SMK;0
229;15;JAMBI;1501;150116;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SLB;0
230;15;JAMBI;1501;150116;DATA SEKOLAH;2024/2025 GENAP;SWASTA;SLB;0
231;15;JAMBI;1501;150116;DATA SEKOLAH;2024/2025 GENAP;NEGERI;SMA;1
