NO;kode_provinsi;nama_provinsi;kode_kabupaten_kota;kode_kecamatan;kategori;data;satuan;semester;jumlah_penduduk;tahun
183;15;JAMBI;1503;150304;JUMLAH PENDUDUK;LAKI-LAKI;JIWA;2;13219;2022
184;15;JAMBI;1503;150304;JUMLAH PENDUDUK;PEREMPUAN;JIWA;2;12536;2022
185;15;JAMBI;1503;150305;JUMLAH PENDUDUK;LAKI-LAKI;JIWA;1;17542;2022
186;15;JAMBI;1503;150305;JUMLAH PENDUDUK;PEREMPUAN;JIWA;1;17203;2022
187;15;JAMBI;1503;150305;JUMLAH PENDUDUK;LAKI-LAKI;JIWA;2;18059;2022
188;15;JAMBI;1503;150305;JUMLAH PENDUDUK;PEREMPUAN;JIWA;2;17668;2022
189;15;JAMBI;1503;150306;JUMLAH PENDUDUK;LAKI-LAKI;JIWA;1;12245;2022
190;15;JAMBI;1503;150306;JUMLAH PENDUDUK;PEREMPUAN;JIWA;1;11727;2022
191;15;JAMBI;1503;150306;JUMLAH PENDUDUK;LAKI-LAKI;JIWA;2;12721;2022
192;15;JAMBI;1503;150306;JUMLAH PENDUDUK;PEREMPUAN;JIWA;2;12177;2022
193;15;JAMBI;1503;150307;JUMLAH PENDUDUK;LAKI-LAKI;JIWA;1;13209;2022
194;15;JAMBI;1503;150307;JUMLAH PENDUDUK;PEREMPUAN;JIWA;1;12196;2022
195;15;JAMBI;1503;150307;JUMLAH PENDUDUK;LAKI-LAKI;JIWA;2;13639;2022
196;15;JAMBI;1503;150307;JUMLAH PENDUDUK;PEREMPUAN;JIWA;2;12632;2022
197;15;JAMBI;1503;150308;JUMLAH PENDUDUK;LAKI-LAKI;JIWA;1;10467;2022
198;15;JAMBI;1503;150308;JUMLAH PENDUDUK;PEREMPUAN;JIWA;1;10138;2022
199;15;JAMBI;1503;150308;JUMLAH PENDUDUK;LAKI-LAKI;JIWA;2;10729;2022
200;15;JAMBI;1503;150308;JUMLAH PENDUDUK;PEREMPUAN;JIWA;2;10379;2022
201;15;JAMBI;1503;150309;JUMLAH PENDUDUK;LAKI-LAKI;JIWA;1;20642;2022
