id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,kode_kecamatan,nama_kecamatan,kategori,data,satuan,semester,jumlah,tahun
359,15,JAMBI,1502,MERANGIN,150213,PAMENANG BARAT,PEREKAMAN KTP,WAJIB KTP,JIWA,1,12757,2022
360,15,JAMBI,1502,MERANGIN,150220,PAMENANG SELATAN,PEREKAMAN KTP,WAJIB KTP,JIWA,1,7525,2022
361,15,JAMBI,1502,MERANGIN,150217,PANGKALAN JAMBU,PEREKAMAN KTP,WAJIB KTP,JIWA,1,4857,2022
362,15,JAMBI,1502,MERANGIN,150219,RENAH PAMENANG,PEREKAMAN KTP,WAJIB KTP,JIWA,1,10490,2022
363,15,JAMBI,1502,MERANGIN,150216,RENAH PEMBARAP,PEREKAMAN KTP,WAJIB KTP,JIWA,1,9340,2022
364,15,JAMBI,1502,MERANGIN,150204,SUNGAI MANAU,PEREKAMAN KTP,WAJIB KTP,JIWA,1,7635,2022
365,15,JAMBI,1502,MERANGIN,150205,TABIR,PEREKAMAN KTP,WAJIB KTP,JIWA,1,20917,2022
366,15,JAMBI,1502,MERANGIN,150223,TABIR BARAT,PEREKAMAN KTP,WAJIB KTP,JIWA,1,6815,2022
367,15,JAMBI,1502,MERANGIN,150214,TABIR ILIR,PEREKAMAN KTP,WAJIB KTP,JIWA,1,6694,2022
368,15,JAMBI,1502,MERANGIN,150222,TABIR LINTAS,PEREKAMAN KTP,WAJIB KTP,JIWA,1,6009,2022
369,15,JAMBI,1502,MERANGIN,150208,TABIR SELATAN,PEREKAMAN KTP,WAJIB KTP,JIWA,1,21306,2022
370,15,JAMBI,1502,MERANGIN,150215,TABIR TIMUR,PEREKAMAN KTP,WAJIB KTP,JIWA,1,5684,2022
371,15,JAMBI,1502,MERANGIN,150207,TABIR ULU,PEREKAMAN KTP,WAJIB KTP,JIWA,1,6086,2022
372,15,JAMBI,1502,MERANGIN,150224,TIANG PUMPUNG,PEREKAMAN KTP,WAJIB KTP,JIWA,1,3606,2022
373,15,JAMBI,1505,MUARO JAMBI,150510,BAHAR SELATAN,PEREKAMAN KTP,WAJIB KTP,JIWA,1,12272,2022
374,15,JAMBI,1505,MUARO JAMBI,150509,BAHAR UTARA,PEREKAMAN KTP,WAJIB KTP,JIWA,1,10239,2022
375,15,JAMBI,1505,MUARO JAMBI,150501,JAMBI LUAR KOTA,PEREKAMAN KTP,WAJIB KTP,JIWA,1,49946,2022
376,15,JAMBI,1505,MUARO JAMBI,150503,KUMPEH,PEREKAMAN KTP,WAJIB KTP,JIWA,1,18713,2022
377,15,JAMBI,1505,MUARO JAMBI,150506,KUMPEH ULU,PEREKAMAN KTP,WAJIB KTP,JIWA,1,43513,2022
378,15,JAMBI,1505,MUARO JAMBI,150504,MARO SEBO,PEREKAMAN KTP,WAJIB KTP,JIWA,1,16342,2022
379,15,JAMBI,1505,MUARO JAMBI,150505,MESTONG,PEREKAMAN KTP,WAJIB KTP,JIWA,1,30658,2022
380,15,JAMBI,1505,MUARO JAMBI,150502,SEKERNAN,PEREKAMAN KTP,WAJIB KTP,JIWA,1,33312,2022
381,15,JAMBI,1505,MUARO JAMBI,150507,SUNGAI BAHAR,PEREKAMAN KTP,WAJIB KTP,JIWA,1,21245,2022
382,15,JAMBI,1505,MUARO JAMBI,150508,SUNGAI GELAM,PEREKAMAN KTP,WAJIB KTP,JIWA,1,51872,2022
383,15,JAMBI,1505,MUARO JAMBI,150511,TAMAN RAJO,PEREKAMAN KTP,WAJIB KTP,JIWA,1,10038,2022
384,15,JAMBI,1503,SAROLANGUN,150307,AIR HITAM,PEREKAMAN KTP,WAJIB KTP,JIWA,1,17947,2022
385,15,JAMBI,1503,SAROLANGUN,150301,BATANG ASAI,PEREKAMAN KTP,WAJIB KTP,JIWA,1,12858,2022
