no;kode_provinsi;nama_provinsi;kode_kabupaten_kota;nama_kabupaten_kota;nama_perusahaan;nib;Day of tanggal_terbit_oss;status_penanaman_modal;flag_umk;uraian_jenis_perusahaan;alamat_perusahaan
61;15;JAMBI;1571;KOTA JAMBI;PRAJNA SEJAHTERA;2401230064537;01/24/2023;PMDN;UMK;Persekutuan Komanditer (CV / Commanditaire Vennootschap);Jalan Prof Dr Sumantri Brojonegoro
62;15;JAMBI;1571;KOTA JAMBI;CIPTAWARNA;2401230076125;01/24/2023;PMDN;UMK;Persekutuan Komanditer (CV / Commanditaire Vennootschap);Jln. Gajah Mada
63;15;JAMBI;1508;BUNGO;JASMINE TUJUH KOTO;2501230024758;01/25/2023;PMDN;UMK;Persekutuan Komanditer (CV / Commanditaire Vennootschap);Perumahan Ramayani 4 Blok A No. 06
64;15;JAMBI;1572;KOTA SUNGAI PENUH;KERINCI MULTI BANGUN UTAMA;2501230027515;01/25/2023;PMDN;UMK;Persekutuan Komanditer (CV / Commanditaire Vennootschap);Rukun Tetangga 001, Dusun Wirasakti, Desa Sandaran Galeh
65;15;JAMBI;1571;KOTA JAMBI;KANG BANGUN SOBAT KONSTRUKSI;2501230050443;01/25/2023;PMDN;UMK;Persekutuan Komanditer (CV / Commanditaire Vennootschap);Jl. Syailendra
66;15;JAMBI;1571;KOTA JAMBI;HABI MULTI SOLUSI;2501230052658;01/25/2023;PMDN;UMK;Persekutuan Komanditer (CV / Commanditaire Vennootschap);Jl. Guntur No. 119
67;15;JAMBI;1508;BUNGO;RASAKI ANUGERAH SAMAA;2501230058543;01/25/2023;PMDN;UMK;Persekutuan Komanditer (CV / Commanditaire Vennootschap);Jalan Lintas Sumatera Batas Kampung Tukum Ii
68;15;JAMBI;1571;KOTA JAMBI;ADILA SNACK;2501230077511;01/25/2023;PMDN;UMK;Persekutuan Komanditer (CV / Commanditaire Vennootschap);Jl. M.H. Thamrin No.49 Lebak Bandung Kota Jambi
69;15;JAMBI;1506;TANJUNG JABUNG BARAT;GERHANA ANUGERAH MANDIRI;2601230020654;01/26/2023;PMDN;UMK;Persekutuan Komanditer (CV / Commanditaire Vennootschap);Jl.Agus Nginot
70;15;JAMBI;1505;MUARO JAMBI;LANGIT ADVERTISING;2601230026118;01/26/2023;PMDN;UMK;Persekutuan Komanditer (CV / Commanditaire Vennootschap);Mendalo Indah
71;15;JAMBI;1505;MUARO JAMBI;ELSHANUM PUTRI;2601230030247;01/26/2023;PMDN;UMK;Persekutuan Komanditer (CV / Commanditaire Vennootschap);Sungai Gelam
72;15;JAMBI;1505;MUARO JAMBI;TIFA MITRA NUSA;2601230032872;01/26/2023;PMDN;UMK;Persekutuan Komanditer (CV / Commanditaire Vennootschap);Perumahan Puri Masurai 2, Blok M No 09
73;15;JAMBI;1571;KOTA JAMBI;ARKHON ENGINEERING SOLUTION;2601230046416;01/26/2023;PMDN;UMK;Persekutuan Komanditer (CV / Commanditaire Vennootschap);Jalan Asparagus Iv No 151
74;15;JAMBI;1508;BUNGO;MARIAM MAJU BERSAMA;2601230051408;01/26/2023;PMDN;UMK;Persekutuan Komanditer (CV / Commanditaire Vennootschap);Jalan Lintas Sumatera Arah Padang Km.17
75;15;JAMBI;1503;SAROLANGUN;SUNGAI MERUNG ASRI;2601230067138;01/26/2023;PMDN;UMK;Persekutuan Komanditer (CV / Commanditaire Vennootschap);Dusun 1 Sri Mulyo
76;15;JAMBI;1571;KOTA JAMBI;CITRA SARI MEDIATAMA;2601230067772;01/26/2023;PMDN;UMK;Persekutuan Komanditer (CV / Commanditaire Vennootschap);Jl. Kebun Daging, Komplek Sevilla Blok C 14
77;15;JAMBI;1508;BUNGO;RADJA GROUP;2601230080006;01/26/2023;PMDN;UMK;Persekutuan Komanditer (CV / Commanditaire Vennootschap);Lrg. Rajawali
78;15;JAMBI;1509;TEBO;LANTARAN JAMBI TRANSINDO;2701230023228;01/27/2023;PMDN;UMK;Persekutuan Komanditer (CV / Commanditaire Vennootschap);Dusun Semambu
79;15;JAMBI;1505;MUARO JAMBI;ROMEESA MANDIRI JAYA;2701230023265;01/27/2023;PMDN;UMK;Persekutuan Komanditer (CV / Commanditaire Vennootschap);Kota Kampus
80;15;JAMBI;1571;KOTA JAMBI;PUTRA MINANG SEHATI;2701230032579;01/27/2023;PMDN;UMK;Persekutuan Komanditer (CV / Commanditaire Vennootschap);Jalan Kapt. Pattimura
