NO;kode_provinsi;nama_provinsi;kode_kabupaten_kota;kategori;jenis_psks;jumlah;satuan;tahun
105;15;JAMBI;1505;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;PENDAMPING PROGRAM KELUARGA HARAPAN;51;ORANG;2022
106;15;JAMBI;1506;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;PENDAMPING PROGRAM KELUARGA HARAPAN;53;ORANG;2022
107;15;JAMBI;1507;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;PENDAMPING PROGRAM KELUARGA HARAPAN;42;ORANG;2022
108;15;JAMBI;1508;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;PENDAMPING PROGRAM KELUARGA HARAPAN;35;ORANG;2022
109;15;JAMBI;1509;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;PENDAMPING PROGRAM KELUARGA HARAPAN;43;ORANG;2022
110;15;JAMBI;1571;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;PENDAMPING PROGRAM KELUARGA HARAPAN;78;ORANG;2022
111;15;JAMBI;1572;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;PENDAMPING PROGRAM KELUARGA HARAPAN;13;ORANG;2022
112;15;JAMBI;1501;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;PENDAMPING PROGRAM KELUARGA HARAPAN;52;ORANG;2023
113;15;JAMBI;1502;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;PENDAMPING PROGRAM KELUARGA HARAPAN;11;ORANG;2023
114;15;JAMBI;1503;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;PENDAMPING PROGRAM KELUARGA HARAPAN;50;ORANG;2023
115;15;JAMBI;1504;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;PENDAMPING PROGRAM KELUARGA HARAPAN;44;ORANG;2023
116;15;JAMBI;1505;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;PENDAMPING PROGRAM KELUARGA HARAPAN;53;ORANG;2023
117;15;JAMBI;1506;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;PENDAMPING PROGRAM KELUARGA HARAPAN;53;ORANG;2023
118;15;JAMBI;1508;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;PENDAMPING PROGRAM KELUARGA HARAPAN;36;ORANG;2023
119;15;JAMBI;1509;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;PENDAMPING PROGRAM KELUARGA HARAPAN;43;ORANG;2023
120;15;JAMBI;1571;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;PENDAMPING PROGRAM KELUARGA HARAPAN;81;ORANG;2023
121;15;JAMBI;1572;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;PENDAMPING PROGRAM KELUARGA HARAPAN;14;ORANG;2023
122;15;JAMBI;1501;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;PENDAMPING PROGRAM KELUARGA HARAPAN;58;ORANG;2024
123;15;JAMBI;1503;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;PENDAMPING PROGRAM KELUARGA HARAPAN;57;ORANG;2024
124;15;JAMBI;1504;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;PENDAMPING PROGRAM KELUARGA HARAPAN;44;ORANG;2024
125;15;JAMBI;1505;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;PENDAMPING PROGRAM KELUARGA HARAPAN;53;ORANG;2024
126;15;JAMBI;1506;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;PENDAMPING PROGRAM KELUARGA HARAPAN;53;ORANG;2024
127;15;JAMBI;1509;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;PENDAMPING PROGRAM KELUARGA HARAPAN;43;ORANG;2024
128;15;JAMBI;1571;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;PENDAMPING PROGRAM KELUARGA HARAPAN;77;ORANG;2024
129;15;JAMBI;1572;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;PENDAMPING PROGRAM KELUARGA HARAPAN;13;ORANG;2024
130;15;JAMBI;1504;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;PENYULUH SOSIAL;30;ORANG;2021
131;15;JAMBI;1506;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;PENYULUH SOSIAL;5;ORANG;2021
132;15;JAMBI;1508;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;PENYULUH SOSIAL;2;ORANG;2021
133;15;JAMBI;1571;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;PENYULUH SOSIAL;3;ORANG;2021
134;15;JAMBI;1503;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;PENYULUH SOSIAL;1;ORANG;2022
135;15;JAMBI;1504;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;PENYULUH SOSIAL;30;ORANG;2022
136;15;JAMBI;1506;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;PENYULUH SOSIAL;5;ORANG;2022
137;15;JAMBI;1507;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;PENYULUH SOSIAL;3;ORANG;2022
138;15;JAMBI;1508;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;PENYULUH SOSIAL;2;ORANG;2022
139;15;JAMBI;1509;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;PENYULUH SOSIAL;3;ORANG;2022
140;15;JAMBI;1571;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;PENYULUH SOSIAL;3;ORANG;2022
141;15;JAMBI;1501;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;PENYULUH SOSIAL;10;ORANG;2023
142;15;JAMBI;1503;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;PENYULUH SOSIAL;1;ORANG;2023
143;15;JAMBI;1504;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;PENYULUH SOSIAL;30;ORANG;2023
144;15;JAMBI;1506;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;PENYULUH SOSIAL;1;ORANG;2023
145;15;JAMBI;1508;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;PENYULUH SOSIAL;2;ORANG;2023
146;15;JAMBI;1509;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;PENYULUH SOSIAL;3;ORANG;2023
147;15;JAMBI;1571;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;PENYULUH SOSIAL;3;ORANG;2023
148;15;JAMBI;1501;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;PENYULUH SOSIAL;7;ORANG;2024
149;15;JAMBI;1503;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;PENYULUH SOSIAL;4;ORANG;2024
150;15;JAMBI;1504;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;PENYULUH SOSIAL;30;ORANG;2024
151;15;JAMBI;1506;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;PENYULUH SOSIAL;1;ORANG;2024
