kode_provinsi;nama_provinsi;kode_kabupaten_kota;kategori;jenis_psks;jumlah;satuan;tahun
15;JAMBI;1509;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;PENYULUH SOSIAL;3;ORANG;2024
15;JAMBI;1571;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;PENYULUH SOSIAL;3;ORANG;2024
15;JAMBI;1502;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;PEKERJA SOSIAL PROFESIONAL;1;ORANG;2021
15;JAMBI;1505;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;PEKERJA SOSIAL PROFESIONAL;1;ORANG;2021
15;JAMBI;1506;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;PEKERJA SOSIAL PROFESIONAL;2;ORANG;2021
15;JAMBI;1507;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;PEKERJA SOSIAL PROFESIONAL;1;ORANG;2021
15;JAMBI;1509;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;PEKERJA SOSIAL PROFESIONAL;2;ORANG;2021
15;JAMBI;1502;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;PEKERJA SOSIAL PROFESIONAL;1;ORANG;2022
15;JAMBI;1503;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;PEKERJA SOSIAL PROFESIONAL;7;ORANG;2022
15;JAMBI;1504;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;PEKERJA SOSIAL PROFESIONAL;1;ORANG;2022
15;JAMBI;1505;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;PEKERJA SOSIAL PROFESIONAL;2;ORANG;2022
15;JAMBI;1506;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;PEKERJA SOSIAL PROFESIONAL;2;ORANG;2022
15;JAMBI;1509;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;PEKERJA SOSIAL PROFESIONAL;2;ORANG;2022
15;JAMBI;1503;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;PEKERJA SOSIAL PROFESIONAL;7;ORANG;2023
15;JAMBI;1504;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;PEKERJA SOSIAL PROFESIONAL;4;ORANG;2023
15;JAMBI;1509;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;PEKERJA SOSIAL PROFESIONAL;1;ORANG;2023
15;JAMBI;1501;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;PEKERJA SOSIAL PROFESIONAL;2;ORANG;2024
15;JAMBI;1503;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;PEKERJA SOSIAL PROFESIONAL;4;ORANG;2024
15;JAMBI;1504;POTENSI DAN SUMBER KESEJAHTERAAN SOSIAL;PEKERJA SOSIAL PROFESIONAL;4;ORANG;2024
