kode_provinsi;nama_provinsi;kode_kabupaten_kota;nama_ruas_jalan;kondisi;panjang_jalan;satuan;tahun
15;JAMBI;1503;SIMP. PELAWAN - SEI. SALAK ;SEDANG;12,6;KILOMETER;2022
15;JAMBI;1503;SEI. SALAK - PEKAN GEDANG/ BATANG ASAI;SEDANG;15,6;KILOMETER;2022
15;JAMBI;1503;PEKAN GEDANG/BATANG ASAI - MA. TALANG - JANGKAT   ;SEDANG;30,7;KILOMETER;2022
15;JAMBI;1503;SIMP. PAUH - AIR HITAM/SIMP. MENTAWAK;SEDANG;5,2;KILOMETER;2022
15;JAMBI;1571;JLN. RADEN MATTAHER - JLN. M. HUSNI THAMRIN ;SEDANG;1,038;KILOMETER;2022
15;JAMBI;1571;JL. RANGKAYO HITAM - JL. ABDUL KARTAWIRANA - JL. RANGKAYO PINGAI - JL. SENTOT ALIBASA;SEDANG;2,342;KILOMETER;2022
15;JAMBI;1571;JLN. DR. SUTOMO;SEDANG;0,367;KILOMETER;2022
15;JAMBI;1571;JLN. DR. SETIA BUDI - JLN. KH. HASIM ASHARI - JLN. PANGERAN DIPONEGORO;SEDANG;0,8;KILOMETER;2022
15;JAMBI;1571;JLN. GAJAH MADA - JLN. HAYAM WURUK;SEDANG;2,123;KILOMETER;2022
15;JAMBI;1571;JLN.KOL. POLISI M. TAHER - JLN. GR. DJAMIN DT. BAGINDO - JLN. KOL. POL.AHMAD BASTARI - JLN. BRIGJEND.KATAMSO;SEDANG;0,2;KILOMETER;2022
15;JAMBI;1571;JLN. HOS COKRO AMINOTO;SEDANG;0,048;KILOMETER;2022
15;JAMBI;1571;JLN. SLAMET RIYADI - JLN. URIP SUMOHARJO;SEDANG;0,2;KILOMETER;2022
15;JAMBI;1571;JLN. PROF.DR.SRI SOEDEWI, MS - JLN. YUSUF SINGEDEKANE - JLN. H.A.MANAP - JL. ARIEF RAHMAN HAKIM;SEDANG;2,25;KILOMETER;2022
15;JAMBI;1571;JLN. RE. MARTADINATA - JLN. JEND.A. YANI - JLN. JEND.MT. HARYONO;SEDANG;1,38;KILOMETER;2022
15;JAMBI;1571;JLN. ADE IRMA SURYANI - JLN. DR.SIWABESI - JLN. KH. ABDUL MALIK JAMBI;SEDANG;1,821;KILOMETER;2022
15;JAMBI;1571;JLN. JEND. BASUKI RAHMAT - JLN. H. AGUS SALIM - JLN. H. ADAM MALIK;SEDANG;0,6;KILOMETER;2022
15;JAMBI;1571;JLN.ABDUL RAHMAN SALEH;SEDANG;0;KILOMETER;2022
15;JAMBI;1571;JLN. KAPTEN PATTIMURA - JLN. KAPTEN BAKARUDDIN;SEDANG;0,6;KILOMETER;2022
15;JAMBI;1571;JLN. KOL. ABUNJANI - JLN. SUMANTRI BROJONEGORO;SEDANG;0,7;KILOMETER;2022
15;JAMBI;1571;JL. R. SIAGIAN;SEDANG;0;KILOMETER;2022
15;JAMBI;1571;SIMP. ALKAL - BANDARA SULTAN THAHA SYAIFUDDIN - LINGKAR TIMUR;SEDANG;0,6;KILOMETER;2022
15;JAMBI;1506;SEI. SAREN 0 TELUK NILAU 0 PARIT 10/ SENYERANG;RUSAK RINGAN;1,56;KILOMETER;2022
15;JAMBI;1506;PARIT 10 / SENYERANG 0 MEKAR JATI 0 BTS. RIAU;RUSAK RINGAN;1,283;KILOMETER;2022
15;JAMBI;1507;SUAK KANDIS 0 DESA SIMPANG/BERBAK;RUSAK RINGAN;8,2;KILOMETER;2022
15;JAMBI;1507;DESA SIMPANG/BERBAK - SIMP. JEMBATAN MUARA SABAK;RUSAK RINGAN;17,4;KILOMETER;2022
15;JAMBI;1507;SP. LAGAN - SP. PELABI/ ZONA V;RUSAK RINGAN;7,2;KILOMETER;2022
15;JAMBI;1505;SIMPANG TALANG PUDAK - SUAK KANDIS;RUSAK RINGAN;42,42;KILOMETER;2022
15;JAMBI;1505;SUNGAI DUREN - SUNGAI BULUH;RUSAK RINGAN;1;KILOMETER;2022
15;JAMBI;1505;TEMPINO - BTS. KAB. MA. JAMBI/BTS. BATANGHARI;RUSAK RINGAN;5,074;KILOMETER;2022
15;JAMBI;1505;SIMP. AHOK (KOTA JAMBI) - SIMP. PASAR BUPER - BUMI PERKEMAHAN PRAMUKA;RUSAK RINGAN;6,8;KILOMETER;2022
15;JAMBI;1509;MUARA TEBO - SIMP. LOGPON;RUSAK RINGAN;20,4;KILOMETER;2022
15;JAMBI;1509;SIMP. LOGPON - TANJUNG/BTS. SUMBAR;RUSAK RINGAN;6,2;KILOMETER;2022
15;JAMBI;1509;SIMP. SAWMIL - SIMP. LOGPON ;RUSAK RINGAN;0,8;KILOMETER;2022
15;JAMBI;1508;MA. BUNGO - PENINJAUAN - JUNCTION;RUSAK RINGAN;3;KILOMETER;2022
15;JAMBI;1508;PENINJAUAN - LBK MENGKUANG - TKA ( BTS. SUMBAR );RUSAK RINGAN;1,414;KILOMETER;2022
15;JAMBI;1508;JALAN LINGKAR MUARA BUNGO (SEI. MENGKUANG - SIMP. SEI. BULUH - SIMP. TANJUNG MENANTI - SIMP. TERMINAL/PTP - SEI. BINJAI);RUSAK RINGAN;0,4;KILOMETER;2022
15;JAMBI;1504;BTS. KAB. MA. JAMBI/KAB. BATANGHARI - BTS. KOTA MUARA BULIAN;RUSAK RINGAN;3;KILOMETER;2022
15;JAMBI;1504;JL. SUDIRMAN (MA.BULIAN);RUSAK RINGAN;1,434;KILOMETER;2022
15;JAMBI;1504;SIMP. PENEROKAN - SIMP. SUKA MAKMUR/SUNGAI BAHAR;RUSAK RINGAN;5,9;KILOMETER;2022
15;JAMBI;1501;SANGGARAN AGUNG - JUJUN;RUSAK RINGAN;0;KILOMETER;2022
15;JAMBI;1501;JUJUN - LEMPUR;RUSAK RINGAN;0;KILOMETER;2022
15;JAMBI;1501;JUJUN - BTS. KAB. KERINCI/BTS. KOTA SUNGAI PENUH;RUSAK RINGAN;0,2;KILOMETER;2022
15;JAMBI;1572;JALAN DEPATI PARBO (SUNGAI PENUH);RUSAK RINGAN;0;KILOMETER;2022
15;JAMBI;1572;SIMP. DEBAI - DUSUN BARU - BATAS KOTA SUNGAI PENUH - SIMP. 4. SEBUKAR;RUSAK RINGAN;0;KILOMETER;2022
15;JAMBI;1502;SIMP. MARGOYOSO - SUMBER AGUNG - AIR HITAM/SIMP. MENTAWAK;RUSAK RINGAN;0;KILOMETER;2022
15;JAMBI;1502;SIMP. PULAU. RENGAS -  MUARA SIAU;RUSAK RINGAN;4,6;KILOMETER;2022
15;JAMBI;1502;MUARA SIAU - DUSUN TUO ;RUSAK RINGAN;5;KILOMETER;2022
15;JAMBI;1502;DUSUN TUO - JANGKAT ;RUSAK RINGAN;1,014;KILOMETER;2022
15;JAMBI;1503;SIMP. PELAWAN - SEI. SALAK ;RUSAK RINGAN;25,9;KILOMETER;2022
15;JAMBI;1503;SEI. SALAK - PEKAN GEDANG/ BATANG ASAI;RUSAK RINGAN;12,4;KILOMETER;2022
15;JAMBI;1503;PEKAN GEDANG/BATANG ASAI - MA. TALANG - JANGKAT   ;RUSAK RINGAN;13,6;KILOMETER;2022
15;JAMBI;1503;SIMP. PAUH - AIR HITAM/SIMP. MENTAWAK;RUSAK RINGAN;24,85;KILOMETER;2022
15;JAMBI;1571;JLN. RADEN MATTAHER - JLN. M. HUSNI THAMRIN ;RUSAK RINGAN;0;KILOMETER;2022
15;JAMBI;1571;JL. RANGKAYO HITAM - JL. ABDUL KARTAWIRANA - JL. RANGKAYO PINGAI - JL. SENTOT ALIBASA;RUSAK RINGAN;1;KILOMETER;2022
15;JAMBI;1571;JLN. DR. SUTOMO;RUSAK RINGAN;0,2;KILOMETER;2022
15;JAMBI;1571;JLN. DR. SETIA BUDI - JLN. KH. HASIM ASHARI - JLN. PANGERAN DIPONEGORO;RUSAK RINGAN;0;KILOMETER;2022
15;JAMBI;1571;JLN. GAJAH MADA - JLN. HAYAM WURUK;RUSAK RINGAN;0;KILOMETER;2022
15;JAMBI;1571;JLN.KOL. POLISI M. TAHER - JLN. GR. DJAMIN DT. BAGINDO - JLN. KOL. POL.AHMAD BASTARI - JLN. BRIGJEND.KATAMSO;RUSAK RINGAN;1,469;KILOMETER;2022
15;JAMBI;1571;JLN. HOS COKRO AMINOTO;RUSAK RINGAN;0;KILOMETER;2022
15;JAMBI;1571;JLN. SLAMET RIYADI - JLN. URIP SUMOHARJO;RUSAK RINGAN;0;KILOMETER;2022
15;JAMBI;1571;JLN. PROF.DR.SRI SOEDEWI, MS - JLN. YUSUF SINGEDEKANE - JLN. H.A.MANAP - JL. ARIEF RAHMAN HAKIM;RUSAK RINGAN;0;KILOMETER;2022
15;JAMBI;1571;JLN. RE. MARTADINATA - JLN. JEND.A. YANI - JLN. JEND.MT. HARYONO;RUSAK RINGAN;0;KILOMETER;2022
15;JAMBI;1571;JLN. ADE IRMA SURYANI - JLN. DR.SIWABESI - JLN. KH. ABDUL MALIK JAMBI;RUSAK RINGAN;1,4;KILOMETER;2022
15;JAMBI;1571;JLN. JEND. BASUKI RAHMAT - JLN. H. AGUS SALIM - JLN. H. ADAM MALIK;RUSAK RINGAN;0;KILOMETER;2022
15;JAMBI;1571;JLN.ABDUL RAHMAN SALEH;RUSAK RINGAN;0;KILOMETER;2022
