no;kode_provinsi;provinsi;kode_kabupaten_kota;kode_kecamatan;nama_daya_tarik_wisata;jenis_daya_tarik_wisata
349;15;JAMBI;1571;157104;Waterboom Abadi ;Buatan
350;15;JAMBI;1571;157107;Kolam Renang Mayang Club ;Buatan
351;15;JAMBI;1571;157101;Lapangan Golf Karya Telanaipura ;Buatan
352;15;JAMBI;1571;157101;Balairung Sari Propinsi Jambi;Buatan
353;15;JAMBI;1571;157107;Lembaga Ada Melayu Tanah Pilih Pusako Bentuh;Buatan
354;15;JAMBI;1571;157105;Sanggar Batik Selaras Pinang Masak;Budaya
355;15;JAMBI;1571;157101;Rumah Tenun Dan Songket;Budaya
356;15;JAMBI;1571;157106;Batik Azmiah;Budaya
357;15;JAMBI;1571;157108;Asrama Haji;Budaya/Religi
358;15;JAMBI;1571;157101;Masjid Agung Alfalah;Budaya/Religi
359;15;JAMBI;1571;157104;Masjid Raya Nagat Sari;Budaya/Religi
360;15;JAMBI;1571;157106;Masjid Olak Kemang ( Masjid Al lhsaniyah);Budaya/Religi
361;15;JAMBI;1571;157101;Masjid Nurdin Nurdin;Budaya/Religi
362;15;JAMBI;1571;157105;Masjid Ba'alawy;Budaya/Religi
363;15;JAMBI;1571;157104;Gereja Katolik St. Theresia;Budaya/Religi
364;15;JAMBI;1571;157107;Gereja HKBP Kota Baru Jambi;Budaya/Religi
365;15;JAMBI;1571;157103;Wihara Sakyakirti;Budaya/Religi
366;15;JAMBI;1571;157107;Pura Giri Indra Lokha;Budaya/Religi
367;15;JAMBI;1571;157106;Haul Al Habib Idrus Bin Al Jufri Atau Pangeran Wiro Kusumo;Budaya/Religi
368;15;JAMBI;1571;157102;Bangker Jepang;Sejarah
369;15;JAMBI;1571;157101;Menara Air Pdam Benteng  ;Sejarah
370;15;JAMBI;1571;157103;Bangunan Peninggalan Belanda - Unja Telanai;Sejarah
371;15;JAMBI;1571;157103;Bangunan Peninggalan Belanda Kantor Residen Belanda ( Mako Brimbo);Sejarah
372;15;JAMBI;1571;157103;Bangunan Peninggalan Belanda Rumah Sakit Dkt;Sejarah
373;15;JAMBI;1571;157103;Bangunan Peninggalan Belanda Smp Negeri 1 Kota;Sejarah
374;15;JAMBI;1571;157103;Bangunan Peninggalan Belanda Rumah Dinas Gubernur Jambi;Sejarah
375;15;JAMBI;1571;157103;Bangunan Peninggalan Belanda Rumah Pejabat Pertamina ;Sejarah
376;15;JAMBI;1571;150406;Rumah Batu Olak Kemang;Sejarah / Budaya
377;15;JAMBI;1571;157104;Makam Belanda (Kerkhof);Sejarah / Budaya
378;15;JAMBI;1571;157101;Situs Candi Solok Sipin;Sejarah/Religi
379;15;JAMBI;1571;157106;Makam Pangeran Wiro Kusumo;Sejarah/Religi
380;15;JAMBI;1571;157105;Makam Bangsawan Melayu ;Sejarah/Religi
381;15;JAMBI;1571;157101;Makam Raden Matthaher;Sejarah/Religi
