no;kode_provinsi;provinsi;kode_kabupaten_kota;kode_kecamatan;nama_daya_tarik_wisata;jenis_daya_tarik_wisata
257;15;JAMBI;1503;150309;Water Park ABC;Buatan
258;15;JAMBI;1503;150303;Lapangan Sriwijaya;Buatan
259;15;JAMBI;1503;150303;Dam Ayik Muap;Buatan
260;15;JAMBI;1503;150303;Taman Tepian Ancol Sarolangun;Buatan
261;15;JAMBI;1503;150303;Taman Komplek KONI;Buatan
262;15;JAMBI;1503;150307;Kawasan SAD;Sejarah/Budaya
263;15;JAMBI;1503;150301;Makam Para Sultan;Sejarah/Budaya
264;15;JAMBI;1503;150303;Masjid Agung Sarolangun;Sejarah/Budaya
265;15;JAMBI;1503;150303;Rumah Contreleur / Rumah Dinas Bupati;Sejarah/Budaya
266;15;JAMBI;1503;150306;Batu Putri Dahak Putri;Sejarah/Budaya
267;15;JAMBI;1503;150303;Ancol Sarolangon;Buatan
268;15;JAMBI;1503;150303;Telun Mombung Desa Muara Cuban;Alam
269;15;JAMBI;1504;150403;Taman Hutan Raya Senam;Alam
270;15;JAMBI;1504;150403;Danau Letang;Alam
271;15;JAMBI;1504;150405;Danau Bangko;Alam
272;15;JAMBI;1504;150402;Goa Tengkorak;Alam
273;15;JAMBI;1504;150403;Taman Rekreasi Rengas Condong;Alam
274;15;JAMBI;1504;150407;Hamparan Padang Ilalang;Alam
275;15;JAMBI;1504;150403;Danau Puri Indah;Alam
276;15;JAMBI;1504;150406;Air Terjun Bukit Bakar;Alam
277;15;JAMBI;1504;150405;Danau Semangkat;Alam
278;15;JAMBI;1504;150402;Danau Kehidupan;Alam
279;15;JAMBI;1504;150406;Konservasi Pagar Bulian;Alam
280;15;JAMBI;1504;150403;Taman Hutan Raya Sultan Thaha Syaifuddin ;Alam
281;15;JAMBI;1504;150406;Hutan Bukit 12;Alam
282;15;JAMBI;1504;150407;Taman Wisata Mugi Rahayu;Buatan
283;15;JAMBI;1504;150403;Taman Talang Bukit Berbunga;Buatan
284;15;JAMBI;1504;150402;Taman Remaja Muara Tembesi;Buatan
285;15;JAMBI;1504;150402;Puri Rimbo Bulian;Buatan
286;15;JAMBI;1504;150403;Lapangan Garuda;Buatan
287;15;JAMBI;1504;150402;Panorama Danau Biru;Buatan
288;15;JAMBI;1504;150403;Waterboom;Buatan
289;15;JAMBI;1504;150404;Bendungan Pall Batu;Buatan
290;15;JAMBI;1504;150407;Lapangan Golf;Buatan
291;15;JAMBI;1504;150402;Danau Biru;Buatan
292;15;JAMBI;1504;150403;Taman Agro Wisata Buah Naga ;Buatan
293;15;JAMBI;1504;150403;Taman Mumtaz;Buatan
294;15;JAMBI;1504;150403;Taman Talang Bukit Berbunga;Buatan
295;15;JAMBI;1504;150403;Taman Pematang Umo Tinggal;Buatan
296;15;JAMBI;1504;150402;Taman Sungai Bulian ;Buatan
297;15;JAMBI;1504;150403;Rumah Adat Batanghari;Sejarah/Budaya
298;15;JAMBI;1504;150406;Seni Budaya Suku Anak Dalam;Sejarah/Budaya
299;15;JAMBI;1504;150405;Gugus Candi;Sejarah/Budaya
300;15;JAMBI;1504;150405;Kerajinan Ukiran Kayu;Sejarah/Budaya
301;15;JAMBI;1504;150402;Kerajinan Rotan;Sejarah/Budaya
302;15;JAMBI;1504;150403;Benteng Penyerahan Kedaulatan Tembesi;Sejarah/Budaya
303;15;JAMBI;1504;150403;Pasar Muara Tembesi;Sejarah/Budaya
304;15;JAMBI;1504;150405;Candi Pematang Saung;Sejarah/Budaya
305;15;JAMBI;1504;150403;Candi Rambahan ;Sejarah/Budaya
306;15;JAMBI;1504;150408;Mesjid Desa Terusan;Sejarah/Budaya
307;15;JAMBI;1504;150403;Candi Teratai Duren Ijo;Sejarah/Budaya
308;15;JAMBI;1504;150406;Candi Danau Bangko ;Sejarah/Budaya
309;15;JAMBI;1504;150407;Goa Jepang ;Sejarah/Budaya
310;15;JAMBI;1571;157104;Sungai Batanghari;Alam
311;15;JAMBI;1571;157106;Danau Teluk;Alam
312;15;JAMBI;1571;157107;Taman Arena Remaja;Buatan
313;15;JAMBI;1571;157107;Taman Pendestrian Jomblo;Buatan
314;15;JAMBI;1571;157107;Taman Perumnas Kota Baru;Buatan
315;15;JAMBI;1571;157108;Taman Simpang Pulai;Buatan
316;15;JAMBI;1571;157104;Taman Makalam;Buatan
317;15;JAMBI;1571;157110;Taman Jaksa;Buatan
318;15;JAMBI;1571;157101;Taman Tugu Juang;Buatan
319;15;JAMBI;1571;157107;Taman Kongkow;Buatan
320;15;JAMBI;1571;157101;Taman Adipura;Buatan
321;15;JAMBI;1571;157102;Taman Tugu Pkk;Buatan
322;15;JAMBI;1571;157105;Taman Sanggar Batik;Buatan
323;15;JAMBI;1571;157107;Taman Hutan Kota Muhammat Sabki;Buatan
324;15;JAMBI;1571;157101;Taman Anggrek Sri Sudewi Maschun Sofwan;Buatan
325;15;JAMBI;1571;157111;Taman Mini Rumah Adat Jambi;Buatan
326;15;JAMBI;1571;157107;Kampung Radja;Buatan
327;15;JAMBI;1571;157111;Kebun Binatang Taman Rimba;Buatan
328;15;JAMBI;1571;157107;Taman Hutan Pinus;Buatan
329;15;JAMBI;1571;157111;Kampung Organik;Buatan
330;15;JAMBI;1571;157103;Jembatan Batanghari II;Buatan
331;15;JAMBI;1571;157107;Jembatan Makalam;Buatan
332;15;JAMBI;1571;157103;Jembatan Pedestarian Gentala Arasy;Buatan
333;15;JAMBI;1571;157101;Jembatan Batanghari I;Buatan
334;15;JAMBI;1571;157104;Pasar Keramik Sitimang;Buatan
335;15;JAMBI;1571;157104;Pasar Angso Duo;Buatan
336;15;JAMBI;1571;157107;Tugu Keris Siginjai ;Buatan
337;15;JAMBI;1571;157111;Tugu Adipura;Buatan
338;15;JAMBI;1571;157102;Tugu Pkk Thehook Jambi Selatan ;Buatan
339;15;JAMBI;1571;157110;Tugu Juang;Buatan
340;15;JAMBI;1571;157101;Tugu Pers;Buatan
341;15;JAMBI;1571;157102;Tugu Tari Sikapursirih ( Tugu Selamnat Datang );Buatan
342;15;JAMBI;1571;157104;Tugu Simpang Makalam ;Buatan
343;15;JAMBI;1571;157101;Tugu Pencinta Tanaman ;Buatan
344;15;JAMBI;1571;157111;Reagen Futsal;Buatan
345;15;JAMBI;1571;157108;Gelanggang Olah Raga (Gor) Kota Baru;Buatan
346;15;JAMBI;1571;157102;Stadion Persatuan Sepak Bola Jambi (Persijam);Buatan
347;15;JAMBI;1571;157104;Stadion Tri Lomba Juang (Koni) ;Buatan
348;15;JAMBI;1571;157107;Kolam Renang Tepian Rajo ;Buatan
