id;kode_provinsi;nama_provinsi;kode_kabupaten_kota;kode_kecamatan;kode_kelurahan_desa;koperasi;tanggal badan hukum;aktif;bentuk koperasi;jenis koperasi;kelompok koperasi;sektor usaha;klasifikasi;kesehatan;anggota pria;anggota wanita;tahun_industri_usaha;bulan
88;15;JAMBI;1501;150106;1501062018;KOPERASI SERBA USAHA MUAR JAYA;2/17/2010;TRUE;Primer Kabupaten/Kota;Konsumen;Kop. Serba Usaha;JASA KEUANGAN DAN ASURANSI;-;-;0;0;-;JUNI
89;15;JAMBI;1501;150106;1501062018;KOPERASI SERBA USAHA NIKMAT;11/8/2007;TRUE;Primer Kabupaten/Kota;Konsumen;Kop. Serba Usaha;JASA LAINNYA;-;-;0;0;-;JUNI
90;15;JAMBI;1501;150106;1501061009;KOPERASI PEGAWAI NEGERI KANTOR CAMAT GUNUNG KERINCI;9/18/1996;FALSE;Primer Kabupaten/Kota;Konsumen;Kop. Pegawai Negeri (KPRI);JASA LAINNYA;-;-;0;0;-;JUNI
91;15;JAMBI;1501;150106;1501062018;KOPERASI PEGAWAI NEGERI SIULAK DERAS;9/16/1989;TRUE;Primer Kabupaten/Kota;Konsumen;Kop. Pegawai Negeri (KPRI);JASA KEUANGAN DAN ASURANSI;-;-;0;0;-;JUNI
92;15;JAMBI;1501;150106;1501062018;KOPERASI SERBA USAHA KARYA BHAKTI;12/3/2012;TRUE;Primer Kabupaten/Kota;Konsumen;Kop. Serba Usaha;JASA LAINNYA;-;-;0;0;-;JUNI
93;15;JAMBI;1501;150106;1501062011;KOPERASI SERBA USAHA BARU MAJU;10/30/2015;TRUE;Primer Kabupaten/Kota;Konsumen;Kop. Serba Usaha;JASA KEUANGAN DAN ASURANSI;-;-;0;0;-;JUNI
94;15;JAMBI;1501;150106;1501062011;KOPERASI SEMOGA JAYA;1/8/1999;FALSE;Primer Kabupaten/Kota;Produsen;Kop. Lainnya;JASA LAINNYA;-;-;0;0;-;JUNI
95;15;JAMBI;1501;150106;1501062015;KOPERASI TANI SINAR MULIA;8/12/2008;TRUE;Primer Kabupaten/Kota;Produsen;Kop. Pertanian;PERTANIAN, KEHUTANAN DAN PERIKANAN;-;-;0;0;-;JUNI
96;15;JAMBI;1501;150106;1501062012;KOPERASI TANI TELAGA SARI;5/26/1999;TRUE;Primer Kabupaten/Kota;Produsen;Kop. Pertanian;PERTANIAN, KEHUTANAN DAN PERIKANAN;-;-;0;0;-;JUNI
97;15;JAMBI;1501;150109;1501092030;KOPERASI PERTANIAN MITRA USAHA;11/26/2005;FALSE;Primer Kabupaten/Kota;Produsen;Kop. Pertanian;PERTANIAN, KEHUTANAN DAN PERIKANAN;-;-;0;0;-;JUNI
98;15;JAMBI;1501;150109;1501092011;KOPERASI PASAR KARYA USAHA;9/17/2013;TRUE;Primer Kabupaten/Kota;Produsen;Kop. Lainnya;JASA LAINNYA;-;-;0;0;-;JUNI
99;15;JAMBI;1501;150109;1501092039;KOPERASI PERTANIAN KARYA MANDIRI;12/28/2006;FALSE;Primer Kabupaten/Kota;Produsen;Kop. Pertanian;PERTANIAN, KEHUTANAN DAN PERIKANAN;-;-;0;0;-;JUNI
100;15;JAMBI;1501;150109;1501092017;KOPERASI PERTANIAN SINAR HARAPAN;5/26/1999;FALSE;Primer Kabupaten/Kota;Produsen;Kop. Pertanian;PERTANIAN, KEHUTANAN DAN PERIKANAN;-;-;0;0;-;JUNI
101;15;JAMBI;1501;150109;1501092011;KOPERASI SERBA USAHA MARGO MUKTI;1/1/1999;FALSE;Primer Kabupaten/Kota;Konsumen;Kop. Serba Usaha;PENYEDIAAN AKOMODASI DAN MAKAN MINUM;-;-;0;0;-;JUNI
102;15;JAMBI;1501;150109;1501092039;KOPERASI PASAR HARAPAN MAKMUR;12/28/2006;FALSE;Primer Kabupaten/Kota;Pemasaran;Kop. Pasar;PENYEDIAAN AKOMODASI DAN MAKAN MINUM;-;-;0;0;-;JUNI
103;15;JAMBI;1501;150109;1501092012;KOPERASI SERBA USAHA MEKAR SARI;11/11/2011;FALSE;Primer Kabupaten/Kota;Konsumen;Kop. Serba Usaha;JASA LAINNYA;-;-;0;0;-;JUNI
104;15;JAMBI;1501;150109;1501092045;KOPERASI SIMPAN PINJAM RAJA KERINCI MANDIRI;7/8/2019;TRUE;Primer Kabupaten/Kota;Simpan Pinjam;Kop. Simpan Pinjam;JASA KEUANGAN DAN ASURANSI;-;-;0;0;-;JUNI
105;15;JAMBI;1501;150109;1501092025;KOPERASI SERBA USAHA GABUNGAN PENJUAL PUPUK DAN PESTISIDA;12/21/2011;TRUE;Primer Kabupaten/Kota;Pemasaran;Kop. Serba Usaha;PERDAGANGAN BESAR DAN ECERAN - REP MOBIL DAN MOTOR;-;-;0;0;-;JUNI
106;15;JAMBI;1501;150109;1501092025;KOPERASI TANI FORTUNA;4/18/2011;TRUE;Primer Kabupaten/Kota;Produsen;Kop. Pertanian;PERTANIAN, KEHUTANAN DAN PERIKANAN;-;-;0;0;-;JUNI
107;15;JAMBI;1501;150109;1501192004;KOPERASI UNIT DESA SEJAHTERA;8/11/1999;FALSE;Primer Kabupaten/Kota;Produsen;KUD;PERTANIAN, KEHUTANAN DAN PERIKANAN;-;-;0;0;-;JUNI
108;15;JAMBI;1501;150109;1501092012;KOPERASI KARYAWAN PT PLN;10/13/2009;TRUE;Primer Kabupaten/Kota;Konsumen;Kopkar;JASA KEUANGAN DAN ASURANSI;-;-;0;0;-;JUNI
109;15;JAMBI;1501;150109;1501092012;KOPERASI PEMASARAN ALKO PUTRI ALAM KERINCI;8/15/2018;TRUE;Primer Kabupaten/Kota;Pemasaran;Kop. Pertanian;PERTANIAN, KEHUTANAN DAN PERIKANAN;-;-;0;0;-;JUNI
