id;kode_provinsi;nama_provinsi;judul_inovasi;admin_opd;jenis;inisiator;urusan_pemerintah;kematangan;tahapan_inovasi;tanggal_penerapan;satuan;tahun
57;15;JAMBI;SIUDIN (SISTEM INFORMASI LAYANAN URUSAN PERJALANAN DINAS LUAR NEGERI);BIRO PEMERINTAHAN SETDA PROVINSI JAMBI (IGA2020.PEMERINTAHAN.PROVINSI.JAMBI);DIGITAL;OPD;FUNGSI PENUNJANG LAINNYA SESUAI DENGAN KETENTUAN PERATURAN PERUNDANG-UNDANGAN;70;PENERAPAN;07/02/2022;PERSEN;2023
58;15;JAMBI;SISTEM PENGELOLAAN BARANG (SPB);BIRO UMUM SETDA PROVINSI JAMBI (IGA2020.BIROUMUM.PROVINSI.JAMBI);DIGITAL;OPD;SOSIAL;70;PENERAPAN;15/10/2022;PERSEN;2023
59;15;JAMBI;SIPELA BK BK (SISTEM INFORMASI PELAPORAN DAN EVALUASI BANTUAN KEUANGAN BERSIFAT KHUSUS KEPADA CAMAT DAN KELURAHAN);BIRO PEMERINTAHAN SETDA PROVINSI JAMBI (IGA2020.PEMERINTAHAN.PROVINSI.JAMBI);DIGITAL;OPD;KOMUNIKASI DAN INFORMATIKA;7;PENERAPAN;02/01/2023;PERSEN;2023
60;15;JAMBI;AMBULAN KOPERASI;DINAS KOPERASI DAN UKM JAMBI (IGA2020.DISKOP.PROVINSI.JAMBI);DIGITAL;KEPALA DAERAH;"KOMUNIKASI
DAN INFORMATIKA";69;PENERAPAN;02/06/2022;PERSEN;2023
61;15;JAMBI;SILAKU (SISTEM INFORMASI LAYANAN KEUANGAN);"DINAS PENDIDIKAN JAMBI
(IGA2020.DISDIK.PROVINSI.JAMBI)";DIGITAL;OPD;PENDIDIKAN, KEPEGAWAIAN;68;PENERAPAN;14/09/2022;PERSEN;2023
62;15;JAMBI;SAMSAT BETANDANG;"BPKPD PROV. JAMBI
(IGA2020.BAKEUDA.PROVINSI.JAMBI)";DIGITAL;OPD;KEUANGAN;68;PENERAPAN;10/03/2021;PERSEN;2023
63;15;JAMBI;SILADIS (SISTIM LAYANAN DISABILITAS);"DINAS NAKERTRANS JAMBI
(IGA2020.NAKERTRANS.PROVINSI.JAMBI)";NON DIGITAL;KEPALA DAERAH;TENAGA KERJA, TRANSMIGRASI;65;PENERAPAN;20/10/2022;PERSEN;2023
64;15;JAMBI;KOTA PEDULI ITIK (KONSULTASI PELAYANAN EDUKASI LINGKUP POLITIK);BADAN KESATUAN BANGDA DAN POLITIK (IGA2020.KEBANGPOL.PROVINSI.JAMBI);DIGITAL;OPD;SOSIAL;65;PENERAPAN;02/08/2022;PERSEN;2023
65;15;JAMBI;"PENYAMPAIAN HARIKSAJI EWA SILAYAN (PENYAMPAIAN HASIL
PEMERIKSAAN & PENGUJIAN MELALUI E-MAIL & WHATSAPP & PROMOSI PELAYANAN)";"DINAS KESAHATAN JAMBI
(IGA2020.DINKES.PROVINSI.JAMBI)";DIGITAL;OPD;KESEHATAN;64;PENERAPAN;01/01/2022;PERSEN;2023
66;15;JAMBI;IIS DAHLIA (INPUT INFORMASI DATA HASIL PELATIHAN);DINAS KOPERASI DAN UKM JAMBI (IGA2020.DISKOP.PROVINSI.JAMBI);DIGITAL;KEPALA DAERAH;KOPERASI, USAHA KECIL, DAN MENENGAH;62;PENERAPAN;01/08/2021;PERSEN;2023
67;15;JAMBI;SITUS PENCARIAN LOWONGAN KERJA / SIBAKOL (SISTEM INFORMASI BURSA KERJA ONLINE);"DINAS NAKERTRANS JAMBI
(IGA2020.NAKERTRANS.PROVINSI.JAMBI)";DIGITAL;KEPALA DAERAH;TENAGA KERJA, TRANSMIGRASI;59;PENERAPAN;23/03/2021;PERSEN;2023
68;15;JAMBI;SIKEBUT (SISTEM PEMBERIAN KODE DAN ATRIBUT WILAYAH IZIN USAHA PERTAMBANGAN (WIUP);"ESDM JAMBI
(IGA2020.ESDM.PROVINSI.JAMBI)";DIGITAL;OPD;PERTANIAN;56;PENERAPAN;03/10/2022;PERSEN;2023
69;15;JAMBI;SPPD (SALURAN PERKEMBANGAN PERKOPERASIAN DIJAMBI);DINAS KOPERASI DAN UKM JAMBI (IGA2020.DISKOP.PROVINSI.JAMBI);DIGITAL;OPD;"PEMBERDAYAA
N MASYARAKAT DAN DESA,KOPERASI, USAHA KECIL,
DAN MENENGAH";55;PENERAPAN;12/01/2021;PERSEN;2023
70;15;JAMBI;PANGKAS MENIRU MANTAN (PAPAN BEKAS MENDULANG RUPIAH SELAMATKAN HUTAN);"DINAS KEHUTANAN JAMBI
(IGA2020.KEHUTANAN.PROVINSI.JAMBI)";NON DIGITAL;KEPALA DAERAH;PENDIDIKAN, KEHUTANAN;55;PENERAPAN;25/06/2021;PERSEN;2023
71;15;JAMBI;GUGUP (GANGGUAN USAHA PERKEBUNAN);"DINAS PERKEBUNAN JAMBI
(IGA2020.DISBUN.PROVINSI.JAMBI)";NON DIGITAL;OPD;PERTANIAN;52;PENERAPAN;20/12/2022;PERSEN;2023
72;15;JAMBI;PASIR SABUN (PASCA PANEN HILIRISASI PERKEBUNAN);"DINAS PERKEBUNAN JAMBI
(IGA2020.DISBUN.PROVINSI.JAMBI)";NON DIGITAL;OPD;PERTANIAN;50;PENERAPAN;22/12/2022;PERSEN;2023
73;15;JAMBI;EDU-SUPMERI (EDUKASI SUAMI PEDULI MAMMAE ISTERI);"DINAS KESAHATAN JAMBI
(IGA2020.DINKES.PROVINSI.JAMBI)";NON DIGITAL;ASN;KESEHATAN;50;PENERAPAN;31/03/2022;PERSEN;2023
74;15;JAMBI;PELOR KESBANG (PELAYANAN ORMAS KESATUAN BANGSA) PROVINSI JAMBI;BADAN KESATUAN BANGDA DAN POLITIK (IGA2020.KEBANGPOL.PROVINSI.JAMBI);DIGITAL;OPD;"PEMBERDAYAA
N MASYARAKAT DAN DESA";50;PENERAPAN;08/02/2022;PERSEN;2023
75;15;JAMBI;G- SABER (GERAKAN SAWIT BERKELANJUTAN);"DINAS PERKEBUNAN JAMBI
(IGA2020.DISBUN.PROVINSI.JAMBI)";NON DIGITAL;OPD;PERTANIAN;47;PENERAPAN;27/12/2022;PERSEN;2023
76;15;JAMBI;SURAT MENYURAT SEKITAR KAMI (SURATMI);BIRO PEMERINTAHAN SETDA PROVINSI JAMBI (IGA2020.PEMERINTAHAN.PROVINSI.JAMBI);DIGITAL;OPD;KOMUNIKASI DAN INFORMATIKA;45;PENERAPAN;10/08/2022;PERSEN;2023
77;15;JAMBI;DPO (DATA PENGUNJUNG ONLINE);"
DINAS KOPERASI DAN UKM JAMBI (IGA2020.DISKOP.PROVINSI.JAMBI)";DIGITAL;KEPALA DAERAH;KOPERASI, USAHA KECIL, MENENGAH;43;PENERAPAN;09/09/2021;PERSEN;2023
78;15;JAMBI;SIGADIS JAMBI (SISTEM INFORMASI KELUARGA DESA WISMA JAMBI);"
BALITBANGDA JAMBI
(IGA2020.PROVINSI.JAMBI)";DIGITAL;OPD;SOSIAL, KOMUNIKASI DAN INFORMATIKA;41;PENERAPAN;02/08/2021;PERSEN;2023
79;15;JAMBI;APLIKASI HELPDESK ANBK PROVINSI JAMBI;"
DINAS PENDIDIKAN JAMBI
(IGA2020.DISDIK.PROVINSI.JAMBI)";DIGITAL;KEPALA DAERAH;PENDIDIKAN, SOSIAL, KOMUNIKASI DAN INFORMATIKA;41;PENERAPAN;14/09/2022;PERSEN;2023
80;15;JAMBI;KPK (KOREKSI PELAYANAN KAMI);DINAS KOPERASI DAN UKM JAMBI (IGA2020.DISKOP.PROVINSI.JAMBI);DIGITAL;KEPALA DAERAH;"KOPERASI,
USAHA KECIL, DAN MENENGAH";36;PENERAPAN;20/07/2021;PERSEN;2023
81;15;JAMBI;ATK (ABSEN TEKNIS KEGIATAN);DINAS KOPERASI DAN UKM JAMBI (IGA2020.DISKOP.PROVINSI.JAMBI);DIGITAL;KEPALA DAERAH;KOPERASI, USAHA KECIL, DAN MENENGAH;36;PENERAPAN;10/08/2022;PERSEN;2023
82;15;JAMBI;TBK (TENDA BERITA KOPERASI);DINAS KOPERASI DAN UKM JAMBI (IGA2020.DISKOP.PROVINSI.JAMBI);NON DIGITAL;KEPALA DAERAH;"KOMUNIKASI
DAN INFORMATIKA";36;PENERAPAN;05/10/2021;PERSEN;2023
83;15;JAMBI;SPT (SALURAN PELAYANAN TELPON WA);DINAS KOPERASI DAN UKM JAMBI (IGA2020.DISKOP.PROVINSI.JAMBI);DIGITAL;KEPALA DAERAH;"KOMUNIKASI
DAN INFORMATIKA";36;PENERAPAN;12/10/2022;PERSEN;2023
84;15;JAMBI;SISTIM INFORMASI SISTIM INFORMASI KONSUMEN CERDAS (SIKONCER)CERDAS (SIKONCER);"DINAS PERINDAG JAMBI
(IGA2020.PERINDAG.PROVINSI.JAMBI)";DIGITAL;OPD;PERDAGANGAN, PERINDUSTRIAN;34;PENERAPAN;14/06/2022;PERSEN;2023
85;15;JAMBI;SISTEM INFORMASI DAN DATA TAHURA JAMBI (SITAJAM);"DINAS KEHUTANAN JAMBI
(IGA2020.KEHUTANAN.PROVINSI.JAMBI)";DIGITAL;KEPALA DAERAH;SOSIAL;3;PENERAPAN;11/01/2022;PERSEN;2023
86;15;JAMBI;KORPS BUN ( KORPORASI PETANI PERKEBUNAN);"

DINAS PERKEBUNAN JAMBI
(IGA2020.DISBUN.PROVINSI.JAMBI)";NON DIGITAL;OPD;PERTANIAN;28;PENERAPAN;29/12/2022;PERSEN;2023
87;15;JAMBI;PANGGUNG KREASI II;BALITBANGDA JAMBI (IGA2020.PROVINSI.JAMBI);NON DIGITAL;OPD;"PEKERJAAN
UMUM DAN
PENATAAN RUANG";27;PENERAPAN;08/08/2021;PERSEN;2023
88;15;JAMBI;LAYANAN KALIBRASI;"DINAS PERINDAG JAMBI
(IGA2020.PERINDAG.PROVINSI.JAMBI)";NON DIGITAL;OPD;PERDAGANGAN, PERINDUSTRIAN;26;PENERAPAN;22/03/2021;PERSEN;2023
89;15;JAMBI;SIKEJAR;"DINAS NAKERTRANS JAMBI
(IGA2020.NAKERTRANS.PROVINSI.JAMBI)";DIGITAL;KEPALA DAERAH;TENAGA KERJA, TRANSMIGRASI;22;PENERAPAN;07/06/2022;PERSEN;2023
90;15;JAMBI;LEMBAGA SERTIFIKASI PRODUK (LSPRO);"DINAS PERINDAG JAMBI
(IGA2020.PERINDAG.PROVINSI.JAMBI)";NON DIGITAL;OPD;PERDAGANGAN, PERINDUSTRIAN;21;PENERAPAN;01/01/2023;PERSEN;2023
91;15;JAMBI;IMAKS CARE (LMPLEMENTASI MANEJEMEN ASUHAN KEPERAWATAN BERBASIS PATIENT CENTERED CARE);"BALITBANGDA JAMBI
(IGA2020.PROVINSI.JAMBI)";DIGITAL;OPD;KESEHATAN,SOSIAL;20;PENERAPAN;08/06/2021;PERSEN;2023
92;15;JAMBI;LAYANAN PENGUJIAN;"DINAS PERINDAG JAMBI
(IGA2020.PERINDAG.PROVINSI.JAMBI)";NON DIGITAL;OPD;PERDAGANGAN, PERINDUSTRIAN;20;PENERAPAN;22/03/2021;PERSEN;2023
93;15;JAMBI;KLINIK LKPM ONLINE;DINAS PM DAN PTSP JAMBI (IGA2020.PTSP.PROVINSI.JAMBI);DIGITAL;OPD;PENANAMAN MODAL;20;PENERAPAN;05/04/2021;PERSEN;2023
94;15;JAMBI;SI PATIN (SISTEM INFORMASI PENGENDALIAN PENYAKIT IKAN);DINAS KELAUTAN DAN PERIKANAN JAMBI (IGA2020.DKPP.PROVINSI.JAMBI);DIGITAL;OPD;KELAUTAN DAN PERIKANAN;15;PENERAPAN;01/12/2021;PERSEN;2023
