NO;kode_provinsi;kode_kabupaten_kota;kategori;uraian;jumlah;satuan;tahun
207;15;1507;TERNAK BESAR;KERBAU;743;EKOR;2021
208;15;1507;TERNAK BESAR;KUDA;0;EKOR;2021
209;15;1507;TERNAK KECIL;KAMBING;47.758;EKOR;2021
210;15;1507;TERNAK KECIL;DOMBA;819;EKOR;2021
211;15;1507;TERNAK KECIL;BABI;60;EKOR;2021
212;15;1507;TERNAK UNGGAS;AYAM KAMPUNG;1.208.096;EKOR;2021
213;15;1507;TERNAK UNGGAS;AYAM PETELUR;4.000;EKOR;2021
214;15;1507;TERNAK UNGGAS;AYAM PEDAGING;728.035;EKOR;2021
215;15;1507;TERNAK UNGGAS;ITIK;90.817;EKOR;2021
216;15;1507;TERNAK UNGGAS;ITIK MANILA;0;EKOR;2021
217;15;1508;TERNAK BESAR;SAPI PERAH;0;EKOR;2021
218;15;1508;TERNAK BESAR;SAPI POTONG;21.188;EKOR;2021
219;15;1508;TERNAK BESAR;KERBAU;10.472;EKOR;2021
220;15;1508;TERNAK BESAR;KUDA;0;EKOR;2021
221;15;1508;TERNAK KECIL;KAMBING;54.081;EKOR;2021
222;15;1508;TERNAK KECIL;DOMBA;15.259;EKOR;2021
223;15;1508;TERNAK KECIL;BABI;0;EKOR;2021
224;15;1508;TERNAK UNGGAS;AYAM KAMPUNG;655.143;EKOR;2021
225;15;1508;TERNAK UNGGAS;AYAM PETELUR;14.002;EKOR;2021
226;15;1508;TERNAK UNGGAS;AYAM PEDAGING;2.063.949;EKOR;2021
227;15;1508;TERNAK UNGGAS;ITIK;67.346;EKOR;2021
228;15;1508;TERNAK UNGGAS;ITIK MANILA;0;EKOR;2021
229;15;1509;TERNAK BESAR;SAPI PERAH;0;EKOR;2021
230;15;1509;TERNAK BESAR;SAPI POTONG;40.834;EKOR;2021
231;15;1509;TERNAK BESAR;KERBAU;5.382;EKOR;2021
232;15;1509;TERNAK BESAR;KUDA;4;EKOR;2021
233;15;1509;TERNAK KECIL;KAMBING;44.514;EKOR;2021
234;15;1509;TERNAK KECIL;DOMBA;9.947;EKOR;2021
235;15;1509;TERNAK KECIL;BABI;79;EKOR;2021
236;15;1509;TERNAK UNGGAS;AYAM KAMPUNG;408.072;EKOR;2021
237;15;1509;TERNAK UNGGAS;AYAM PETELUR;14.890;EKOR;2021
238;15;1509;TERNAK UNGGAS;AYAM PEDAGING;10.400.996;EKOR;2021
239;15;1509;TERNAK UNGGAS;ITIK;71.879;EKOR;2021
240;15;1509;TERNAK UNGGAS;ITIK MANILA;0;EKOR;2021
241;15;1571;TERNAK BESAR;SAPI PERAH;10;EKOR;2021
242;15;1571;TERNAK BESAR;SAPI POTONG;1.582;EKOR;2021
243;15;1571;TERNAK BESAR;KERBAU;140;EKOR;2021
244;15;1571;TERNAK BESAR;KUDA;3;EKOR;2021
245;15;1571;TERNAK KECIL;KAMBING;7.540;EKOR;2021
246;15;1571;TERNAK KECIL;DOMBA;1.045;EKOR;2021
247;15;1571;TERNAK KECIL;BABI;292;EKOR;2021
248;15;1571;TERNAK UNGGAS;AYAM KAMPUNG;82.990;EKOR;2021
249;15;1571;TERNAK UNGGAS;AYAM PETELUR;11.242;EKOR;2021
250;15;1571;TERNAK UNGGAS;AYAM PEDAGING;2.389.678;EKOR;2021
251;15;1571;TERNAK UNGGAS;ITIK;7.485;EKOR;2021
252;15;1571;TERNAK UNGGAS;ITIK MANILA;0;EKOR;2021
253;15;1572;TERNAK BESAR;SAPI PERAH;0;EKOR;2021
254;15;1572;TERNAK BESAR;SAPI POTONG;4.563;EKOR;2021
255;15;1572;TERNAK BESAR;KERBAU;377;EKOR;2021
256;15;1572;TERNAK BESAR;KUDA;67;EKOR;2021
257;15;1572;TERNAK KECIL;KAMBING;11.255;EKOR;2021
258;15;1572;TERNAK KECIL;DOMBA;3.590;EKOR;2021
259;15;1572;TERNAK KECIL;BABI;0;EKOR;2021
260;15;1572;TERNAK UNGGAS;AYAM KAMPUNG;389.383;EKOR;2021
261;15;1572;TERNAK UNGGAS;AYAM PETELUR;185.006;EKOR;2021
262;15;1572;TERNAK UNGGAS;AYAM PEDAGING;311.178;EKOR;2021
263;15;1572;TERNAK UNGGAS;ITIK;75.971;EKOR;2021
264;15;1572;TERNAK UNGGAS;ITIK MANILA;0;EKOR;2021
265;15;1501;TERNAK BESAR;SAPI POTONG;10.977;EKOR;2022
266;15;1501;TERNAK BESAR;SAPI PERAH;0;EKOR;2022
267;15;1501;TERNAK BESAR;KERBAU;4.241;EKOR;2022
268;15;1501;TERNAK BESAR;KUDA;42;EKOR;2022
269;15;1501;TERNAK KECIL;KAMBING;9.908;EKOR;2022
270;15;1501;TERNAK KECIL;DOMBA;1.016;EKOR;2022
271;15;1501;TERNAK KECIL;BABI;0;EKOR;2022
272;15;1501;TERNAK UNGGAS;AYAM BURAS;294.738;EKOR;2022
273;15;1501;TERNAK UNGGAS;AYAM RAS PETELUR;60.810;EKOR;2022
274;15;1501;TERNAK UNGGAS;AYAM BROILER;1.358.886;EKOR;2022
275;15;1501;TERNAK UNGGAS;ITIK;101.409;EKOR;2022
276;15;1501;TERNAK UNGGAS;ITIK MANILA;4.250;EKOR;2022
277;15;1502;TERNAK BESAR;SAPI POTONG;17.092;EKOR;2022
278;15;1502;TERNAK BESAR;SAPI PERAH;1;EKOR;2022
279;15;1502;TERNAK BESAR;KERBAU;475;EKOR;2022
280;15;1502;TERNAK BESAR;KUDA;3;EKOR;2022
281;15;1502;TERNAK KECIL;KAMBING;45.839;EKOR;2022
282;15;1502;TERNAK KECIL;DOMBA;3.751;EKOR;2022
283;15;1502;TERNAK KECIL;BABI;85;EKOR;2022
284;15;1502;TERNAK UNGGAS;AYAM BURAS;2.579.164;EKOR;2022
285;15;1502;TERNAK UNGGAS;AYAM RAS PETELUR;21.612;EKOR;2022
286;15;1502;TERNAK UNGGAS;AYAM BROILER;4.620.212;EKOR;2022
287;15;1502;TERNAK UNGGAS;ITIK;28.636;EKOR;2022
288;15;1502;TERNAK UNGGAS;ITIK MANILA;0;EKOR;2022
289;15;1503;TERNAK BESAR;SAPI POTONG;8.828;EKOR;2022
290;15;1503;TERNAK BESAR;SAPI PERAH;0;EKOR;2022
291;15;1503;TERNAK BESAR;KERBAU;861;EKOR;2022
292;15;1503;TERNAK BESAR;KUDA;0;EKOR;2022
293;15;1503;TERNAK KECIL;KAMBING;42.994;EKOR;2022
294;15;1503;TERNAK KECIL;DOMBA;13.083;EKOR;2022
295;15;1503;TERNAK KECIL;BABI;0;EKOR;2022
296;15;1503;TERNAK UNGGAS;AYAM BURAS;140.385;EKOR;2022
297;15;1503;TERNAK UNGGAS;AYAM RAS PETELUR;3.361;EKOR;2022
298;15;1503;TERNAK UNGGAS;AYAM BROILER;905.924;EKOR;2022
299;15;1503;TERNAK UNGGAS;ITIK;10.250;EKOR;2022
300;15;1503;TERNAK UNGGAS;ITIK MANILA;0;EKOR;2022
301;15;1504;TERNAK BESAR;SAPI POTONG;9.536;EKOR;2022
302;15;1504;TERNAK BESAR;SAPI PERAH;0;EKOR;2022
303;15;1504;TERNAK BESAR;KERBAU;9.245;EKOR;2022
304;15;1504;TERNAK BESAR;KUDA;0;EKOR;2022
305;15;1504;TERNAK KECIL;KAMBING;57.852;EKOR;2022
306;15;1504;TERNAK KECIL;DOMBA;16.388;EKOR;2022
307;15;1504;TERNAK KECIL;BABI;507;EKOR;2022
308;15;1504;TERNAK UNGGAS;AYAM BURAS;2.147.763;EKOR;2022
309;15;1504;TERNAK UNGGAS;AYAM RAS PETELUR;15.461;EKOR;2022
310;15;1504;TERNAK UNGGAS;AYAM BROILER;2.264.809;EKOR;2022
311;15;1504;TERNAK UNGGAS;ITIK;68.593;EKOR;2022
312;15;1504;TERNAK UNGGAS;ITIK MANILA;0;EKOR;2022
313;15;1505;TERNAK BESAR;SAPI POTONG;15.445;EKOR;2022
314;15;1505;TERNAK BESAR;SAPI PERAH;3;EKOR;2022
315;15;1505;TERNAK BESAR;KERBAU;1.212;EKOR;2022
316;15;1505;TERNAK BESAR;KUDA;1;EKOR;2022
317;15;1505;TERNAK KECIL;KAMBING;42.697;EKOR;2022
318;15;1505;TERNAK KECIL;DOMBA;1.109;EKOR;2022
319;15;1505;TERNAK KECIL;BABI;734;EKOR;2022
320;15;1505;TERNAK UNGGAS;AYAM BURAS;1.359.119;EKOR;2022
321;15;1505;TERNAK UNGGAS;AYAM RAS PETELUR;2.280.104;EKOR;2022
322;15;1505;TERNAK UNGGAS;AYAM BROILER;21.769.352;EKOR;2022
323;15;1505;TERNAK UNGGAS;ITIK;35.832;EKOR;2022
324;15;1505;TERNAK UNGGAS;ITIK MANILA;0;EKOR;2022
325;15;1506;TERNAK BESAR;SAPI POTONG;21.829;EKOR;2022
326;15;1506;TERNAK BESAR;SAPI PERAH;0;EKOR;2022
327;15;1506;TERNAK BESAR;KERBAU;81;EKOR;2022
328;15;1506;TERNAK BESAR;KUDA;0;EKOR;2022
329;15;1506;TERNAK KECIL;KAMBING;45.001;EKOR;2022
330;15;1506;TERNAK KECIL;DOMBA;57;EKOR;2022
331;15;1506;TERNAK KECIL;BABI;0;EKOR;2022
332;15;1506;TERNAK UNGGAS;AYAM BURAS;3.982.641;EKOR;2022
333;15;1506;TERNAK UNGGAS;AYAM RAS PETELUR;211.604;EKOR;2022
334;15;1506;TERNAK UNGGAS;AYAM BROILER;1.019.164;EKOR;2022
335;15;1506;TERNAK UNGGAS;ITIK;58.094;EKOR;2022
336;15;1506;TERNAK UNGGAS;ITIK MANILA;0;EKOR;2022
337;15;1507;TERNAK BESAR;SAPI POTONG;9.151;EKOR;2022
338;15;1507;TERNAK BESAR;SAPI PERAH;0;EKOR;2022
339;15;1507;TERNAK BESAR;KERBAU;748;EKOR;2022
340;15;1507;TERNAK BESAR;KUDA;0;EKOR;2022
341;15;1507;TERNAK KECIL;KAMBING;4.801;EKOR;2022
342;15;1507;TERNAK KECIL;DOMBA;809;EKOR;2022
343;15;1507;TERNAK KECIL;BABI;58;EKOR;2022
