NO;kode_provinsi;nama_provinsi;kode_kabupaten_kota;nama_kabupaten_kota;kode_kecamatan;nama_kecamatan;jumlah_keluarga_berisiko_stunting;keluarga_tidak_memiliki_sumber_air_minum_layak;keluarga_tidak_memiliki_jamban_layak;pus_terlalu_muda_tidak_menggunakan_kb;pus_terlalu_tua_tidak_menggunakan_kb;pus_terlalu_dekat_tidak_menggunakan_kb;pus_terlalu_banyak_tidak_menggunakan_kb
;15;JAMBI;1507;TANJUNG JABUNG TIMUR;150707;MUARA SABAK BARAT;1.486;392;825;10;1.124;15;1.235
;15;JAMBI;1507;TANJUNG JABUNG TIMUR;150701;MUARA SABAK TIMUR;3.372;2.214;1.494;16;1.387;28;1.308
;15;JAMBI;1507;TANJUNG JABUNG TIMUR;150702;NIPAH PANJANG;3.348;2.955;1.267;22;1.065;23;1.292
;15;JAMBI;1507;TANJUNG JABUNG TIMUR;150704;RANTAU RASAU;2.288;1.803;670;29;1.119;22;1.096
;15;JAMBI;1507;TANJUNG JABUNG TIMUR;150705;S A D U;1.530;922;994;38;640;22;764
;15;JAMBI;1508;BUNGO;150815;BATHIN II PELAYANG;530;319;316;31;347;4;447
;15;JAMBI;1508;BUNGO;150811;BATHIN III;1.324;252;605;32;1.254;36;1.447
;15;JAMBI;1508;BUNGO;150814;BATHIN III ULU;1.193;677;807;51;389;5;743
;15;JAMBI;1508;BUNGO;150810;BATIN II BABEKO;860;188;420;62;622;10;862
;15;JAMBI;1508;BUNGO;150812;BUNGO DANI;1.006;90;324;13;1.095;30;1.491
;15;JAMBI;1508;BUNGO;150804;JUJUHAN;1.035;243;407;45;830;20;1.241
;15;JAMBI;1508;BUNGO;150816;JUJUHAN ILIR;621;254;274;12;471;10;448
;15;JAMBI;1508;BUNGO;150807;LIMBUR LUBUK MENGKUANG;1.230;114;903;45;657;12;828
;15;JAMBI;1508;BUNGO;150808;MUKO-MUKO BATHIN VII;1.451;569;1.022;42;620;20;1.082
;15;JAMBI;1508;BUNGO;150803;PASAR MUARO BUNGO;870;81;93;12;830;33;1.091
;15;JAMBI;1508;BUNGO;150806;PELEPAT;2.301;714;1.426;94;1.493;34;2.143
;15;JAMBI;1508;BUNGO;150809;PELEPAT ILIR;2.542;299;1.293;87;2.535;38;2.470
;15;JAMBI;1508;BUNGO;150802;RANTAU PANDAN;855;228;636;56;434;10;705
;15;JAMBI;1508;BUNGO;150813;RIMBO TENGAH;1.223;48;375;17;1.456;35;1.423
;15;JAMBI;1508;BUNGO;150805;TANAH SEPENGGAL;2.357;760;1.804;78;1.036;17;1.295
;15;JAMBI;1508;BUNGO;150817;TANAH SEPENGGAL LINTAS;2.017;514;1.496;68;980;14;1.283
;15;JAMBI;1508;BUNGO;150801;TANAH TUMBUH;1.287;625;995;41;587;10;810
;15;JAMBI;1509;TEBO;150912;MUARA TABIR;1.566;659;980;75;834;10;918
;15;JAMBI;1509;TEBO;150904;RIMBO BUJANG;2.326;458;612;65;2.939;51;2.926
;15;JAMBI;1509;TEBO;150908;RIMBO ILIR;1.268;923;112;12;1.038;14;707
;15;JAMBI;1509;TEBO;150907;RIMBO ULU;1.501;333;623;46;1.856;31;1.757
;15;JAMBI;1509;TEBO;150910;SERAI SERUMPUN;792;380;446;45;498;9;564
;15;JAMBI;1509;TEBO;150905;SUMAY;1.805;502;1.179;34;1.107;10;1.264
;15;JAMBI;1509;TEBO;150902;TEBO ILIR;1.775;726;936;56;1.382;22;1.707
;15;JAMBI;1509;TEBO;150901;TEBO TENGAH;2.212;709;1.062;25;1.759;18;1.928
;15;JAMBI;1509;TEBO;150903;TEBO ULU;2.154;755;1.391;103;1.576;28;1.983
;15;JAMBI;1509;TEBO;150909;TENGAH ILIR;1.816;653;963;42;1.094;18;1.235
;15;JAMBI;1509;TEBO;150906;VII KOTO;1.199;430;721;43;954;20;1.266
;15;JAMBI;1509;TEBO;150911;VII KOTO ILIR;1.252;530;904;50;797;14;957
;15;JAMBI;1571;KOTA JAMBI;157109;ALAM BARAJO;2.842;362;377;13;4.523;122;4.910
;15;JAMBI;1571;KOTA JAMBI;157110;DANAU SIPIN;1.405;54;606;10;1.327;54;1.566
;15;JAMBI;1571;KOTA JAMBI;157106;DANAU TELUK;262;26;44;5;475;17;634
;15;JAMBI;1571;KOTA JAMBI;157102;JAMBI SELATAN;1.920;101;644;3;1.891;67;2.138
;15;JAMBI;1571;KOTA JAMBI;157103;JAMBI TIMUR;2.383;104;751;20;2.280;73;2.597
;15;JAMBI;1571;KOTA JAMBI;157108;JELUTUNG;1.454;73;379;9;1.765;56;2.062
;15;JAMBI;1571;KOTA JAMBI;157107;KOTA BARU;2.340;190;361;12;2.936;89;2.849
;15;JAMBI;1571;KOTA JAMBI;157111;PAAL MERAH;2.941;280;496;15;4.140;109;4.361
;15;JAMBI;1571;KOTA JAMBI;157104;PASAR JAMBI;368;1;208;3;289;12;349
;15;JAMBI;1571;KOTA JAMBI;157105;PELAYANGAN;464;43;91;11;496;25;665
;15;JAMBI;1571;KOTA JAMBI;157101;TELANAIPURA;1.170;146;55;19;1.759;42;1.989
;15;JAMBI;1572;KOTA SUNGAI PENUH;157203;HAMPARAN RAWANG;723;48;574;20;618;5;634
;15;JAMBI;1572;KOTA SUNGAI PENUH;157207;KOTO BARU;484;5;380;14;391;2;607
;15;JAMBI;1572;KOTA SUNGAI PENUH;157205;KUMUN DEBAI;341;151;221;7;343;0;290
;15;JAMBI;1572;KOTA SUNGAI PENUH;157202;PESISIR BUKIT;643;41;415;18;517;5;560
;15;JAMBI;1572;KOTA SUNGAI PENUH;157206;PONDOK TINGGI;934;148;377;10;660;17;859
;15;JAMBI;1572;KOTA SUNGAI PENUH;157208;SUNGAI BUNGKAL;344;4;174;8;368;14;450
;15;JAMBI;1572;KOTA SUNGAI PENUH;157201;SUNGAI PENUH;550;9;409;3;351;18;458
;15;JAMBI;1572;KOTA SUNGAI PENUH;157204;TANAH KAMPUNG;463;31;313;10;433;6;299
