id;kode_provinsi;nama_provinsi;kode_kabupaten_kota;komoditi;jumlah_petani;satuan;tahun
;15;JAMBI;1505;PINANG;1322;KEPALA KELUARGA;2023
;15;JAMBI;1505;KOPI LIBERIKA;0;KEPALA KELUARGA;2023
;15;JAMBI;1506;KARET;3512;KEPALA KELUARGA;2023
;15;JAMBI;1506;KELAPA SAWIT;32397;KEPALA KELUARGA;2023
;15;JAMBI;1506;KELAPA DALAM;19903;KEPALA KELUARGA;2023
;15;JAMBI;1506;KOPI ROBUSTA;0;KEPALA KELUARGA;2023
;15;JAMBI;1506;KOPI ARABIKA;0;KEPALA KELUARGA;2023
;15;JAMBI;1506;CASSIAVERA;0;KEPALA KELUARGA;2023
;15;JAMBI;1506;KAKAO;113;KEPALA KELUARGA;2023
;15;JAMBI;1506;PINANG;9414;KEPALA KELUARGA;2023
;15;JAMBI;1506;KOPI LIBERIKA;2432;KEPALA KELUARGA;2023
;15;JAMBI;1507;KARET;4259;KEPALA KELUARGA;2023
;15;JAMBI;1507;KELAPA SAWIT;11619;KEPALA KELUARGA;2023
;15;JAMBI;1507;KELAPA DALAM;22862;KEPALA KELUARGA;2023
;15;JAMBI;1507;KOPI ROBUSTA;0;KEPALA KELUARGA;2023
;15;JAMBI;1507;KOPI ARABIKA;0;KEPALA KELUARGA;2023
;15;JAMBI;1507;CASSIAVERA;0;KEPALA KELUARGA;2023
;15;JAMBI;1507;KAKAO;752;KEPALA KELUARGA;2023
;15;JAMBI;1507;PINANG;9330;KEPALA KELUARGA;2023
;15;JAMBI;1507;KOPI LIBERIKA;2697;KEPALA KELUARGA;2023
;15;JAMBI;1508;KARET;47295;KEPALA KELUARGA;2023
;15;JAMBI;1508;KELAPA SAWIT;25461;KEPALA KELUARGA;2023
;15;JAMBI;1508;KELAPA DALAM;13519;KEPALA KELUARGA;2023
;15;JAMBI;1508;KOPI ROBUSTA;680;KEPALA KELUARGA;2023
;15;JAMBI;1508;KOPI ARABIKA;0;KEPALA KELUARGA;2023
;15;JAMBI;1508;CASSIAVERA;137;KEPALA KELUARGA;2023
;15;JAMBI;1508;KAKAO;118;KEPALA KELUARGA;2023
;15;JAMBI;1508;PINANG;2548;KEPALA KELUARGA;2023
;15;JAMBI;1508;KOPI LIBERIKA;0;KEPALA KELUARGA;2023
;15;JAMBI;1509;KARET;53391;KEPALA KELUARGA;2023
;15;JAMBI;1509;KELAPA SAWIT;22156;KEPALA KELUARGA;2023
;15;JAMBI;1509;KELAPA DALAM;1470;KEPALA KELUARGA;2023
;15;JAMBI;1509;KOPI ROBUSTA;245;KEPALA KELUARGA;2023
;15;JAMBI;1509;KOPI ARABIKA;0;KEPALA KELUARGA;2023
;15;JAMBI;1509;CASSIAVERA;0;KEPALA KELUARGA;2023
;15;JAMBI;1509;KAKAO;523;KEPALA KELUARGA;2023
;15;JAMBI;1509;PINANG;472;KEPALA KELUARGA;2023
;15;JAMBI;1509;KOPI LIBERIKA;0;KEPALA KELUARGA;2023
;15;JAMBI;1571;KARET;0;KEPALA KELUARGA;2023
;15;JAMBI;1571;KELAPA SAWIT;0;KEPALA KELUARGA;2023
;15;JAMBI;1571;KELAPA DALAM;0;KEPALA KELUARGA;2023
;15;JAMBI;1571;KOPI ROBUSTA;0;KEPALA KELUARGA;2023
;15;JAMBI;1571;KOPI ARABIKA;0;KEPALA KELUARGA;2023
;15;JAMBI;1571;CASSIAVERA;0;KEPALA KELUARGA;2023
;15;JAMBI;1571;KAKAO;0;KEPALA KELUARGA;2023
;15;JAMBI;1571;PINANG;0;KEPALA KELUARGA;2023
;15;JAMBI;1571;KOPI LIBERIKA;0;KEPALA KELUARGA;2023
;15;JAMBI;1572;KARET;0;KEPALA KELUARGA;2023
;15;JAMBI;1572;KELAPA SAWIT;0;KEPALA KELUARGA;2023
;15;JAMBI;1572;KELAPA DALAM;22;KEPALA KELUARGA;2023
;15;JAMBI;1572;KOPI ROBUSTA;520;KEPALA KELUARGA;2023
;15;JAMBI;1572;KOPI ARABIKA;1409;KEPALA KELUARGA;2023
;15;JAMBI;1572;CASSIAVERA;377;KEPALA KELUARGA;2023
;15;JAMBI;1572;KAKAO;251;KEPALA KELUARGA;2023
;15;JAMBI;1572;PINANG;179;KEPALA KELUARGA;2023
;15;JAMBI;1572;KOPI LIBERIKA;0;KEPALA KELUARGA;2023
;15;JAMBI;1501;KARET;1244;KEPALA KELUARGA;2024
;15;JAMBI;1501;KELAPA SAWIT;40;KEPALA KELUARGA;2024
;15;JAMBI;1501;KELAPA DALAM;173;KEPALA KELUARGA;2024
;15;JAMBI;1501;KOPI ROBUSTA;7593;KEPALA KELUARGA;2024
;15;JAMBI;1501;KOPI ARABIKA;3246;KEPALA KELUARGA;2024
;15;JAMBI;1501;CASSIAVERA;13201;KEPALA KELUARGA;2024
;15;JAMBI;1501;KAKAO;424;KEPALA KELUARGA;2024
;15;JAMBI;1501;PINANG;675;KEPALA KELUARGA;2024
;15;JAMBI;1501;KOPI LIBERIKA;0;KEPALA KELUARGA;2024
