id;kode_provinsi;nama_provinsi;kode_kabupaten_kota;komoditi;jumlah_produktivitas;satuan;tahun
;15;JAMBI;1506;PADI;38,88;KUINTAL/HEKTAR;2024
;15;JAMBI;1506;JAGUNG;86,52;KUINTAL/HEKTAR;2024
;15;JAMBI;1506;KEDELAI;36,29;KUINTAL/HEKTAR;2024
;15;JAMBI;1506;KACANG HIJAU;60,00;KUINTAL/HEKTAR;2024
;15;JAMBI;1506;KACANG TANAH;14,57;KUINTAL/HEKTAR;2024
;15;JAMBI;1506;UBI KAYU;296,69;KUINTAL/HEKTAR;2024
;15;JAMBI;1506;UBI JALAR;252,83;KUINTAL/HEKTAR;2024
;15;JAMBI;1507;PADI;46,81;KUINTAL/HEKTAR;2024
;15;JAMBI;1507;JAGUNG;52,31;KUINTAL/HEKTAR;2024
;15;JAMBI;1507;KEDELAI;16,89;KUINTAL/HEKTAR;2024
;15;JAMBI;1507;KACANG HIJAU;0,00;KUINTAL/HEKTAR;2024
;15;JAMBI;1507;KACANG TANAH;13,60;KUINTAL/HEKTAR;2024
;15;JAMBI;1507;UBI KAYU;384,02;KUINTAL/HEKTAR;2024
;15;JAMBI;1507;UBI JALAR;235,13;KUINTAL/HEKTAR;2024
;15;JAMBI;1508;PADI;46,24;KUINTAL/HEKTAR;2024
;15;JAMBI;1508;JAGUNG;65,96;KUINTAL/HEKTAR;2024
;15;JAMBI;1508;KEDELAI;21,21;KUINTAL/HEKTAR;2024
;15;JAMBI;1508;KACANG HIJAU;7,60;KUINTAL/HEKTAR;2024
;15;JAMBI;1508;KACANG TANAH;12,81;KUINTAL/HEKTAR;2024
;15;JAMBI;1508;UBI KAYU;361,13;KUINTAL/HEKTAR;2024
;15;JAMBI;1508;UBI JALAR;215,51;KUINTAL/HEKTAR;2024
;15;JAMBI;1509;PADI;43,98;KUINTAL/HEKTAR;2024
;15;JAMBI;1509;JAGUNG;58,77;KUINTAL/HEKTAR;2024
;15;JAMBI;1509;KEDELAI;16,89;KUINTAL/HEKTAR;2024
;15;JAMBI;1509;KACANG HIJAU;8,46;KUINTAL/HEKTAR;2024
;15;JAMBI;1509;KACANG TANAH;11,81;KUINTAL/HEKTAR;2024
;15;JAMBI;1509;UBI KAYU;238,38;KUINTAL/HEKTAR;2024
;15;JAMBI;1509;UBI JALAR;150,08;KUINTAL/HEKTAR;2024
;15;JAMBI;1571;PADI;41,85;KUINTAL/HEKTAR;2024
;15;JAMBI;1571;JAGUNG;47,00;KUINTAL/HEKTAR;2024
;15;JAMBI;1571;KEDELAI;0,00;KUINTAL/HEKTAR;2024
;15;JAMBI;1571;KACANG HIJAU;10,00;KUINTAL/HEKTAR;2024
;15;JAMBI;1571;KACANG TANAH;9,25;KUINTAL/HEKTAR;2024
;15;JAMBI;1571;UBI KAYU;281,72;KUINTAL/HEKTAR;2024
;15;JAMBI;1571;UBI JALAR;110,86;KUINTAL/HEKTAR;2024
;15;JAMBI;1572;PADI;61,81;KUINTAL/HEKTAR;2024
;15;JAMBI;1572;JAGUNG;63,62;KUINTAL/HEKTAR;2024
;15;JAMBI;1572;KEDELAI;0,00;KUINTAL/HEKTAR;2024
;15;JAMBI;1572;KACANG HIJAU;0,00;KUINTAL/HEKTAR;2024
;15;JAMBI;1572;KACANG TANAH;0,00;KUINTAL/HEKTAR;2024
;15;JAMBI;1572;UBI KAYU;360,52;KUINTAL/HEKTAR;2024
;15;JAMBI;1572;UBI JALAR;240,99;KUINTAL/HEKTAR;2024
