NO;kode_provinsi;nama_provinsi;kode_kabupaten_kota;nama_kabupaten_kota;kode_kecamatan;nama_kecamatan;jumlah_keluarga_risiko_stunting;peringkat_kesejahteraan_1;peringkat_kesejahteraan_2;peringkat_kesejahteraan_3;peringkat_kesejahteraan_4;peringkat_kesejahteraan_>4
;15;JAMBI;1508;BUNGO;150808;MUKO-MUKO BATHIN VII;1.451;243;220;209;160;619
;15;JAMBI;1508;BUNGO;150803;PASAR MUARO BUNGO;870;90;70;116;86;508
;15;JAMBI;1508;BUNGO;150806;PELEPAT;2.301;348;341;336;195;1.081
;15;JAMBI;1508;BUNGO;150809;PELEPAT ILIR;2.542;162;255;364;340;1.421
;15;JAMBI;1508;BUNGO;150802;RANTAU PANDAN;855;210;150;150;120;225
;15;JAMBI;1508;BUNGO;150813;RIMBO TENGAH;1.223;63;71;81;105;903
;15;JAMBI;1508;BUNGO;150805;TANAH SEPENGGAL;2.357;245;274;275;222;1.341
;15;JAMBI;1508;BUNGO;150817;TANAH SEPENGGAL LINTAS;2.017;523;361;281;225;627
;15;JAMBI;1508;BUNGO;150801;TANAH TUMBUH;1.287;219;283;266;176;343
;15;JAMBI;1509;TEBO;150912;MUARA TABIR;1.566;231;340;230;219;546
;15;JAMBI;1509;TEBO;150904;RIMBO BUJANG;2.326;175;371;263;243;1.274
;15;JAMBI;1509;TEBO;150908;RIMBO ILIR;1.268;72;199;134;144;719
;15;JAMBI;1509;TEBO;150907;RIMBO ULU;1.501;178;298;192;180;653
;15;JAMBI;1509;TEBO;150910;SERAI SERUMPUN;792;100;140;66;61;425
;15;JAMBI;1509;TEBO;150905;SUMAY;1.805;173;371;226;195;840
;15;JAMBI;1509;TEBO;150902;TEBO ILIR;1.775;168;328;281;186;812
;15;JAMBI;1509;TEBO;150901;TEBO TENGAH;2.212;220;324;168;162;1.338
;15;JAMBI;1509;TEBO;150903;TEBO ULU;2.154;356;376;210;166;1.046
;15;JAMBI;1509;TEBO;150909;TENGAH ILIR;1.816;219;433;238;249;677
;15;JAMBI;1509;TEBO;150906;VII KOTO;1.199;217;316;160;133;373
;15;JAMBI;1509;TEBO;150911;VII KOTO ILIR;1.252;280;312;173;129;358
;15;JAMBI;1571;KOTA JAMBI;157109;ALAM BARAJO;2.842;211;178;234;203;2.016
;15;JAMBI;1571;KOTA JAMBI;157110;DANAU SIPIN;1.405;331;212;165;119;578
;15;JAMBI;1571;KOTA JAMBI;157106;DANAU TELUK;262;71;48;51;35;57
;15;JAMBI;1571;KOTA JAMBI;157102;JAMBI SELATAN;1.920;204;207;218;184;1.107
;15;JAMBI;1571;KOTA JAMBI;157103;JAMBI TIMUR;2.383;408;329;363;272;1.011
;15;JAMBI;1571;KOTA JAMBI;157108;JELUTUNG;1.454;234;165;193;158;704
;15;JAMBI;1571;KOTA JAMBI;157107;KOTA BARU;2.340;171;196;195;213;1.565
;15;JAMBI;1571;KOTA JAMBI;157111;PAAL MERAH;2.941;302;249;298;316;1.776
;15;JAMBI;1571;KOTA JAMBI;157104;PASAR JAMBI;368;56;51;39;25;197
;15;JAMBI;1571;KOTA JAMBI;157105;PELAYANGAN;464;126;100;88;42;108
;15;JAMBI;1571;KOTA JAMBI;157101;TELANAIPURA;1.170;164;119;130;107;650
;15;JAMBI;1572;KOTA SUNGAI PENUH;157203;HAMPARAN RAWANG;723;52;89;137;133;312
;15;JAMBI;1572;KOTA SUNGAI PENUH;157207;KOTO BARU;484;26;36;82;88;252
;15;JAMBI;1572;KOTA SUNGAI PENUH;157205;KUMUN DEBAI;341;83;67;37;37;117
;15;JAMBI;1572;KOTA SUNGAI PENUH;157202;PESISIR BUKIT;643;61;72;100;103;307
;15;JAMBI;1572;KOTA SUNGAI PENUH;157206;PONDOK TINGGI;934;15;36;53;116;714
;15;JAMBI;1572;KOTA SUNGAI PENUH;157208;SUNGAI BUNGKAL;344;4;5;17;37;281
;15;JAMBI;1572;KOTA SUNGAI PENUH;157201;SUNGAI PENUH;550;15;30;49;65;391
;15;JAMBI;1572;KOTA SUNGAI PENUH;157204;TANAH KAMPUNG;463;5;22;40;63;333
