id;kode_provinsi;nama_provinsi;kode_kabupaten_kota;kode_kecamatan;tanggal_kejadian;kondisi_korban;satuan;jumlah_kejadian
38;15;JAMBI;1508;150813;01/01/2022;SEKOLAH;UNIT;0
39;15;JAMBI;1508;150813;01/01/2022;KANTOR;UNIT;0
40;15;JAMBI;1508;150813;01/01/2022;TEMPAT IBADAH;JIWA;0
41;15;JAMBI;1508;150813;01/01/2022;SARANA KESEHATAN;UNIT;0
42;15;JAMBI;1508;150813;01/01/2022;PASAR;UNIT;0
43;15;JAMBI;1508;150813;01/01/2022;JEMBATAN;UNIT;0
44;15;JAMBI;1508;150813;01/01/2022;JALAN;TITIK;4
45;15;JAMBI;1508;150813;01/01/2022;JALAN;KM;0
46;15;JAMBI;1508;150813;01/01/2022;IRIGASI;HA;0
47;15;JAMBI;1508;150813;01/01/2022;KEBUN;HEKTAR;0
48;15;JAMBI;1508;150813;01/01/2022;KOLAM;HA;0
49;15;JAMBI;1508;150813;01/01/2022;SAWAH;HA;0
50;15;JAMBI;1508;150813;01/01/2022;LAHAN TIDUR;HEKTAR;0
51;15;JAMBI;1508;150814;02/01/2022;MENINGGAL DUNIA;JIWA;0
52;15;JAMBI;1508;150814;02/01/2022;LUKA BERAT;JIWA;0
53;15;JAMBI;1508;150814;02/01/2022;LUKA RINGAN;JIWA;0
54;15;JAMBI;1508;150814;02/01/2022;RUSAK TOTAL;UNIT;0
55;15;JAMBI;1508;150814;02/01/2022;RUMAH RUSAK BERAT;UNIT;0
56;15;JAMBI;1508;150814;02/01/2022;RUMAH RUSAK RINGAN;UNIT;0
57;15;JAMBI;1508;150814;02/01/2022;TERGENANG;UNIT;0
58;15;JAMBI;1508;150814;02/01/2022;TERENDAM;UNIT;0
59;15;JAMBI;1508;150814;02/01/2022;KIOS;UNIT;0
60;15;JAMBI;1508;150814;02/01/2022;BANGUNAN LAIN;UNIT;0
61;15;JAMBI;1508;150814;02/01/2022;KEPALA KELUARGA;JIWA;0
62;15;JAMBI;1508;150814;02/01/2022;JIWA;JIWA;0
63;15;JAMBI;1508;150814;02/01/2022;SEKOLAH;UNIT;0
64;15;JAMBI;1508;150814;02/01/2022;KANTOR;UNIT;0
65;15;JAMBI;1508;150814;02/01/2022;TEMPAT IBADAH;JIWA;0
66;15;JAMBI;1508;150814;02/01/2022;SARANA KESEHATAN;UNIT;0
67;15;JAMBI;1508;150814;02/01/2022;PASAR;UNIT;0
68;15;JAMBI;1508;150814;02/01/2022;JEMBATAN;UNIT;0
69;15;JAMBI;1508;150814;02/01/2022;JALAN;TITIK;8
70;15;JAMBI;1508;150814;02/01/2022;JALAN;KM;0
71;15;JAMBI;1508;150814;02/01/2022;IRIGASI;HA;0
72;15;JAMBI;1508;150814;02/01/2022;KEBUN;HEKTAR;0
73;15;JAMBI;1508;150814;02/01/2022;KOLAM;HA;0
74;15;JAMBI;1508;150814;02/01/2022;SAWAH;HA;0
75;15;JAMBI;1508;150814;02/01/2022;LAHAN TIDUR;HEKTAR;0
76;15;JAMBI;1508;150814;02/01/2022;MENINGGAL DUNIA;JIWA;0
77;15;JAMBI;1508;150814;02/01/2022;LUKA BERAT;JIWA;0
78;15;JAMBI;1508;150814;02/01/2022;LUKA RINGAN;JIWA;0
79;15;JAMBI;1508;150814;02/01/2022;RUSAK TOTAL;UNIT;0
80;15;JAMBI;1508;150814;02/01/2022;RUMAH RUSAK BERAT;UNIT;0
81;15;JAMBI;1508;150814;02/01/2022;RUMAH RUSAK RINGAN;UNIT;0
82;15;JAMBI;1508;150814;02/01/2022;TERGENANG;UNIT;0
83;15;JAMBI;1508;150814;02/01/2022;TERENDAM;UNIT;0
84;15;JAMBI;1508;150814;02/01/2022;KIOS;UNIT;0
85;15;JAMBI;1508;150814;02/01/2022;BANGUNAN LAIN;UNIT;0
86;15;JAMBI;1508;150814;02/01/2022;KEPALA KELUARGA;JIWA;0
87;15;JAMBI;1508;150814;02/01/2022;JIWA;JIWA;0
88;15;JAMBI;1508;150814;02/01/2022;SEKOLAH;UNIT;0
89;15;JAMBI;1508;150814;02/01/2022;KANTOR;UNIT;0
90;15;JAMBI;1508;150814;02/01/2022;TEMPAT IBADAH;JIWA;0
91;15;JAMBI;1508;150814;02/01/2022;SARANA KESEHATAN;UNIT;0
92;15;JAMBI;1508;150814;02/01/2022;PASAR;UNIT;0
93;15;JAMBI;1508;150814;02/01/2022;JEMBATAN;UNIT;0
94;15;JAMBI;1508;150814;02/01/2022;JALAN;TITIK;8
95;15;JAMBI;1508;150814;02/01/2022;JALAN;KM;0
96;15;JAMBI;1508;150814;02/01/2022;IRIGASI;HA;0
97;15;JAMBI;1508;150814;02/01/2022;KEBUN;HEKTAR;0
98;15;JAMBI;1508;150814;02/01/2022;KOLAM;HA;0
99;15;JAMBI;1508;150814;02/01/2022;SAWAH;HA;0
100;15;JAMBI;1508;150814;02/01/2022;LAHAN TIDUR;HEKTAR;0
101;15;JAMBI;1508;150814;05/01/2022;MENINGGAL DUNIA;JIWA;0
102;;JAMBI;;;05/01/2022;LUKA BERAT;JIWA;0
103;;JAMBI;;;05/01/2022;LUKA RINGAN;JIWA;0
104;;JAMBI;;;05/01/2022;RUSAK TOTAL;UNIT;0
105;;JAMBI;;;05/01/2022;RUMAH RUSAK BERAT;UNIT;0
106;;JAMBI;;;05/01/2022;RUMAH RUSAK RINGAN;UNIT;0
107;;JAMBI;;;05/01/2022;TERGENANG;UNIT;0
108;;JAMBI;;;05/01/2022;TERENDAM;UNIT;0
