id;kode_provinsi;nama_provinsi;kode_kabupaten_kota;kode_kecamatan;kode_puskesmas;nama_puskesmas;alamat;kemampuan_pelayanan;karakteristik_wilayah_kerja
31;15;JAMBI;1502;150202;1011413;PEMATANG KANDIS;DS. PEMATANG KANDIS, KEC. BANGKO;RAWAT INAP;PERKOTAAN
32;15;JAMBI;1502;150202;1011412;BANGKO;KEC. BANGKO;NON RAWAT INAP;PERKOTAAN
33;15;JAMBI;1502;150210;1012585;BANGKO BARAT;JL. LINTAS BANGKO KERINCI KM 11 KEC. BANGKO BARAT;NON RAWAT INAP;PERDESAAN
34;15;JAMBI;1502;150211;1012497;AUR BERDURI;DESA AUR BERDURI;NON RAWAT INAP;TERPENCIL
35;15;JAMBI;1502;150212;1012498;KEDERASAN PANJANG;KEC. BATANG MASUMAI;NON RAWAT INAP;PERDESAAN
36;15;JAMBI;1502;150204;1011414;SUNGAI MANAU;DS. SUNGAI MANAU, KEC. SUNGAI MANAU;RAWAT INAP;PERDESAAN
37;15;JAMBI;1502;150216;1011415;SIMPANG PARIT;DS. SIMPANG PARIT, KEC. RENAH PEMBARAP;NON RAWAT INAP;PERDESAAN
38;15;JAMBI;1502;150217;1011416;SUNGAI JERING;DS. RANTAU JERING, KEC. PANGKALAN JAMBU;NON RAWAT INAP;PERDESAAN
39;15;JAMBI;1502;150205;1011417;RANTAU PANJANG;KEC. TABIR;RAWAT INAP;PERKOTAAN
40;15;JAMBI;1502;150205;1012499;PASAR BARU;JL. LINTAS SUMATERA PASAR BARU;NON RAWAT INAP;PERDESAAN
41;15;JAMBI;1502;150207;1011418;MUARA JERNIH;DS. MUARA JERNIH, KEC. TABIR ULU;RAWAT INAP;PERDESAAN
42;15;JAMBI;1502;150208;1011419;MUARA DELANG;DS. MUARA DELANG, KEC. TABIR SELATAN;RAWAT INAP;PERDESAAN
43;15;JAMBI;1502;150221;1011420;SUMBER AGUNG;JLN. POROS MARGOYOSO HITAM ULU DESA SUMBER AGUNG KEC.MARGO TABIR;RAWAT INAP;PERDESAAN
44;15;JAMBI;1502;150214;1011421;RANTAU LIMAU MANIS;DS. RANTAU LIMAU MANIS, KEC. TABIR ILIR;NON RAWAT INAP;TERPENCIL
45;15;JAMBI;1502;150214;1012543;KOTA RAJA;DS. KOTA RAJA KEC. TABIR ILIR;NON RAWAT INAP;SANGAT TERPENCIL
46;15;JAMBI;1502;150215;1011422;SUNGAI BULIAN;DS. SUNGAI BULIAN, KEC. TABIR TIMUR;RAWAT INAP;SANGAT TERPENCIL
47;15;JAMBI;1502;150222;1012586;TABIR LINTAS;JL. LINTAS SUMATERA KM 19 MENSANGO  KEC. TABIR LINTAS;NON RAWAT INAP;PERDESAAN
48;15;JAMBI;1502;150223;1011423;MUARA KIBUL;DS. MUARA KIBUL, KEC. TABIR BARAT;NON RAWAT INAP;SANGAT TERPENCIL
49;15;JAMBI;1503;150301;1011424;PEKAN GEDANG;DS. PEKAN GEDANG, KEC. BATANG ASAI;RAWAT INAP;PERDESAAN
50;15;JAMBI;1503;150302;1011425;PULAU PANDAN;JL. DATUK TEMENGGUNG, KEC. LIMUN;RAWAT INAP;PERDESAAN
51;15;JAMBI;1503;150302;1011426;MERSIP;DS. MERSIP KEC. LIMUN;NON RAWAT INAP;PERDESAAN
52;15;JAMBI;1503;150310;1011427;LUBUK RESAM;DS. LUBUK RESAM, KEC. CERMIN NAN GEDANG;RAWAT INAP;PERDESAAN
53;15;JAMBI;1503;150305;1011428;PELAWAN;JL. PUSKESMAS DS. PELAWAN, KEC. PELAWAN;RAWAT INAP;PERDESAAN
54;15;JAMBI;1503;150309;1011429;SINGKUT;JL. BUDI UTOMO, KEC.  SINGKUT;RAWAT INAP;PERDESAAN
55;15;JAMBI;1503;150309;1012526;SINGKUT V;JL. LINTAS SUMATERA KM 13, SEI GEDANG;RAWAT INAP;PERDESAAN
56;15;JAMBI;1503;150303;1011430;SAROLANGUN;JL. AMAL NO. 9 KEL PASAR, KEC. SAROLANGUN;RAWAT INAP;PERKOTAAN
57;15;JAMBI;1503;150303;1012525;SUNGAI BAUNG;JL. LINTAS SUMATERA KM 10, DESA SUNGAI BAUNG;RAWAT INAP;PERDESAAN
58;15;JAMBI;1503;150308;1011431;LIMBUR TEMBESI;JL. LINTAS SUMATERA KM 25, KEC. BATHIN VIII;RAWAT INAP;PERDESAAN
59;15;JAMBI;1503;150304;1011432;PAUH;JL. SAROLANGUN -TEMBESI KM.25, KEC. PAUH;RAWAT INAP;PERDESAAN
