NO;kode_provinsi;nama_provinsi;kode_kabupaten_kota;kode_kecamatan;kategori;data;satuan;semester;jumlah_penduduk;tahun
63;15;JAMBI;1501;150118;PEREKAMAN KTP;BELUM REKAM;JIWA;1;106;2022
64;15;JAMBI;1501;150118;PEREKAMAN KTP;WAJIB KTP;JIWA;2;8904;2022
65;15;JAMBI;1501;150118;PEREKAMAN KTP;REKAM KTP;JIWA;2;8761;2022
66;15;JAMBI;1501;150119;PEREKAMAN KTP;WAJIB KTP;JIWA;1;15474;2022
67;15;JAMBI;1501;150119;PEREKAMAN KTP;REKAM KTP;JIWA;1;15311;2022
68;15;JAMBI;1501;150119;PEREKAMAN KTP;BELUM REKAM;JIWA;1;163;2022
69;15;JAMBI;1501;150119;PEREKAMAN KTP;WAJIB KTP;JIWA;2;16032;2022
70;15;JAMBI;1501;150119;PEREKAMAN KTP;REKAM KTP;JIWA;2;15666;2022
71;15;JAMBI;1501;150120;PEREKAMAN KTP;WAJIB KTP;JIWA;1;9991;2022
72;15;JAMBI;1501;150120;PEREKAMAN KTP;REKAM KTP;JIWA;1;9864;2022
73;15;JAMBI;1501;150120;PEREKAMAN KTP;BELUM REKAM;JIWA;1;127;2022
74;15;JAMBI;1501;150120;PEREKAMAN KTP;WAJIB KTP;JIWA;2;10285;2022
75;15;JAMBI;1501;150120;PEREKAMAN KTP;REKAM KTP;JIWA;2;10062;2022
76;15;JAMBI;1501;150121;PEREKAMAN KTP;WAJIB KTP;JIWA;1;7746;2022
77;15;JAMBI;1501;150121;PEREKAMAN KTP;REKAM KTP;JIWA;1;7676;2022
78;15;JAMBI;1501;150121;PEREKAMAN KTP;BELUM REKAM;JIWA;1;70;2022
79;15;JAMBI;1501;150121;PEREKAMAN KTP;WAJIB KTP;JIWA;2;8410;2022
80;15;JAMBI;1501;150121;PEREKAMAN KTP;REKAM KTP;JIWA;2;8269;2022
81;15;JAMBI;1501;150122;PEREKAMAN KTP;WAJIB KTP;JIWA;1;7318;2022
82;15;JAMBI;1501;150122;PEREKAMAN KTP;REKAM KTP;JIWA;1;7226;2022
83;15;JAMBI;1501;150122;PEREKAMAN KTP;BELUM REKAM;JIWA;1;92;2022
84;15;JAMBI;1501;150122;PEREKAMAN KTP;WAJIB KTP;JIWA;2;7503;2022
85;15;JAMBI;1501;150122;PEREKAMAN KTP;REKAM KTP;JIWA;2;7367;2022
86;15;JAMBI;1501;150123;PEREKAMAN KTP;WAJIB KTP;JIWA;1;9801;2022
87;15;JAMBI;1501;150123;PEREKAMAN KTP;REKAM KTP;JIWA;1;9666;2022
88;15;JAMBI;1501;150123;PEREKAMAN KTP;BELUM REKAM;JIWA;1;135;2022
89;15;JAMBI;1501;150123;PEREKAMAN KTP;WAJIB KTP;JIWA;2;10054;2022
90;15;JAMBI;1501;150123;PEREKAMAN KTP;REKAM KTP;JIWA;2;9839;2022
91;15;JAMBI;1502;150201;PEREKAMAN KTP;WAJIB KTP;JIWA;1;7138;2022
92;15;JAMBI;1502;150201;PEREKAMAN KTP;REKAM KTP;JIWA;1;7048;2022
93;15;JAMBI;1502;150201;PEREKAMAN KTP;BELUM REKAM;JIWA;1;90;2022
94;15;JAMBI;1502;150201;PEREKAMAN KTP;WAJIB KTP;JIWA;2;7380;2022
95;15;JAMBI;1502;150201;PEREKAMAN KTP;REKAM KTP;JIWA;2;7194;2022
96;15;JAMBI;1502;150202;PEREKAMAN KTP;WAJIB KTP;JIWA;1;34494;2022
97;15;JAMBI;1502;150202;PEREKAMAN KTP;REKAM KTP;JIWA;1;34105;2022
98;15;JAMBI;1502;150202;PEREKAMAN KTP;BELUM REKAM;JIWA;1;389;2022
99;15;JAMBI;1502;150202;PEREKAMAN KTP;WAJIB KTP;JIWA;2;35264;2022
100;15;JAMBI;1502;150202;PEREKAMAN KTP;REKAM KTP;JIWA;2;34332;2022
101;15;JAMBI;1502;150203;PEREKAMAN KTP;WAJIB KTP;JIWA;1;7526;2022
102;15;JAMBI;1502;150203;PEREKAMAN KTP;REKAM KTP;JIWA;1;7422;2022
103;15;JAMBI;1502;150203;PEREKAMAN KTP;BELUM REKAM;JIWA;1;104;2022
104;15;JAMBI;1502;150203;PEREKAMAN KTP;WAJIB KTP;JIWA;2;7750;2022
105;15;JAMBI;1502;150203;PEREKAMAN KTP;REKAM KTP;JIWA;2;7601;2022
106;15;JAMBI;1502;150204;PEREKAMAN KTP;WAJIB KTP;JIWA;1;7635;2022
107;15;JAMBI;1502;150204;PEREKAMAN KTP;REKAM KTP;JIWA;1;7529;2022
108;15;JAMBI;1502;150204;PEREKAMAN KTP;BELUM REKAM;JIWA;1;106;2022
109;15;JAMBI;1502;150204;PEREKAMAN KTP;WAJIB KTP;JIWA;2;7892;2022
110;15;JAMBI;1502;150204;PEREKAMAN KTP;REKAM KTP;JIWA;2;7659;2022
111;15;JAMBI;1502;150205;PEREKAMAN KTP;WAJIB KTP;JIWA;1;20917;2022
112;15;JAMBI;1502;150205;PEREKAMAN KTP;REKAM KTP;JIWA;1;20615;2022
113;15;JAMBI;1502;150205;PEREKAMAN KTP;BELUM REKAM;JIWA;1;302;2022
114;15;JAMBI;1502;150205;PEREKAMAN KTP;WAJIB KTP;JIWA;2;21819;2022
115;15;JAMBI;1502;150205;PEREKAMAN KTP;REKAM KTP;JIWA;2;21203;2022
116;15;JAMBI;1502;150206;PEREKAMAN KTP;WAJIB KTP;JIWA;1;24740;2022
117;15;JAMBI;1502;150206;PEREKAMAN KTP;REKAM KTP;JIWA;1;24420;2022
118;15;JAMBI;1502;150206;PEREKAMAN KTP;BELUM REKAM;JIWA;1;320;2022
119;15;JAMBI;1502;150206;PEREKAMAN KTP;WAJIB KTP;JIWA;2;25447;2022
120;15;JAMBI;1502;150206;PEREKAMAN KTP;REKAM KTP;JIWA;2;24798;2022
121;15;JAMBI;1502;150207;PEREKAMAN KTP;WAJIB KTP;JIWA;1;6086;2022
122;15;JAMBI;1502;150207;PEREKAMAN KTP;REKAM KTP;JIWA;1;6008;2022
123;15;JAMBI;1502;150207;PEREKAMAN KTP;BELUM REKAM;JIWA;1;78;2022
124;15;JAMBI;1502;150207;PEREKAMAN KTP;WAJIB KTP;JIWA;2;6402;2022
125;15;JAMBI;1502;150207;PEREKAMAN KTP;REKAM KTP;JIWA;2;6240;2022
126;15;JAMBI;1502;150208;PEREKAMAN KTP;WAJIB KTP;JIWA;1;21306;2022
127;15;JAMBI;1502;150208;PEREKAMAN KTP;REKAM KTP;JIWA;1;21045;2022
128;15;JAMBI;1502;150208;PEREKAMAN KTP;BELUM REKAM;JIWA;1;261;2022
129;15;JAMBI;1502;150208;PEREKAMAN KTP;WAJIB KTP;JIWA;2;21775;2022
130;15;JAMBI;1502;150208;PEREKAMAN KTP;REKAM KTP;JIWA;2;21250;2022
131;15;JAMBI;1502;150209;PEREKAMAN KTP;WAJIB KTP;JIWA;1;11004;2022
132;15;JAMBI;1502;150209;PEREKAMAN KTP;REKAM KTP;JIWA;1;10872;2022
133;15;JAMBI;1502;150209;PEREKAMAN KTP;BELUM REKAM;JIWA;1;132;2022
134;15;JAMBI;1502;150209;PEREKAMAN KTP;WAJIB KTP;JIWA;2;11501;2022
135;15;JAMBI;1502;150209;PEREKAMAN KTP;REKAM KTP;JIWA;2;11212;2022
136;15;JAMBI;1502;150210;PEREKAMAN KTP;WAJIB KTP;JIWA;1;8142;2022
137;15;JAMBI;1502;150210;PEREKAMAN KTP;REKAM KTP;JIWA;1;8050;2022
138;15;JAMBI;1502;150210;PEREKAMAN KTP;BELUM REKAM;JIWA;1;92;2022
139;15;JAMBI;1502;150210;PEREKAMAN KTP;WAJIB KTP;JIWA;2;8340;2022
