id;kode_provinsi;nama_provinsi;kode_kabupaten_kota;jenis_kelamin;jumlah;bulan;tahun
223;15;JAMBI;1509;PEREMPUAN;3;SEPTEMBER;2023
224;15;JAMBI;1508;PEREMPUAN;6;SEPTEMBER;2023
225;15;JAMBI;1502;PEREMPUAN;10;SEPTEMBER;2023
226;15;JAMBI;1503;PEREMPUAN;17;SEPTEMBER;2023
227;15;JAMBI;1501;PEREMPUAN;0;SEPTEMBER;2023
228;15;JAMBI;1572;PEREMPUAN;1;SEPTEMBER;2023
229;15;JAMBI;1505;PEREMPUAN;12;SEPTEMBER;2023
230;15;JAMBI;1506;PEREMPUAN;19;SEPTEMBER;2023
231;15;JAMBI;1507;PEREMPUAN;6;SEPTEMBER;2023
232;15;JAMBI;1571;PEREMPUAN;28;OKTOBER;2023
233;15;JAMBI;1504;PEREMPUAN;29;OKTOBER;2023
234;15;JAMBI;1509;PEREMPUAN;3;OKTOBER;2023
235;15;JAMBI;1508;PEREMPUAN;4;OKTOBER;2023
236;15;JAMBI;1502;PEREMPUAN;9;OKTOBER;2023
237;15;JAMBI;1503;PEREMPUAN;8;OKTOBER;2023
238;15;JAMBI;1501;PEREMPUAN;4;OKTOBER;2023
239;15;JAMBI;1572;PEREMPUAN;4;OKTOBER;2023
240;15;JAMBI;1505;PEREMPUAN;13;OKTOBER;2023
241;15;JAMBI;1506;PEREMPUAN;24;OKTOBER;2023
242;15;JAMBI;1507;PEREMPUAN;1;OKTOBER;2023
243;15;JAMBI;1571;PEREMPUAN;22;NOVEMBER;2023
244;15;JAMBI;1504;PEREMPUAN;11;NOVEMBER;2023
245;15;JAMBI;1509;PEREMPUAN;1;NOVEMBER;2023
246;15;JAMBI;1508;PEREMPUAN;1;NOVEMBER;2023
247;15;JAMBI;1502;PEREMPUAN;4;NOVEMBER;2023
248;15;JAMBI;1503;PEREMPUAN;4;NOVEMBER;2023
249;15;JAMBI;1501;PEREMPUAN;4;NOVEMBER;2023
250;15;JAMBI;1572;PEREMPUAN;1;NOVEMBER;2023
251;15;JAMBI;1505;PEREMPUAN;14;NOVEMBER;2023
252;15;JAMBI;1506;PEREMPUAN;23;NOVEMBER;2023
253;15;JAMBI;1507;PEREMPUAN;8;NOVEMBER;2023
254;15;JAMBI;1571;PEREMPUAN;22;DESEMBER;2023
255;15;JAMBI;1504;PEREMPUAN;11;DESEMBER;2023
256;15;JAMBI;1509;PEREMPUAN;1;DESEMBER;2023
257;15;JAMBI;1508;PEREMPUAN;1;DESEMBER;2023
258;15;JAMBI;1502;PEREMPUAN;4;DESEMBER;2023
259;15;JAMBI;1503;PEREMPUAN;4;DESEMBER;2023
260;15;JAMBI;1501;PEREMPUAN;4;DESEMBER;2023
261;15;JAMBI;1572;PEREMPUAN;1;DESEMBER;2023
262;15;JAMBI;1505;PEREMPUAN;14;DESEMBER;2023
263;15;JAMBI;1506;PEREMPUAN;23;DESEMBER;2023
264;15;JAMBI;1507;PEREMPUAN;8;DESEMBER;2023
