id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,kode_kecamatan,nama_kecamatan,kategori,data,satuan,semester,jumlah_penduduk,tahun
1237,15,JAMBI,1505,MUARO JAMBI,150510,BAHAR SELATAN,KARTU IDENTITAS ANAK,MEMILIKI,JIWA,1,2397,2022
1238,15,JAMBI,1505,MUARO JAMBI,150509,BAHAR UTARA,KARTU IDENTITAS ANAK,MEMILIKI,JIWA,1,1435,2022
1239,15,JAMBI,1505,MUARO JAMBI,150501,JAMBI LUAR KOTA,KARTU IDENTITAS ANAK,MEMILIKI,JIWA,1,2633,2022
1240,15,JAMBI,1505,MUARO JAMBI,150503,KUMPEH,KARTU IDENTITAS ANAK,MEMILIKI,JIWA,1,1035,2022
1241,15,JAMBI,1505,MUARO JAMBI,150506,KUMPEH ULU,KARTU IDENTITAS ANAK,MEMILIKI,JIWA,1,4898,2022
1242,15,JAMBI,1505,MUARO JAMBI,150504,MARO SEBO,KARTU IDENTITAS ANAK,MEMILIKI,JIWA,1,1631,2022
1243,15,JAMBI,1505,MUARO JAMBI,150505,MESTONG,KARTU IDENTITAS ANAK,MEMILIKI,JIWA,1,1384,2022
1244,15,JAMBI,1505,MUARO JAMBI,150502,SEKERNAN,KARTU IDENTITAS ANAK,MEMILIKI,JIWA,1,3751,2022
1245,15,JAMBI,1505,MUARO JAMBI,150507,SUNGAI BAHAR,KARTU IDENTITAS ANAK,MEMILIKI,JIWA,1,3397,2022
1246,15,JAMBI,1505,MUARO JAMBI,150508,SUNGAI GELAM,KARTU IDENTITAS ANAK,MEMILIKI,JIWA,1,6946,2022
1247,15,JAMBI,1505,MUARO JAMBI,150511,TAMAN RAJO,KARTU IDENTITAS ANAK,MEMILIKI,JIWA,1,1513,2022
1248,15,JAMBI,1503,SAROLANGUN,150307,AIR HITAM,KARTU IDENTITAS ANAK,MEMILIKI,JIWA,1,1466,2022
1249,15,JAMBI,1503,SAROLANGUN,150301,BATANG ASAI,KARTU IDENTITAS ANAK,MEMILIKI,JIWA,1,1230,2022
1250,15,JAMBI,1503,SAROLANGUN,150308,BATHIN VIII,KARTU IDENTITAS ANAK,MEMILIKI,JIWA,1,1291,2022
1251,15,JAMBI,1503,SAROLANGUN,150310,CERMIN NAN GEDANG,KARTU IDENTITAS ANAK,MEMILIKI,JIWA,1,875,2022
1252,15,JAMBI,1503,SAROLANGUN,150302,LIMUN,KARTU IDENTITAS ANAK,MEMILIKI,JIWA,1,1333,2022
1253,15,JAMBI,1503,SAROLANGUN,150306,MANDIANGIN,KARTU IDENTITAS ANAK,MEMILIKI,JIWA,1,1567,2022
1254,15,JAMBI,1503,SAROLANGUN,15030,MANDIANGIN TIMUR,KARTU IDENTITAS ANAK,MEMILIKI,JIWA,1,748,2022
1255,15,JAMBI,1503,SAROLANGUN,150304,PAUH,KARTU IDENTITAS ANAK,MEMILIKI,JIWA,1,1526,2022
1256,15,JAMBI,1503,SAROLANGUN,150305,PELAWAN,KARTU IDENTITAS ANAK,MEMILIKI,JIWA,1,2186,2022
1257,15,JAMBI,1503,SAROLANGUN,150303,SAROLANGUN,KARTU IDENTITAS ANAK,MEMILIKI,JIWA,1,8527,2022
1258,15,JAMBI,1503,SAROLANGUN,150309,SINGKUT,KARTU IDENTITAS ANAK,MEMILIKI,JIWA,1,2316,2022
1259,15,JAMBI,1506,TANJUNG JABUNG BARAT,150607,BATANG ASAM,KARTU IDENTITAS ANAK,MEMILIKI,JIWA,1,2324,2022
1260,15,JAMBI,1506,TANJUNG JABUNG BARAT,150604,BETARA,KARTU IDENTITAS ANAK,MEMILIKI,JIWA,1,2176,2022
1261,15,JAMBI,1506,TANJUNG JABUNG BARAT,150611,BRAM ITAM,KARTU IDENTITAS ANAK,MEMILIKI,JIWA,1,1247,2022
1262,15,JAMBI,1506,TANJUNG JABUNG BARAT,150612,KUALA BETARA,KARTU IDENTITAS ANAK,MEMILIKI,JIWA,1,867,2022
1263,15,JAMBI,1506,TANJUNG JABUNG BARAT,150605,MERLUNG,KARTU IDENTITAS ANAK,MEMILIKI,JIWA,1,1015,2022
1264,15,JAMBI,1506,TANJUNG JABUNG BARAT,150609,MUARA PAPALIK,KARTU IDENTITAS ANAK,MEMILIKI,JIWA,1,722,2022
1265,15,JAMBI,1506,TANJUNG JABUNG BARAT,150603,PENGABUAN,KARTU IDENTITAS ANAK,MEMILIKI,JIWA,1,1771,2022
1266,15,JAMBI,1506,TANJUNG JABUNG BARAT,150608,RENAH MENDALUH,KARTU IDENTITAS ANAK,MEMILIKI,JIWA,1,1174,2022
1267,15,JAMBI,1506,TANJUNG JABUNG BARAT,150610,SEBERANG KOTA,KARTU IDENTITAS ANAK,MEMILIKI,JIWA,1,463,2022
1268,15,JAMBI,1506,TANJUNG JABUNG BARAT,150613,SENYERANG,KARTU IDENTITAS ANAK,MEMILIKI,JIWA,1,2142,2022
1269,15,JAMBI,1506,TANJUNG JABUNG BARAT,150606,TEBING TINGGI,KARTU IDENTITAS ANAK,MEMILIKI,JIWA,1,2498,2022
