NO;kode_provinsi;kode_kabupaten_kota;kategori;uraian;jumlah;satuan;tahun
198;15;1507;TERNAK UNGGAS;ITIK MANILA;0;KG;2021
199;15;1508;TERNAK BESAR;SAPI;494.842,00;KG;2021
200;15;1508;TERNAK BESAR;KERBAU;224.279,00;KG;2021
201;15;1508;TERNAK BESAR;KUDA;0;KG;2021
202;15;1508;TERNAK KECIL;KAMBING;106.093,00;KG;2021
203;15;1508;TERNAK KECIL;DOMBA;25.810,00;KG;2021
204;15;1508;TERNAK KECIL;BABI;0;KG;2021
205;15;1508;TERNAK UNGGAS;AYAM KAMPUNG;217.292,00;KG;2021
206;15;1508;TERNAK UNGGAS;AYAM PETELUR;0;KG;2021
207;15;1508;TERNAK UNGGAS;AYAM PEDAGING;2.342.376,00;KG;2021
208;15;1508;TERNAK UNGGAS;ITIK;0;KG;2021
209;15;1508;TERNAK UNGGAS;ITIK MANILA;0;KG;2021
210;15;1509;TERNAK BESAR;SAPI;967.456,00;KG;2021
211;15;1509;TERNAK BESAR;KERBAU;385.833,00;KG;2021
212;15;1509;TERNAK BESAR;KUDA;0;KG;2021
213;15;1509;TERNAK KECIL;KAMBING;86.627,00;KG;2021
214;15;1509;TERNAK KECIL;DOMBA;26.163,00;KG;2021
215;15;1509;TERNAK KECIL;BABI;12.729,00;KG;2021
216;15;1509;TERNAK UNGGAS;AYAM KAMPUNG;534.502,00;KG;2021
217;15;1509;TERNAK UNGGAS;AYAM PETELUR;6.658,00;KG;2021
218;15;1509;TERNAK UNGGAS;AYAM PEDAGING;11.804.090,00;KG;2021
219;15;1509;TERNAK UNGGAS;ITIK;0;KG;2021
220;15;1509;TERNAK UNGGAS;ITIK MANILA;0;KG;2021
221;15;1571;TERNAK BESAR;SAPI;499.605,00;KG;2021
222;15;1571;TERNAK BESAR;KERBAU;317.091,00;KG;2021
223;15;1571;TERNAK BESAR;KUDA;0;KG;2021
224;15;1571;TERNAK KECIL;KAMBING;43.107,00;KG;2021
225;15;1571;TERNAK KECIL;DOMBA;562;KG;2021
226;15;1571;TERNAK KECIL;BABI;126.250,00;KG;2021
227;15;1571;TERNAK UNGGAS;AYAM KAMPUNG;10.924,00;KG;2021
228;15;1571;TERNAK UNGGAS;AYAM PETELUR;19.548,00;KG;2021
229;15;1571;TERNAK UNGGAS;AYAM PEDAGING;2.712.046,00;KG;2021
230;15;1571;TERNAK UNGGAS;ITIK;0;KG;2021
231;15;1571;TERNAK UNGGAS;ITIK MANILA;0;KG;2021
232;15;1572;TERNAK BESAR;SAPI;333.423,00;KG;2021
233;15;1572;TERNAK BESAR;KERBAU;32.457,00;KG;2021
234;15;1572;TERNAK BESAR;KUDA;147;KG;2021
235;15;1572;TERNAK KECIL;KAMBING;13.040,00;KG;2021
236;15;1572;TERNAK KECIL;DOMBA;6.246,00;KG;2021
237;15;1572;TERNAK KECIL;BABI;0;KG;2021
238;15;1572;TERNAK UNGGAS;AYAM KAMPUNG;155.001,00;KG;2021
239;15;1572;TERNAK UNGGAS;AYAM PETELUR;231.649,00;KG;2021
240;15;1572;TERNAK UNGGAS;AYAM PEDAGING;353.156,00;KG;2021
241;15;1572;TERNAK UNGGAS;ITIK;0;KG;2021
242;15;1572;TERNAK UNGGAS;ITIK MANILA;0;KG;2021
243;15;1501;TERNAK BESAR;SAPI POTONG;471.202,73;KG;2022
244;15;1501;TERNAK BESAR;SAPI PERAH;0;KG;2022
245;15;1501;TERNAK BESAR;KERBAU;12.216,84;KG;2022
246;15;1501;TERNAK BESAR;KUDA;3.675,00;KG;2022
247;15;1501;TERNAK KECIL;KAMBING;26.615,04;KG;2022
248;15;1501;TERNAK KECIL;DOMBA;2.754,00;KG;2022
249;15;1501;TERNAK KECIL;BABI;0;KG;2022
250;15;1501;TERNAK UNGGAS;AYAM BURAS;99.842,42;KG;2022
251;15;1501;TERNAK UNGGAS;AYAM RAS PETELUR;19.697,26;KG;2022
