id;kode_provinsi;nama_provinsi;kode_kabupaten_kota;jenis_kelamin;jumlah;bulan;tahun
181;15;JAMBI;1502;PEREMPUAN;2;MEI;2024
182;15;JAMBI;1503;PEREMPUAN;10;MEI;2024
183;15;JAMBI;1501;PEREMPUAN;4;MEI;2024
184;15;JAMBI;1572;PEREMPUAN;0;MEI;2024
185;15;JAMBI;1505;PEREMPUAN;33;MEI;2024
186;15;JAMBI;1506;PEREMPUAN;22;MEI;2024
187;15;JAMBI;1507;PEREMPUAN;8;MEI;2024
188;15;JAMBI;1571;PEREMPUAN;23;JUNI;2024
189;15;JAMBI;1504;PEREMPUAN;34;JUNI;2024
190;15;JAMBI;1509;PEREMPUAN;4;JUNI;2024
191;15;JAMBI;1508;PEREMPUAN;11;JUNI;2024
192;15;JAMBI;1502;PEREMPUAN;6;JUNI;2024
193;15;JAMBI;1503;PEREMPUAN;12;JUNI;2024
194;15;JAMBI;1501;PEREMPUAN;1;JUNI;2024
195;15;JAMBI;1572;PEREMPUAN;1;JUNI;2024
196;15;JAMBI;1505;PEREMPUAN;16;JUNI;2024
197;15;JAMBI;1506;PEREMPUAN;11;JUNI;2024
198;15;JAMBI;1507;PEREMPUAN;9;JUNI;2024
199;15;JAMBI;1571;PEREMPUAN;75;JULI;2024
200;15;JAMBI;1504;PEREMPUAN;81;JULI;2024
201;15;JAMBI;1509;PEREMPUAN;2;JULI;2024
202;15;JAMBI;1508;PEREMPUAN;1;JULI;2024
203;15;JAMBI;1502;PEREMPUAN;2;JULI;2024
204;15;JAMBI;1503;PEREMPUAN;4;JULI;2024
205;15;JAMBI;1501;PEREMPUAN;4;JULI;2024
206;15;JAMBI;1572;PEREMPUAN;0;JULI;2024
207;15;JAMBI;1505;PEREMPUAN;11;JULI;2024
208;15;JAMBI;1506;PEREMPUAN;29;JULI;2024
209;15;JAMBI;1507;PEREMPUAN;10;JULI;2024
210;15;JAMBI;1571;PEREMPUAN;63;AGUSTUS;2024
211;15;JAMBI;1504;PEREMPUAN;44;AGUSTUS;2024
212;15;JAMBI;1509;PEREMPUAN;3;AGUSTUS;2024
213;15;JAMBI;1508;PEREMPUAN;2;AGUSTUS;2024
214;15;JAMBI;1502;PEREMPUAN;2;AGUSTUS;2024
215;15;JAMBI;1503;PEREMPUAN;2;AGUSTUS;2024
216;15;JAMBI;1501;PEREMPUAN;0;AGUSTUS;2024
217;15;JAMBI;1572;PEREMPUAN;0;AGUSTUS;2024
218;15;JAMBI;1505;PEREMPUAN;16;AGUSTUS;2024
219;15;JAMBI;1506;PEREMPUAN;29;AGUSTUS;2024
220;15;JAMBI;1507;PEREMPUAN;2;AGUSTUS;2024
221;15;JAMBI;1571;PEREMPUAN;72;SEPTEMBER;2024
222;15;JAMBI;1504;PEREMPUAN;25;SEPTEMBER;2024
