 ;kode_provinsi;nama_provinsi;kode_kabupaten_kota;kode_kecamatan;kode_kelurahan_desa;nama_perusahaan;nama_pemilik;badan_usaha;kbli_2020;jenis_industri;kategori_industri;jenis_produk;jumlah_produksi;satuan;status;tahun
72;15;JAMBI;1502;150201;1502012011;KOPI BUBUK 3M;SYARIFUDDIN ;PO;10761;INDUSTRI PENGOLAHAN KOPI;INDUSTRI MINUMAN;KOPI BUBUK;3000;KG;AKTIF;2023
73;15;JAMBI;1502;150202;1502021011;KOPI BUNGA;HARMEN;PO;10761;INDUSTRI PENGOLAHAN KOPI;INDUSTRI MINUMAN;KOPI BUBUK;14400;KG;AKTIF;2023
74;15;JAMBI;1502;150202;1502021011;KOPI CITA RASA;EFRIKAWAN;PO;10761;INDUSTRI PENGOLAHAN KOPI;INDUSTRI MINUMAN;KOPI BUBUK;1500; KG ;AKTIF;2023
75;15;JAMBI;1502;150202;1502021013;KOPI PADI;PARDI;PO;10761;INDUSTRI PENGOLAHAN KOPI;INDUSTRI MINUMAN;KOPI BUBUK;1500; KG ;AKTIF;2023
76;15;JAMBI;1502;150212;1502122002;KOPI SEDERHANA;IRWANDI;PO;10761;INDUSTRI PENGOLAHAN KOPI;INDUSTRI MINUMAN;KOPI BUBUK;1500; KG ;AKTIF;2023
77;15;JAMBI;1502;150218;1502182008;D'JANGKAT SUNGAI TENANG;SOPIAN;PO;10761;INDUSTRI PENGOLAHAN KOPI;INDUSTRI MINUMAN;KOPI BUBUK;540;KG;AKTIF;2023
78;15;JAMBI;1502;150218;1502182015;KOPI STT;SURATUN NASIPAH;PO;10761;INDUSTRI PENGOLAHAN KOPI;INDUSTRI MINUMAN;KOPI BUBUK;540;KG;AKTIF;2023
79;15;JAMBI;1502;150218;1503072003;MELATI INDAH;SILAWATI;PO;10761;INDUSTRI PENGOLAHAN KOPI;INDUSTRI MINUMAN;KOPI BUBUK;30; KG ;AKTIF;2023
80;15;JAMBI;1502;150218;1503072003;KOPI BUBUK;JUMADI;PO;10761;INDUSTRI PENGOLAHAN KOPI;INDUSTRI MINUMAN;KOPI BUBUK;540;KG;AKTIF;2023
81;15;JAMBI;1502;150201;1502012011;AMANAH MADRAS SEJATI;DARMA YULITA;PO;10761;INDUSTRI PENGOLAHAN KOPI;INDUSTRI MINUMAN;KOPI BUBUK;540;KG;AKTIF;2023
82;15;JAMBI;1502;150209;1502092003;SIGERINCING COFFEE;ANDESTO;PO;10761;INDUSTRI PENGOLAHAN KOPI;INDUSTRI MINUMAN;KOPI BUBUK;540;KG;AKTIF;2023
83;15;JAMBI;1502;150201;1502012011;KOPI MADRAS;ELA DINIATI;PO;10761;INDUSTRI PENGOLAHAN KOPI;INDUSTRI MINUMAN;KOPI BUBUK;540;KG;AKTIF;2023
84;15;JAMBI;1502;150201;1502012011;LM JANGKAT;ZURIYAN HADI;PO;10761;INDUSTRI PENGOLAHAN KOPI;INDUSTRI MINUMAN;KOPI BUBUK;540;KG;AKTIF;2023
85;15;JAMBI;1502;150202;1502021009;DEPATI EMPAT COFFEE;TISMIAWATI;PO;10761;INDUSTRI PENGOLAHAN KOPI;INDUSTRI MINUMAN;KOPI BUBUK;12000;KG;AKTIF;2023
86;15;JAMBI;1502;150208;1502082004;KOPI GUNUNG MAS;SYAFRIANTO;PO;10761;INDUSTRI PENGOLAHAN KOPI;INDUSTRI MINUMAN;KOPI BUBUK;1200; KG ;AKTIF;2023
87;15;JAMBI;1502;150218;1502182007;KOPI HARUM WANGI;ABDUL MUIS;PO;10761;INDUSTRI PENGOLAHAN KOPI;INDUSTRI MINUMAN;KOPI BUBUK;120; KG ;AKTIF;2023
88;15;JAMBI;1502;150209;1502092006;KOPI CAMAS;ELI MARYANI;PO;10761;INDUSTRI PENGOLAHAN KOPI;INDUSTRI MINUMAN;KOPI BUBUK;1200; KG ;AKTIF;2023
89;15;JAMBI;1502;150202;1502021009;KOPI LADJANG;TISMIAWATI;PO;10761;INDUSTRI PENGOLAHAN KOPI;INDUSTRI MINUMAN;KOPI BUBUK;12000;KG;AKTIF;2023
90;15;JAMBI;1502;150204;1502042016;KOPI BINTANG TIGA;SOFRIADI;PO;10761;INDUSTRI PENGOLAHAN KOPI;INDUSTRI MINUMAN;KOPI BUBUK;1200;PAK;AKTIF;2023
91;15;JAMBI;1502;150202;1502021009;BOSKU;FERY;PO;10761;INDUSTRI PENGOLAHAN KOPI;INDUSTRI MINUMAN;KOPI BUBUK;600;KG;AKTIF;2023
92;15;JAMBI;1502;150208;1502082001;DECOFEE;LUKMAN HAKIM;PO;10761;INDUSTRI PENGOLAHAN KOPI;INDUSTRI MINUMAN;KOPI BUBUK;6000; PCS ;AKTIF;2023
93;15;JAMBI;1502;150203;1502032004;NILO COFFEE;SUSILAWATI;PO;10761;INDUSTRI PENGOLAHAN KOPI;INDUSTRI MINUMAN;KOPI BUBUK;240;KG;AKTIF;2023
94;15;JAMBI;1502;150209;1502092010;DEABAK COFFEE;RAISA;PO;10761;INDUSTRI PENGOLAHAN KOPI;INDUSTRI MINUMAN;KOPI BUBUK;600;KG;AKTIF;2023
95;15;JAMBI;1502;150209;1502092001;ND COFFEE;HASBULAH;PO;10761;INDUSTRI PENGOLAHAN KOPI;INDUSTRI MINUMAN;KOPI BUBUK;600;KG;AKTIF;2023
96;15;JAMBI;1502;150218;1502172008;KOPI MINTENG;RESMAWARI;PO;10761;INDUSTRI PENGOLAHAN KOPI;INDUSTRI MINUMAN;KOPI BUBUK;3000;KG;AKTIF;2023
97;15;JAMBI;1502;150217;1502172003;KOPI CAP CAHAYA;YESMIDAWATI;PO;10761;INDUSTRI PENGOLAHAN KOPI;INDUSTRI MINUMAN;KOPI BUBUK;3600;PAK;AKTIF;2023
98;15;JAMBI;1502;150217;1502172001;KOPI ZOWIFA;KASNIDAR;PO;10761;INDUSTRI PENGOLAHAN KOPI;INDUSTRI MINUMAN;KOPI BUBUK;768;PAK;AKTIF;2023
99;15;JAMBI;1502;150202;1502021010;HARISA SIURA;HARISA SIURA;PO;15492;INDUSTRI ES;INDUSTRI MAKANAN;ES BATU;150;POTONG;AKTIF;2023
100;15;JAMBI;1502;150205;1502032018;NADIRSYAH;NADIRSYAH;PO;15492;INDUSTRI ES;INDUSTRI MAKANAN;ES BATU;1500;POTONG;AKTIF;2023
101;15;JAMBI;1502;150206;1502061008;BUSTAMI;BUSTAMI;PO;15492;INDUSTRI ES;INDUSTRI MAKANAN;ES BATU;12000;POTONG;AKTIF;2023
102;15;JAMBI;1502;150211;1502112006;HADI SUYANTO;HADI SUYANTO;PO;10392;INDUSTRI TAHU KEDELAI;INDUSTRI MAKANAN;TAHU KEDELAI;72000;POTONG;AKTIF;2023
103;15;JAMBI;1502;150202;1502021013;MISRAN;MISRAN;PO;10392;INDUSTRI TAHU KEDELAI;INDUSTRI MAKANAN;TAHU KEDELAI;553750;POTONG;AKTIF;2023
104;15;JAMBI;1502;150202;0;AMIN SUDRAJAT;AMIN SUDRAJAT;PO;10392;INDUSTRI TAHU KEDELAI;INDUSTRI MAKANAN;TAHU KEDELAI;400000;POTONG;AKTIF;2023
105;15;JAMBI;1502;150202;0;EDI SUWANDO;EDI SUWANDO;PO;10392;INDUSTRI TAHU KEDELAI;INDUSTRI MAKANAN;TAHU KEDELAI;900744;POTONG;AKTIF;2023
106;15;JAMBI;1502;150202;0;SLAMET;SLAMET;PO;10392;INDUSTRI TAHU KEDELAI;INDUSTRI MAKANAN;TAHU KEDELAI;1800000;POTONG;AKTIF;2023
107;15;JAMBI;1502;150208;1502082003;USAMIN;USAMIN;PO;10392;INDUSTRI TAHU KEDELAI;INDUSTRI MAKANAN;TAHU KEDELAI;24000;POTONG;AKTIF;2023
108;15;JAMBI;1502;150220;1502202001;MEKAR SARI;M. SHOLIKIN;PO;10392;INDUSTRI TAHU KEDELAI;INDUSTRI MAKANAN;TAHU KEDELAI;15750;POTONG;AKTIF;2023
109;15;JAMBI;1502;150205;1502032018;HADI SISWOYO;HADI SISWOYO;PO;10392;INDUSTRI TAHU KEDELAI;INDUSTRI MAKANAN;TAHU KEDELAI;47808;POTONG;AKTIF;2023
110;15;JAMBI;1502;150208;1502082003;PARNO;PARNO;PO;10392;INDUSTRI TAHU KEDELAI;INDUSTRI MAKANAN;TAHU KEDELAI;31673;POTONG;AKTIF;2023
111;15;JAMBI;1502;150208;1502082006;HADI SISWOYO;HADI SISWOYO;PO;10392;INDUSTRI TAHU KEDELAI;INDUSTRI MAKANAN;TAHU KEDELAI;30000;POTONG;AKTIF;2023
112;15;JAMBI;1502;150205;1502032018;KARISMAN ;KARISMAN ;PO;10392;INDUSTRI TAHU KEDELAI;INDUSTRI MAKANAN;TAHU KEDELAI;30000;POTONG;AKTIF;2023
113;15;JAMBI;1502;150201;1502012011;TALANG BAJILO;ELPA MASTURI;PO;10392;INDUSTRI TAHU KEDELAI;INDUSTRI MAKANAN;TAHU KEDELAI;30000;POTONG;AKTIF;2023
114;15;JAMBI;1502;150201;1502012011;MASADI;MASADI;PO;10392;INDUSTRI TAHU KEDELAI;INDUSTRI MAKANAN;TAHU KEDELAI;1000;POTONG;AKTIF;2023
115;15;JAMBI;1502;150208;1502012011;USAMIN;USAMIN;PO;10392;INDUSTRI TAHU KEDELAI;INDUSTRI MAKANAN;TAHU KEDELAI;500000;POTONG;AKTIF;2023
116;15;JAMBI;1502;150208;1502082006;HILIYAS;HILIYAS;PO;10392;INDUSTRI TAHU KEDELAI;INDUSTRI MAKANAN;TAHU KEDELAI;300000;POTONG;AKTIF;2023
117;15;JAMBI;1502;150220;1502202001;SUDIONO;SUDIONO;PO;10392;INDUSTRI TAHU KEDELAI;INDUSTRI MAKANAN;TAHU KEDELAI;600000;POTONG;AKTIF;2023
118;15;JAMBI;1502;150219;1502192003;SRIK;SRIK;PO;10392;INDUSTRI TAHU KEDELAI;INDUSTRI MAKANAN;TAHU KEDELAI;600000;POTONG;AKTIF;2023
119;15;JAMBI;1502;150206;1502062012;SAMSUDI;SAMSUDI;PO;10392;INDUSTRI TAHU KEDELAI;INDUSTRI MAKANAN;TAHU KEDELAI;630030;POTONG;AKTIF;2023
120;15;JAMBI;1502;150202;1502021011;YAYAH RODIAH;YAYAH RODIAH;PO;10392;INDUSTRI TAHU KEDELAI;INDUSTRI MAKANAN;TAHU KEDELAI;1500000;POTONG;AKTIF;2023
121;15;JAMBI;1502;150202;1502021011;SAJUNI;SAJUNI;PO;10392;INDUSTRI TAHU KEDELAI;INDUSTRI MAKANAN;TAHU KEDELAI;1080000;POTONG;AKTIF;2023
122;15;JAMBI;1502;150211;1502112006;TARYO;TARYO;PO;10392;INDUSTRI TAHU KEDELAI;INDUSTRI MAKANAN;TAHU KEDELAI;37632;POTONG;AKTIF;2023
123;15;JAMBI;1502;150208;1502082006;AYAN MUHYANTO;AYAN MUHYANTO;PO;10392;INDUSTRI TAHU KEDELAI;INDUSTRI MAKANAN;TAHU KEDELAI;518400;POTONG;AKTIF;2023
124;15;JAMBI;1502;150208;1502082006;KHOIRI;KHOIRI;PO;10392;INDUSTRI TAHU KEDELAI;INDUSTRI MAKANAN;TAHU KEDELAI;45600;POTONG;AKTIF;2023
125;15;JAMBI;1502;150210;1502102002;YATIMAN;YATIMAN;PO;10392;INDUSTRI TAHU KEDELAI;INDUSTRI MAKANAN;TAHU KEDELAI;1612800;POTONG;AKTIF;2023
126;15;JAMBI;1502;150206;1502062012;SARMUJI;SARMUJI;PO;10392;INDUSTRI TAHU KEDELAI;INDUSTRI MAKANAN;TAHU KEDELAI;665280;POTONG;AKTIF;2023
127;15;JAMBI;1502;150206;1502062012;TULUS SUSANTO;TULUS SUSANTO;PO;10392;INDUSTRI TAHU KEDELAI;INDUSTRI MAKANAN;TAHU KEDELAI;576000;POTONG;AKTIF;2023
128;15;JAMBI;1502;150206;1502061008;JUNIATI;JUNIATI;PO;10392;INDUSTRI TAHU KEDELAI;INDUSTRI MAKANAN;TAHU KEDELAI;1555200;POTONG;AKTIF;2023
129;15;JAMBI;1502;150206;1502062012;TRIMO MUHYASIN;TRIMO MUHYASIN;PO;10392;INDUSTRI TAHU KEDELAI;INDUSTRI MAKANAN;TAHU KEDELAI;1684800;POTONG;AKTIF;2023
130;15;JAMBI;1502;150211;1502112006;M. DALIL;M. DALIL;PO;10392;INDUSTRI TAHU KEDELAI;INDUSTRI MAKANAN;TAHU KEDELAI;864000;POTONG;AKTIF;2023
131;15;JAMBI;1502;150222;1502222002;MARUDI;MARUDI;PO;10392;INDUSTRI TAHU KEDELAI;INDUSTRI MAKANAN;TAHU KEDELAI;691200;POTONG;AKTIF;2023
132;15;JAMBI;1502;150221;1502212001;TURINI;TURINI;PO;10392;INDUSTRI TAHU KEDELAI;INDUSTRI MAKANAN;TAHU KEDELAI;1347840;POTONG;AKTIF;2023
133;15;JAMBI;1502;150221;1502212001;WARSANI;WARSANI;PO;10392;INDUSTRI TAHU KEDELAI;INDUSTRI MAKANAN;TAHU KEDELAI;2057400;POTONG;AKTIF;2023
