NO;kode_provinsi;nama_provinsi;kode_kabupaten_kota;nama_kabupaten_kota;indikator;sub_indikator;nama_indikator;terget;capaian;periode
;15;JAMBI;1571;KOTA JAMBI;PILAR 4;PILAR 4A1;PERSENTASE KELUARGA BERISIKO STUNTING YANG MENDAPATKAN MANFAAT SUMBER DAYA PEKARANGAN UNTUK PENINGKATAN ASUPAN GIZI;50;50;SEMESTER I (2024)
;15;JAMBI;1572;KOTA SUNGAI PENUH;PILAR 4;PILAR 4A1;PERSENTASE KELUARGA BERISIKO STUNTING YANG MENDAPATKAN MANFAAT SUMBER DAYA PEKARANGAN UNTUK PENINGKATAN ASUPAN GIZI;50;0;SEMESTER I (2024)
;15;JAMBI;1501;KERINCI;PILAR 5;PILAR 5A8;TERSELENGGARANYA AUDIT ANAK BERUSIA DI BAWAH DUA TAHUN (BADUTA) STUNTING;50;100;SEMESTER I (2024)
;15;JAMBI;1502;MERANGIN;PILAR 5;PILAR 5A8;TERSELENGGARANYA AUDIT ANAK BERUSIA DI BAWAH DUA TAHUN (BADUTA) STUNTING;50;100;SEMESTER I (2024)
;15;JAMBI;1503;SAROLANGUN;PILAR 5;PILAR 5A8;TERSELENGGARANYA AUDIT ANAK BERUSIA DI BAWAH DUA TAHUN (BADUTA) STUNTING;50;100;SEMESTER I (2024)
;15;JAMBI;1504;BATANGHARI;PILAR 5;PILAR 5A8;TERSELENGGARANYA AUDIT ANAK BERUSIA DI BAWAH DUA TAHUN (BADUTA) STUNTING;50;100;SEMESTER I (2024)
;15;JAMBI;1505;MUARO JAMBI;PILAR 5;PILAR 5A8;TERSELENGGARANYA AUDIT ANAK BERUSIA DI BAWAH DUA TAHUN (BADUTA) STUNTING;50;100;SEMESTER I (2024)
;15;JAMBI;1506;TANJUNG JABUNG BARAT;PILAR 5;PILAR 5A8;TERSELENGGARANYA AUDIT ANAK BERUSIA DI BAWAH DUA TAHUN (BADUTA) STUNTING;50;100;SEMESTER I (2024)
;15;JAMBI;1507;TANJUNG JABUNG TIMUR;PILAR 5;PILAR 5A8;TERSELENGGARANYA AUDIT ANAK BERUSIA DI BAWAH DUA TAHUN (BADUTA) STUNTING;50;100;SEMESTER I (2024)
;15;JAMBI;1508;BUNGO;PILAR 5;PILAR 5A8;TERSELENGGARANYA AUDIT ANAK BERUSIA DI BAWAH DUA TAHUN (BADUTA) STUNTING;50;100;SEMESTER I (2024)
;15;JAMBI;1509;TEBO;PILAR 5;PILAR 5A8;TERSELENGGARANYA AUDIT ANAK BERUSIA DI BAWAH DUA TAHUN (BADUTA) STUNTING;50;100;SEMESTER I (2024)
;15;JAMBI;1571;KOTA JAMBI;PILAR 5;PILAR 5A8;TERSELENGGARANYA AUDIT ANAK BERUSIA DI BAWAH DUA TAHUN (BADUTA) STUNTING;50;100;SEMESTER I (2024)
;15;JAMBI;1572;KOTA SUNGAI PENUH;PILAR 5;PILAR 5A8;TERSELENGGARANYA AUDIT ANAK BERUSIA DI BAWAH DUA TAHUN (BADUTA) STUNTING;50;100;SEMESTER I (2024)
;15;JAMBI;1501;KERINCI;SPESIFIK;SPESIFIK3;REMAJA PUTRI KONSUMSI TTD;58;29,1;TRIWULAN II (2024)
;15;JAMBI;1502;MERANGIN;SPESIFIK;SPESIFIK3;REMAJA PUTRI KONSUMSI TTD;58;42,4;TRIWULAN II (2024)
;15;JAMBI;1503;SAROLANGUN;SPESIFIK;SPESIFIK3;REMAJA PUTRI KONSUMSI TTD;58;12,9;TRIWULAN II (2024)
;15;JAMBI;1504;BATANGHARI;SPESIFIK;SPESIFIK3;REMAJA PUTRI KONSUMSI TTD;58;16,7;TRIWULAN II (2024)
