kode_provinsi;nama_provinsi;kode_kabupaten;nama_kabupaten;kode_kecamatan;nama_kecamatan;data_pokok;tahun_ajaran;status;bidang_pendidikan;jumlah
15;JAMBI;1502;MERANGIN;150212;BATANG MASUMAI;DATA SEKOLAH;2022/2023 GENAP;NEGERI;TPA;0
15;JAMBI;1502;MERANGIN;150212;BATANG MASUMAI;DATA SEKOLAH;2022/2023 GENAP;NEGERI;SPS;0
15;JAMBI;1502;MERANGIN;150212;BATANG MASUMAI;DATA SEKOLAH;2022/2023 GENAP;NEGERI;PKBM;0
15;JAMBI;1502;MERANGIN;150212;BATANG MASUMAI;DATA SEKOLAH;2022/2023 GENAP;NEGERI;SKB;0
15;JAMBI;1502;MERANGIN;150212;BATANG MASUMAI;DATA SEKOLAH;2022/2023 GENAP;NEGERI;SD;13
15;JAMBI;1502;MERANGIN;150212;BATANG MASUMAI;DATA SEKOLAH;2022/2023 GENAP;NEGERI;SMP;2
15;JAMBI;1502;MERANGIN;150212;BATANG MASUMAI;DATA SEKOLAH;2022/2023 GENAP;NEGERI;SMA;1
15;JAMBI;1502;MERANGIN;150212;BATANG MASUMAI;DATA SEKOLAH;2022/2023 GENAP;NEGERI;SMK;1
15;JAMBI;1502;MERANGIN;150212;BATANG MASUMAI;DATA SEKOLAH;2022/2023 GENAP;NEGERI;SLB;0
15;JAMBI;1501;KERINCI;150107;BATANG MERANGIN;DATA SEKOLAH;2022/2023 GENAP;NEGERI;TK;1
15;JAMBI;1501;KERINCI;150107;BATANG MERANGIN;DATA SEKOLAH;2022/2023 GENAP;NEGERI;KB;1
15;JAMBI;1501;KERINCI;150107;BATANG MERANGIN;DATA SEKOLAH;2022/2023 GENAP;NEGERI;TPA;0
15;JAMBI;1501;KERINCI;150107;BATANG MERANGIN;DATA SEKOLAH;2022/2023 GENAP;NEGERI;SPS;0
15;JAMBI;1501;KERINCI;150107;BATANG MERANGIN;DATA SEKOLAH;2022/2023 GENAP;NEGERI;PKBM;0
15;JAMBI;1501;KERINCI;150107;BATANG MERANGIN;DATA SEKOLAH;2022/2023 GENAP;NEGERI;SKB;0
15;JAMBI;1501;KERINCI;150107;BATANG MERANGIN;DATA SEKOLAH;2022/2023 GENAP;NEGERI;SD;13
15;JAMBI;1501;KERINCI;150107;BATANG MERANGIN;DATA SEKOLAH;2022/2023 GENAP;NEGERI;SMP;5
15;JAMBI;1501;KERINCI;150107;BATANG MERANGIN;DATA SEKOLAH;2022/2023 GENAP;NEGERI;SMA;2
15;JAMBI;1501;KERINCI;150107;BATANG MERANGIN;DATA SEKOLAH;2022/2023 GENAP;NEGERI;SMK;0
15;JAMBI;1501;KERINCI;150107;BATANG MERANGIN;DATA SEKOLAH;2022/2023 GENAP;NEGERI;SLB;0
15;JAMBI;1508;BUNGO;150815;BATHIN II PELAYANG;DATA SEKOLAH;2022/2023 GENAP;NEGERI;TK;0
15;JAMBI;1508;BUNGO;150815;BATHIN II PELAYANG;DATA SEKOLAH;2022/2023 GENAP;NEGERI;KB;0
15;JAMBI;1508;BUNGO;150815;BATHIN II PELAYANG;DATA SEKOLAH;2022/2023 GENAP;NEGERI;TPA;0
15;JAMBI;1508;BUNGO;150815;BATHIN II PELAYANG;DATA SEKOLAH;2022/2023 GENAP;NEGERI;SPS;0
15;JAMBI;1508;BUNGO;150815;BATHIN II PELAYANG;DATA SEKOLAH;2022/2023 GENAP;NEGERI;PKBM;0
15;JAMBI;1508;BUNGO;150815;BATHIN II PELAYANG;DATA SEKOLAH;2022/2023 GENAP;NEGERI;SKB;0
15;JAMBI;1508;BUNGO;150815;BATHIN II PELAYANG;DATA SEKOLAH;2022/2023 GENAP;NEGERI;SD;8
15;JAMBI;1508;BUNGO;150815;BATHIN II PELAYANG;DATA SEKOLAH;2022/2023 GENAP;NEGERI;SMP;2
15;JAMBI;1508;BUNGO;150815;BATHIN II PELAYANG;DATA SEKOLAH;2022/2023 GENAP;NEGERI;SMA;1
15;JAMBI;1508;BUNGO;150815;BATHIN II PELAYANG;DATA SEKOLAH;2022/2023 GENAP;NEGERI;SMK;0
15;JAMBI;1508;BUNGO;150815;BATHIN II PELAYANG;DATA SEKOLAH;2022/2023 GENAP;NEGERI;SLB;0
15;JAMBI;1508;BUNGO;150811;BATHIN III;DATA SEKOLAH;2022/2023 GENAP;NEGERI;TK;0
15;JAMBI;1508;BUNGO;150811;BATHIN III;DATA SEKOLAH;2022/2023 GENAP;NEGERI;KB;0
15;JAMBI;1508;BUNGO;150811;BATHIN III;DATA SEKOLAH;2022/2023 GENAP;NEGERI;TPA;0
15;JAMBI;1508;BUNGO;150811;BATHIN III;DATA SEKOLAH;2022/2023 GENAP;NEGERI;SPS;0
15;JAMBI;1508;BUNGO;150811;BATHIN III;DATA SEKOLAH;2022/2023 GENAP;NEGERI;PKBM;0
15;JAMBI;1508;BUNGO;150811;BATHIN III;DATA SEKOLAH;2022/2023 GENAP;NEGERI;SKB;1
15;JAMBI;1508;BUNGO;150811;BATHIN III;DATA SEKOLAH;2022/2023 GENAP;NEGERI;SD;9
15;JAMBI;1508;BUNGO;150811;BATHIN III;DATA SEKOLAH;2022/2023 GENAP;NEGERI;SMP;2
15;JAMBI;1508;BUNGO;150811;BATHIN III;DATA SEKOLAH;2022/2023 GENAP;NEGERI;SMA;1
15;JAMBI;1508;BUNGO;150811;BATHIN III;DATA SEKOLAH;2022/2023 GENAP;NEGERI;SMK;1
15;JAMBI;1508;BUNGO;150811;BATHIN III;DATA SEKOLAH;2022/2023 GENAP;NEGERI;SLB;0
15;JAMBI;1508;BUNGO;150814;BATHIN III ULU;DATA SEKOLAH;2022/2023 GENAP;NEGERI;TK;0
15;JAMBI;1508;BUNGO;150814;BATHIN III ULU;DATA SEKOLAH;2022/2023 GENAP;NEGERI;KB;0
15;JAMBI;1508;BUNGO;150814;BATHIN III ULU;DATA SEKOLAH;2022/2023 GENAP;NEGERI;TPA;0
15;JAMBI;1508;BUNGO;150814;BATHIN III ULU;DATA SEKOLAH;2022/2023 GENAP;NEGERI;SPS;0
15;JAMBI;1508;BUNGO;150814;BATHIN III ULU;DATA SEKOLAH;2022/2023 GENAP;NEGERI;PKBM;0
15;JAMBI;1508;BUNGO;150814;BATHIN III ULU;DATA SEKOLAH;2022/2023 GENAP;NEGERI;SKB;0
15;JAMBI;1508;BUNGO;150814;BATHIN III ULU;DATA SEKOLAH;2022/2023 GENAP;NEGERI;SD;17
15;JAMBI;1508;BUNGO;150814;BATHIN III ULU;DATA SEKOLAH;2022/2023 GENAP;NEGERI;SMP;2
15;JAMBI;1508;BUNGO;150814;BATHIN III ULU;DATA SEKOLAH;2022/2023 GENAP;NEGERI;SMA;0
15;JAMBI;1508;BUNGO;150814;BATHIN III ULU;DATA SEKOLAH;2022/2023 GENAP;NEGERI;SMK;1
15;JAMBI;1508;BUNGO;150814;BATHIN III ULU;DATA SEKOLAH;2022/2023 GENAP;NEGERI;SLB;0
15;JAMBI;1503;SAROLANGUN;150308;BATHIN VIII;DATA SEKOLAH;2022/2023 GENAP;NEGERI;TK;1
15;JAMBI;1503;SAROLANGUN;150308;BATHIN VIII;DATA SEKOLAH;2022/2023 GENAP;NEGERI;KB;0
15;JAMBI;1503;SAROLANGUN;150308;BATHIN VIII;DATA SEKOLAH;2022/2023 GENAP;NEGERI;TPA;0
15;JAMBI;1503;SAROLANGUN;150308;BATHIN VIII;DATA SEKOLAH;2022/2023 GENAP;NEGERI;SPS;0
15;JAMBI;1503;SAROLANGUN;150308;BATHIN VIII;DATA SEKOLAH;2022/2023 GENAP;NEGERI;PKBM;0
15;JAMBI;1503;SAROLANGUN;150308;BATHIN VIII;DATA SEKOLAH;2022/2023 GENAP;NEGERI;SKB;0
