id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,kode_kecamatan,nama_kecamatan,kategori,data,satuan,semester,jumlah,tahun
746,15,JAMBI,1501,KERINCI,150111,AIR HANGAT TIMUR,AKTA LAHIR,MEMILIKI,JIWA,1,4331,2022
747,15,JAMBI,1501,KERINCI,150107,BATANG MERANGIN,AKTA LAHIR,MEMILIKI,JIWA,1,3091,2022
748,15,JAMBI,1501,KERINCI,150120,BUKITKERMAN,AKTA LAHIR,MEMILIKI,JIWA,1,3258,2022
749,15,JAMBI,1501,KERINCI,150102,DANAU KERINCI,AKTA LAHIR,MEMILIKI,JIWA,1,3320,2022
750,15,JAMBI,1501,KERINCI,150123,DANAU KERINCI BARAT,AKTA LAHIR,MEMILIKI,JIWA,1,2626,2022
751,15,JAMBI,1501,KERINCI,150117,DEPATI TUJUH,AKTA LAHIR,MEMILIKI,JIWA,1,3857,2022
752,15,JAMBI,1501,KERINCI,150106,GUNUNG KERINCI,AKTA LAHIR,MEMILIKI,JIWA,1,3439,2022
753,15,JAMBI,1501,KERINCI,150101,GUNUNG RAYA,AKTA LAHIR,MEMILIKI,JIWA,1,2108,2022
754,15,JAMBI,1501,KERINCI,150115,GUNUNG TUJUH,AKTA LAHIR,MEMILIKI,JIWA,1,4641,2022
755,15,JAMBI,1501,KERINCI,150109,KAYU ARO,AKTA LAHIR,MEMILIKI,JIWA,1,5842,2022
756,15,JAMBI,1501,KERINCI,150119,KAYU ARO BARAT,AKTA LAHIR,MEMILIKI,JIWA,1,5718,2022
757,15,JAMBI,1501,KERINCI,150108,KELILING DANAU,AKTA LAHIR,MEMILIKI,JIWA,1,2914,2022
758,15,JAMBI,1501,KERINCI,150104,SITINJAU LAUT,AKTA LAHIR,MEMILIKI,JIWA,1,2360,2022
759,15,JAMBI,1501,KERINCI,150116,SIULAK,AKTA LAHIR,MEMILIKI,JIWA,1,5830,2022
760,15,JAMBI,1501,KERINCI,150118,SIULAK MUKAI,AKTA LAHIR,MEMILIKI,JIWA,1,2872,2022
761,15,JAMBI,1501,KERINCI,150122,TANAH COGOK,AKTA LAHIR,MEMILIKI,JIWA,1,1953,2022
762,15,JAMBI,1571,KOTA JAMBI,157109,ALAM BARAJO,AKTA LAHIR,MEMILIKI,JIWA,1,32773,2022
763,15,JAMBI,1571,KOTA JAMBI,157110,DANAU SIPIN,AKTA LAHIR,MEMILIKI,JIWA,1,12075,2022
764,15,JAMBI,1571,KOTA JAMBI,157106,DANAU TELUK,AKTA LAHIR,MEMILIKI,JIWA,1,3675,2022
765,15,JAMBI,1571,KOTA JAMBI,157102,JAMBI SELATAN,AKTA LAHIR,MEMILIKI,JIWA,1,16056,2022
766,15,JAMBI,1571,KOTA JAMBI,157103,JAMBI TIMUR,AKTA LAHIR,MEMILIKI,JIWA,1,18078,2022
767,15,JAMBI,1571,KOTA JAMBI,157108,JELUTUNG,AKTA LAHIR,MEMILIKI,JIWA,1,16572,2022
768,15,JAMBI,1571,KOTA JAMBI,157107,KOTA BARU,AKTA LAHIR,MEMILIKI,JIWA,1,25146,2022
769,15,JAMBI,1571,KOTA JAMBI,157111,PAAL MERAH,AKTA LAHIR,MEMILIKI,JIWA,1,31690,2022
770,15,JAMBI,1571,KOTA JAMBI,157104,PASAR JAMBI,AKTA LAHIR,MEMILIKI,JIWA,1,2941,2022
