id;kode_provinsi;nama_provinsi;kode_kabupaten_kota;nama_komoditi;jumlah_produksi;satuan;tahun
;15;JAMBI;1509;DUKU;23170,99;KUINTAL;2024
;15;JAMBI;1509;DURIAN;33666,66;KUINTAL;2024
;15;JAMBI;1509;JENGKOL;5563,01;KUINTAL;2024
;15;JAMBI;1509;JERUK;6285,62;KUINTAL;2024
;15;JAMBI;1509;MANGGIS;2472,09;KUINTAL;2024
;15;JAMBI;1509;NANAS;174,25;KUINTAL;2024
;15;JAMBI;1509;PISANG;6034,89;KUINTAL;2024
;15;JAMBI;1571;ALPUKAT;289,5;KUINTAL;2024
;15;JAMBI;1571;DUKU;260,10;KUINTAL;2024
;15;JAMBI;1571;DURIAN;455,8;KUINTAL;2024
;15;JAMBI;1571;JENGKOL;532;KUINTAL;2024
;15;JAMBI;1571;JERUK;32,4;KUINTAL;2024
;15;JAMBI;1571;MANGGIS;31,6;KUINTAL;2024
;15;JAMBI;1571;NANAS;18;KUINTAL;2024
;15;JAMBI;1571;PISANG;1084,95;KUINTAL;2024
;15;JAMBI;1572;ALPUKAT;2636,22;KUINTAL;2024
;15;JAMBI;1572;DUKU;495,00;KUINTAL;2024
;15;JAMBI;1572;DURIAN;2831,8;KUINTAL;2024
;15;JAMBI;1572;JENGKOL;55,2;KUINTAL;2024
;15;JAMBI;1572;JERUK;9506,6;KUINTAL;2024
;15;JAMBI;1572;MANGGIS;2874,2;KUINTAL;2024
;15;JAMBI;1572;NANAS;20;KUINTAL;2024
;15;JAMBI;1572;PISANG;4576,2;KUINTAL;2024
