NO;kode_provinsi;nama_provinsi;kode_kabupaten_kota;nama_kabupaten_kota;kode_kecamatan;nama_kecamatan;jumlah_keluarga_berisiko_stunting;keluarga_tidak_memiliki_sumber_air_minum_layak;keluarga_tidak_memiliki_jamban_layak;pus_terlalu_muda_tidak_menggunakan_kb;pus_terlalu_tua_tidak_menggunakan_kb;pus_terlalu_dekat_tidak_menggunakan_kb;pus_terlalu_banyak_tidak_menggunakan_kb
92;15;JAMBI;1507;TANJUNG JABUNG TIMUR;150707;MUARA SABAK BARAT;794;317;137;4;279;3;167
93;15;JAMBI;1507;TANJUNG JABUNG TIMUR;150701;MUARA SABAK TIMUR;2.055;1.169;870;7;268;5;148
94;15;JAMBI;1507;TANJUNG JABUNG TIMUR;150702;NIPAH PANJANG;2.903;2.289;1.008;11;264;2;211
95;15;JAMBI;1507;TANJUNG JABUNG TIMUR;150704;RANTAU RASAU;541;348;144;2;125;0;47
96;15;JAMBI;1507;TANJUNG JABUNG TIMUR;150705;S A D U;1.118;497;839;16;158;3;107
97;15;JAMBI;1508;BUNGO;150815;BATHIN II PELAYANG;282;151;110;10;46;0;31
98;15;JAMBI;1508;BUNGO;150811;BATHIN III;911;197;384;13;303;5;214
99;15;JAMBI;1508;BUNGO;150814;BATHIN III ULU;740;344;531;28;75;4;93
100;15;JAMBI;1508;BUNGO;150810;BATIN II BABEKO;486;127;266;11;95;1;62
101;15;JAMBI;1508;BUNGO;150812;BUNGO DANI;1.024;189;307;6;402;3;291
102;15;JAMBI;1508;BUNGO;150804;JUJUHAN;456;46;166;12;175;6;138
103;15;JAMBI;1508;BUNGO;150816;JUJUHAN ILIR;161;33;66;1;60;1;28
104;15;JAMBI;1508;BUNGO;150807;LIMBUR LUBUK MENGKUANG;834;94;633;13;108;2;90
105;15;JAMBI;1508;BUNGO;150808;MUKO-MUKO BATHIN VII;835;247;516;22;105;4;96
106;15;JAMBI;1508;BUNGO;150803;PASAR MUARO BUNGO;584;56;59;3;298;5;276
107;15;JAMBI;1508;BUNGO;150806;PELEPAT;1.591;591;792;47;337;4;280
108;15;JAMBI;1508;BUNGO;150809;PELEPAT ILIR;1.383;223;417;42;570;10;353
109;15;JAMBI;1508;BUNGO;150802;RANTAU PANDAN;610;153;459;14;82;0;50
110;15;JAMBI;1508;BUNGO;150813;RIMBO TENGAH;566;24;62;12;339;4;188
111;15;JAMBI;1508;BUNGO;150805;TANAH SEPENGGAL;1.698;696;1.178;27;237;0;120
112;15;JAMBI;1508;BUNGO;150817;TANAH SEPENGGAL LINTAS;994;380;486;27;178;6;188
113;15;JAMBI;1508;BUNGO;150801;TANAH TUMBUH;680;276;503;38;88;1;46
114;15;JAMBI;1509;TEBO;150912;MUARA TABIR;1.242;501;639;56;123;2;53
115;15;JAMBI;1509;TEBO;150904;RIMBO BUJANG;1.528;227;254;21;743;9;501
116;15;JAMBI;1509;TEBO;150908;RIMBO ILIR;738;448;60;4;210;1;83
117;15;JAMBI;1509;TEBO;150907;RIMBO ULU;859;292;300;5;272;3;133
118;15;JAMBI;1509;TEBO;150910;SERAI SERUMPUN;338;153;208;16;42;0;18
119;15;JAMBI;1509;TEBO;150905;SUMAY;957;281;456;24;306;4;148
120;15;JAMBI;1509;TEBO;150902;TEBO ILIR;223;25;80;27;83;3;42
121;15;JAMBI;1509;TEBO;150901;TEBO TENGAH;921;152;247;11;449;4;236
122;15;JAMBI;1509;TEBO;150903;TEBO ULU;1.174;562;543;33;206;1;120
123;15;JAMBI;1509;TEBO;150909;TENGAH ILIR;501;86;268;4;176;1;117
124;15;JAMBI;1509;TEBO;150906;VII KOTO;632;302;216;18;140;2;96
125;15;JAMBI;1509;TEBO;150911;VII KOTO ILIR;795;372;577;19;124;1;52
126;15;JAMBI;1571;KOTA JAMBI;157109;ALAM BARAJO;1.885;46;52;7;1.319;14;604
127;15;JAMBI;1571;KOTA JAMBI;157110;DANAU SIPIN;396;19;58;6;240;8;105
128;15;JAMBI;1571;KOTA JAMBI;157106;DANAU TELUK;123;6;16;4;81;0;26
129;15;JAMBI;1571;KOTA JAMBI;157102;JAMBI SELATAN;1.213;117;378;4;502;10;301
130;15;JAMBI;1571;KOTA JAMBI;157103;JAMBI TIMUR;1.495;91;234;5;781;17;584
131;15;JAMBI;1571;KOTA JAMBI;157108;JELUTUNG;548;42;48;4;343;7;144
132;15;JAMBI;1571;KOTA JAMBI;157107;KOTA BARU;2.280;131;137;2;1.408;31;872
133;15;JAMBI;1571;KOTA JAMBI;157111;PAAL MERAH;2.715;186;447;4;1.535;26;812
134;15;JAMBI;1571;KOTA JAMBI;157104;PASAR JAMBI;148;0;57;1;64;1;45
135;15;JAMBI;1571;KOTA JAMBI;157105;PELAYANGAN;264;27;46;1;114;4;132
136;15;JAMBI;1571;KOTA JAMBI;157101;TELANAIPURA;810;76;39;5;463;9;299
137;15;JAMBI;1572;KOTA SUNGAI PENUH;157203;HAMPARAN RAWANG;355;28;241;4;87;3;48
138;15;JAMBI;1572;KOTA SUNGAI PENUH;157207;KOTO BARU;230;5;191;13;22;0;10
139;15;JAMBI;1572;KOTA SUNGAI PENUH;157205;KUMUN DEBAI;186;124;143;1;27;1;11
140;15;JAMBI;1572;KOTA SUNGAI PENUH;157202;PESISIR BUKIT;208;7;95;7;74;2;45
141;15;JAMBI;1572;KOTA SUNGAI PENUH;157206;PONDOK TINGGI;465;24;150;5;184;3;168
142;15;JAMBI;1572;KOTA SUNGAI PENUH;157208;SUNGAI BUNGKAL;236;5;104;4;92;0;82
143;15;JAMBI;1572;KOTA SUNGAI PENUH;157201;SUNGAI PENUH;165;8;81;1;65;2;36
144;15;JAMBI;1572;KOTA SUNGAI PENUH;157204;TANAH KAMPUNG;223;17;115;12;84;1;20
