No;kode_provinsi;nama_provinsi;kode_kabupaten_kota;kode_kecamatan;nama_sekolah;tipe;jenjang_pendidikan;akreditasi;tahun_akreditasi;tahun_terbit_sertifikat_akreditasi;tahun_berakhir_sertifikat_akreditasi;status
158;15;JAMBI;1504;150403;SMKN 1 BATANGHARI;NEGERI;SMK;A;2021;08/12/2021;31/12/2026;Akreditasi 2021
159;15;JAMBI;1504;150403;SMKN 2 BATANGHARI;NEGERI;SMK;B;2022;31/12/2022;31/12/2027;Akreditasi 2022
160;15;JAMBI;1504;150404;SMKN 3 BATANG HARI;NEGERI;SMK;B;2021;08/12/2021;31/12/2026;Akreditasi 2021
161;15;JAMBI;1504;150406;SMKN 4 BATANGHARI;NEGERI;SMK;B;2022;06/12/2022;06/12/2027;Akreditasi 2022
162;15;JAMBI;1504;150403;SMKN 5 BATANGHARI;NEGERI;SMK;C;2023;12/12/2023;12/12/2028;Akreditasi 2023
163;15;JAMBI;1504;150401;SMKN 6 BATANGHARI;NEGERI;SMK;C;2023;12/12/2023;12/12/2024;
164;15;JAMBI;1504;150407;SMKN 7 BATANGHARI;NEGERI;SMK;C;2023;12/12/2023;12/12/2028;Akreditasi 2023
165;15;JAMBI;1504;150408;SMKN 8 BATANGHARI;NEGERI;SMK;C;2021;11/11/2021;11/11/2026;Akreditasi 2021
166;15;JAMBI;1504;150405;SMKN SPP JAMBI;NEGERI;SMK;A;2019;18/11/2019;18/11/2024;Rencana Akreditasi 2024
167;15;JAMBI;1504;150403;SMKS IQRA MUARA BULIAN;SWASTA;SMK;C;2019;18/11/2019;18/11/2024;Rencana Akreditasi 2024
168;15;JAMBI;1504;150403;SMKS KOSGORO MUARA BULIAN;SWASTA;SMK;B;2021;08/12/2021;31/12/2026;Akreditasi 2021
169;15;JAMBI;1504;150403;SLBN MUARA BULIAN;NEGERI;SLB;B;2019;18/11/2019;18/11/2024;Rencana Akreditasi 2024
170;15;JAMBI;1507;150704;SMAN 1 TANJUNG JABUNG TIMUR;NEGERI;SMA;A;2022;20/10/2022;20/10/2027;Akreditasi 2022
171;15;JAMBI;1507;150701;SMAN 2 TANJUNG JABUNG TIMUR;NEGERI;SMA;A;2021;08/12/2021;31/12/2026;Akreditasi 2021
172;15;JAMBI;1507;150702;SMAN 3 TANJUNG JABUNG TIMUR;NEGERI;SMA;A;2022;06/12/2022;06/12/2027;Akreditasi 2022
173;15;JAMBI;1507;150706;SMAN 4 TANJUNG JABUNG TIMUR;NEGERI;SMA;A;2020;15/12/2020;15/12/2025;Akreditasi 2020
174;15;JAMBI;1507;150710;SMAN 5 TANJUNG JABUNG TIMUR;NEGERI;SMA;A;2022;20/10/2022;20/10/2027;Akreditasi 2022
175;15;JAMBI;1507;150705;SMAN 6 TANJUNG JABUNG TIMUR;NEGERI;SMA;A;2023;04/12/2023;31/12/2028;Akreditasi 2023
176;15;JAMBI;1507;150703;SMAN 7 TANJUNG JABUNG TIMUR;NEGERI;SMA;B;2022;20/10/2022;20/10/2027;Akreditasi 2022
177;15;JAMBI;1507;150707;SMAN 8 TANJUNG JABUNG TIMUR;NEGERI;SMA;A;2022;06/12/2022;06/12/2027;Akreditasi 2022
178;15;JAMBI;1507;150708;SMAN 9 TANJUNG JABUNG TIMUR;NEGERI;SMA;A;2020;15/12/2020;15/12/2025;Akreditasi 2020
179;15;JAMBI;1507;150710;SMAN 10 TANJUNG JABUNG TIMUR;NEGERI;SMA;B;2022;21/11/2022;21/11/2027;Akreditasi 2022
180;15;JAMBI;1507;150701;SMAS LPM LAMBUR;SWASTA;SMA;C;2023;12/12/2023;12/12/2028;Akreditasi 2023
181;15;JAMBI;1507;150711;SMAS PERINTIS BERBAK;SWASTA;SMA;C;2022;21/11/2022;21/11/2027;Akreditasi 2022
