id;kode_provinsi;nama_provinsi;kode_kabupaten_kota;kode_kecamatan;tanggal_kejadian;keterangan;satuan;jumlah_kejadian; jumlah_kerugian ;tahun
1817;15;JAMBI;1504;150404;19/08/2024;KEBUN/HUTAN;HA;0; Rp-   ;2024
1818;15;JAMBI;1504;150404;19/08/2024;KOLAM;HA;0; Rp-   ;2024
1819;15;JAMBI;1504;150404;19/08/2024;IRIGASI;HA;0; Rp-   ;2024
1820;15;JAMBI;1504;150403;26/08/2024;MENINGGAL DUNIA;JIWA;0; Rp-   ;2024
1821;15;JAMBI;1504;150403;26/08/2024;HILANG;JIWA;0; Rp-   ;2024
1822;15;JAMBI;1504;150403;26/08/2024;LUKA;JIWA;0; Rp-   ;2024
1823;15;JAMBI;1504;150403;26/08/2024;MENDERITA;JIWA;0; Rp-   ;2024
1824;15;JAMBI;1504;150403;26/08/2024;MENGUNGSI;JIWA;0; Rp-   ;2024
1825;15;JAMBI;1504;150403;26/08/2024;RUMAH RUSAK BERAT;UNIT;0; Rp-   ;2024
1826;15;JAMBI;1504;150403;26/08/2024;RUMAH RUSAK SEDANG;UNIT;0; Rp-   ;2024
1827;15;JAMBI;1504;150403;26/08/2024;RUMAH RUSAK RINGAN;UNIT;0; Rp-   ;2024
1828;15;JAMBI;1504;150403;26/08/2024;RUMAH TERENDAM;UNIT;0; Rp-   ;2024
1829;15;JAMBI;1504;150403;26/08/2024;SARANA PENDIDIKAN;UNIT;0; Rp-   ;2024
1830;15;JAMBI;1504;150403;26/08/2024;SARANA IBADAH;UNIT;0; Rp-   ;2024
1831;15;JAMBI;1504;150403;26/08/2024;SARANA KESEHATAN;UNIT;0; Rp-   ;2024
1832;15;JAMBI;1504;150403;26/08/2024;PERKANTORAN;UNIT;0; Rp-   ;2024
1833;15;JAMBI;1504;150403;26/08/2024;BANGUNAN LAIN;UNIT;0; Rp-   ;2024
1834;15;JAMBI;1504;150403;26/08/2024;JEMBATAN;UNIT;0; Rp-   ;2024
