NO;kode_provinsi;nama_provinsi;kode_kabupaten_kota;nama_kabupaten_kota;kode_kecamatan;nama_kecamatan;tahun_2021;tahun_2022;tahun_2023;tahun_2024
127;15;JAMBI;1571;KOTA JAMBI;157110;DANAU SIPIN;51,41;27,26;12,49;6,94
128;15;JAMBI;1571;KOTA JAMBI;157106;DANAU TELUK;51,17;13,86;10,62;6,85
129;15;JAMBI;1571;KOTA JAMBI;157102;JAMBI SELATAN;46,75;26,69;19,85;13,02
130;15;JAMBI;1571;KOTA JAMBI;157103;JAMBI TIMUR;49,84;28,34;23,38;16,05
131;15;JAMBI;1571;KOTA JAMBI;157108;JELUTUNG;49,90;22,29;13,56;7,79
132;15;JAMBI;1571;KOTA JAMBI;157107;KOTA BARU;48,02;22,22;16,40;14,16
133;15;JAMBI;1571;KOTA JAMBI;157111;PAAL MERAH;45,40;19,90;13,85;12,65
134;15;JAMBI;1571;KOTA JAMBI;157104;PASAR JAMBI;50,42;35,05;27,71;13,87
135;15;JAMBI;1571;KOTA JAMBI;157105;PELAYANGAN;59,00;24,87;21,24;13,26
136;15;JAMBI;1571;KOTA JAMBI;157101;TELANAIPURA;46,93;17,61;16,56;11,27
137;15;JAMBI;1572;KOTA SUNGAI PENUH;157203;HAMPARAN RAWANG;47,96;26,50;19,94;11,47
138;15;JAMBI;1572;KOTA SUNGAI PENUH;157207;KOTO BARU;47,40;28,24;14,82;11,76
139;15;JAMBI;1572;KOTA SUNGAI PENUH;157205;KUMUN DEBAI;45,53;21,66;18,25;12,20
140;15;JAMBI;1572;KOTA SUNGAI PENUH;157202;PESISIR BUKIT;55,39;31,11;18,79;7,96
141;15;JAMBI;1572;KOTA SUNGAI PENUH;157206;PONDOK TINGGI;56,22;34,10;29,36;15,92
142;15;JAMBI;1572;KOTA SUNGAI PENUH;157208;SUNGAI BUNGKAL;54,06;23,06;21,90;13,82
143;15;JAMBI;1572;KOTA SUNGAI PENUH;157201;SUNGAI PENUH;53,10;42,11;21,88;12,54
144;15;JAMBI;1572;KOTA SUNGAI PENUH;157204;TANAH KAMPUNG;42,05;26,25;14,44;12,18
