id;kode_provinsi;nama_provinsi;kode_kabupaten_kota;kode_kecamatan;kode_kelurahan_desa;koperasi;tanggal_badan_hukum;aktif;bentuk_koperasi;jenis_koperasi;kelompok_koperasi;sektor_usaha;klasifikasi;kesehatan;anggota_pria;anggota_wanita;tahun_industri_usaha;tahun
103;15;JAMBI;1501;150109;1501092012;Koperasi Serba Usaha Mekar Sari;11/11/2011;FALSE;Primer Kabupaten/Kota;Konsumen;Kop. Serba Usaha;JASA LAINNYA;-;-;0;0;-;2023
104;15;JAMBI;1501;150109;1501092045;Koperasi Simpan Pinjam Raja Kerinci Mandiri;08/07/2019;TRUE;Primer Kabupaten/Kota;Simpan Pinjam;Kop. Simpan Pinjam;JASA KEUANGAN DAN ASURANSI;-;-;0;0;-;2023
105;15;JAMBI;1501;150109;1501092025;Koperasi Serba Usaha Gabungan Penjual Pupuk dan Pestisida;21/12/2011;TRUE;Primer Kabupaten/Kota;Pemasaran;Kop. Serba Usaha;PERDAGANGAN BESAR DAN ECERAN - REP MOBIL DAN MOTOR;-;-;0;0;-;2023
106;15;JAMBI;1501;150109;1501092025;Koperasi Tani Fortuna;18/04/2011;TRUE;Primer Kabupaten/Kota;Produsen;Kop. Pertanian;PERTANIAN, KEHUTANAN DAN PERIKANAN;-;-;0;0;-;2023
107;15;JAMBI;1501;150109;1501192004;Koperasi Unit Desa Sejahtera;11/08/1999;FALSE;Primer Kabupaten/Kota;Produsen;KUD;PERTANIAN, KEHUTANAN DAN PERIKANAN;-;-;0;0;-;2023
108;15;JAMBI;1501;150109;1501092012;Koperasi Karyawan PT PLN;13/10/2009;TRUE;Primer Kabupaten/Kota;Konsumen;Kopkar;JASA KEUANGAN DAN ASURANSI;-;-;0;0;-;2023
109;15;JAMBI;1501;150109;1501092012;Koperasi Pemasaran Alko Putri alam Kerinci;15/08/2018;TRUE;Primer Kabupaten/Kota;Pemasaran;Kop. Pertanian;PERTANIAN, KEHUTANAN DAN PERIKANAN;-;-;0;0;-;2023
110;15;JAMBI;1501;150109;1501092015;Koperasi Serba Usaha Agro Lestari;28/12/2006;TRUE;Primer Kabupaten/Kota;Konsumen;Kop. Serba Usaha;PERTANIAN, KEHUTANAN DAN PERIKANAN;-;-;0;0;-;2023
111;15;JAMBI;1501;150109;1501022008;Koperasi Tani Mitra Flora;17/06/2009;TRUE;Primer Kabupaten/Kota;Produsen;Kop. Pertanian;PERTANIAN, KEHUTANAN DAN PERIKANAN;-;-;0;0;-;2023
112;15;JAMBI;1501;150109;1501022008;Koperasi Bhakti Usaha;15/12/2014;TRUE;Primer Kabupaten/Kota;Konsumen;Kop. Lainnya;PERTANIAN, KEHUTANAN DAN PERIKANAN;-;-;0;0;-;2023
