id;kode_provinsi;nama_provinsi;kode_kabupaten_kota;kode_ruas;nama_ruas_jalan;no_jembatan_rekomendasi;nama_jembatan;panjang;satuan;tahun
92;15;JAMBI;1506;P.041;SEI SAREN - TELUK NILAU - PARIT 10 (SENYERANG);P.11.041.004;BOX 3;5,6;METER;2024
93;15;JAMBI;1506;P.041;SEI SAREN - TELUK NILAU - PARIT 10 (SENYERANG);P.11.041.005;BOX 4;3;METER;2024
94;15;JAMBI;1506;P.041;SEI SAREN - TELUK NILAU - PARIT 10 (SENYERANG);P.11.041.006;BOX 5;6;METER;2024
95;15;JAMBI;1506;P.041;SEI SAREN - TELUK NILAU - PARIT 10 (SENYERANG);P.11.041.007;BOX 6;6,2;METER;2024
96;15;JAMBI;1506;P.041;SEI SAREN - TELUK NILAU - PARIT 10 (SENYERANG);P.11.041.008;BOX 7;3;METER;2024
97;15;JAMBI;1506;P.041;SEI SAREN - TELUK NILAU - PARIT 10 (SENYERANG);P.11.041.009;BOX 8;6,3;METER;2024
98;15;JAMBI;1506;P.041;SEI SAREN - TELUK NILAU - PARIT 10 (SENYERANG);P.11.041.010;BOX 9;6,1;METER;2024
99;15;JAMBI;1506;P.041;SEI SAREN - TELUK NILAU - PARIT 10 (SENYERANG);P.11.041.011;SEI PARIT VII;26,1;METER;2024
100;15;JAMBI;1506;P.041;SEI SAREN - TELUK NILAU - PARIT 10 (SENYERANG);P.11.041.012;SEI BAUNG;50,8;METER;2024
101;15;JAMBI;1506;P.041;SEI SAREN - TELUK NILAU - PARIT 10 (SENYERANG);P.11.041.013;PARIT PANCASILA;31;METER;2024
102;15;JAMBI;1506;P.041;SEI SAREN - TELUK NILAU - PARIT 10 (SENYERANG);P.11.041.014;JEMBATAN PARIT VI;40,5;METER;2024
103;15;JAMBI;1506;P.041;SEI SAREN - TELUK NILAU - PARIT 10 (SENYERANG);P.11.041.015;PARIT 5;25,5;METER;2024
104;15;JAMBI;1506;P.041;SEI SAREN - TELUK NILAU - PARIT 10 (SENYERANG);P.11.041.016;TANPA NAMA;26;METER;2024
105;15;JAMBI;1506;P.041;SEI SAREN - TELUK NILAU - PARIT 10 (SENYERANG);P.11.041.017;PARIT III;36;METER;2024
106;15;JAMBI;1506;P.041;SEI SAREN - TELUK NILAU - PARIT 10 (SENYERANG);P.11.041.018;PARIT II;46,1;METER;2024
107;15;JAMBI;1506;P.041;SEI SAREN - TELUK NILAU - PARIT 10 (SENYERANG);P.11.041.019;PARIT TELUK NILAU;41,3;METER;2024
108;15;JAMBI;1506;P.041;SEI SAREN - TELUK NILAU - PARIT 10 (SENYERANG);P.11.041.020;TANPA NAMA;16;METER;2024
109;15;JAMBI;1506;P.041;SEI SAREN - TELUK NILAU - PARIT 10 (SENYERANG);P.11.041.021;PARIT UNDUNG;16;METER;2024
110;15;JAMBI;1506;P.041;SEI SAREN - TELUK NILAU - PARIT 10 (SENYERANG);P.11.041.022;TANPA NAMA;26;METER;2024
111;15;JAMBI;1506;P.041;SEI SAREN - TELUK NILAU - PARIT 10 (SENYERANG);P.11.041.023;TANPA NAMA;26,4;METER;2024
112;15;JAMBI;1506;P.041;SEI SAREN - TELUK NILAU - PARIT 10 (SENYERANG);P.11.041.024;JEMBATAN X SEI LANDAK;26;METER;2024
113;15;JAMBI;1506;P.041;SEI SAREN - TELUK NILAU - PARIT 10 (SENYERANG);P.11.041.025;JEMBATAN IX;32;METER;2024
114;15;JAMBI;1506;P.041;SEI SAREN - TELUK NILAU - PARIT 10 (SENYERANG);P.11.041.026;TANPA NAMA;31,5;METER;2024
115;15;JAMBI;1506;P.041;SEI SAREN - TELUK NILAU - PARIT 10 (SENYERANG);P.11.041.027;BOX 10;6,5;METER;2024
116;15;JAMBI;1506;P.041;SEI SAREN - TELUK NILAU - PARIT 10 (SENYERANG);P.11.041.028;PARIT 3;26;METER;2024
117;15;JAMBI;1506;P.041;SEI SAREN - TELUK NILAU - PARIT 10 (SENYERANG);P.11.041.029;PARIT 2;26;METER;2024
118;15;JAMBI;1506;P.041;SEI SAREN - TELUK NILAU - PARIT 10 (SENYERANG);P.11.041.030;PARIT 1;26;METER;2024
119;15;JAMBI;1506;P.041;SEI SAREN - TELUK NILAU - PARIT 10 (SENYERANG);P.11.041.031;SENYERANG KECIL;46;METER;2024
120;15;JAMBI;1506;P.041;SEI SAREN - TELUK NILAU - PARIT 10 (SENYERANG);P.11.041.032;PARIT CIKPAH;31,5;METER;2024
121;15;JAMBI;1506;P.041;SEI SAREN - TELUK NILAU - PARIT 10 (SENYERANG);P.11.041.033;PARIT MURSID;31,5;METER;2024
122;15;JAMBI;1506;P.041;SEI SAREN - TELUK NILAU - PARIT 10 (SENYERANG);P.11.041.034;PARIT DAUD;51;METER;2024
123;15;JAMBI;1506;P.042;PARIT 10/SENYERANG-MEKARJATI   - BATAS RIAU;P.11.042.001;TANPA NAMA;45,5;METER;2024
124;15;JAMBI;1506;P.042;PARIT 10/SENYERANG-MEKARJATI   - BATAS RIAU;P.11.042.002;PARIT YUNUS;33;METER;2024
125;15;JAMBI;1506;P.042;PARIT 10/SENYERANG-MEKARJATI   - BATAS RIAU;P.11.042.003;PARIT 17;16;METER;2024
126;15;JAMBI;1506;P.042;PARIT 10/SENYERANG-MEKARJATI   - BATAS RIAU;P.11.042.004;PARIT 17 JALIL;21;METER;2024
127;15;JAMBI;1506;P.042;PARIT 10/SENYERANG-MEKARJATI   - BATAS RIAU;P.11.042.005;BUNASIN;16;METER;2024
128;15;JAMBI;1509;P.051;MUARA TEBO - SIMPANG  LOGPON;P.11.051.001;SEI. TELEPANG  I;20,5;METER;2024
129;15;JAMBI;1509;P.051;MUARA TEBO - SIMPANG  LOGPON;P.11.051.002;SEI. TENGKUYUNG;25,5;METER;2024
130;15;JAMBI;1509;P.051;MUARA TEBO - SIMPANG  LOGPON;P.11.051.003;SEI. TEBAT;25,5;METER;2024
131;15;JAMBI;1509;P.051;MUARA TEBO - SIMPANG  LOGPON;P.11.051.005;SEI. PUNTI KALO;42;METER;2024
132;15;JAMBI;1509;P.051;MUARA TEBO - SIMPANG  LOGPON;P.11.051.006;SEI. BANO;22,7;METER;2024
133;15;JAMBI;1509;P.051;MUARA TEBO - SIMPANG  LOGPON;P.11.051.007;SEI. TELEPANG  II;23;METER;2024
134;15;JAMBI;1509;P.051;MUARA TEBO - SIMPANG  LOGPON;P.11.051.008;SEI. BULIAN;26;METER;2024
135;15;JAMBI;1509;P.051;MUARA TEBO - SIMPANG  LOGPON;P.11.051.009;SEI. KASAU  II;23,2;METER;2024
136;15;JAMBI;1509;P.051;MUARA TEBO - SIMPANG  LOGPON;P.11.051.010;SEI. PANDAN;56,4;METER;2024
137;15;JAMBI;1509;P.051;MUARA TEBO - SIMPANG  LOGPON;P.11.051.012;SEI. BESAR;31,5;METER;2024
138;15;JAMBI;1509;P.052;SIMPANG  LOGPON  - TANJUNG;P.11.052.001;SEI. HITAM;17,7;METER;2024
139;15;JAMBI;1509;P.052;SIMPANG  LOGPON  - TANJUNG;P.11.052.002;SEI. KAPUNGO;56;METER;2024
140;15;JAMBI;1509;P.052;SIMPANG  LOGPON  - TANJUNG;P.11.052.003;SEI. PULAU  MUSANG;182;METER;2024
141;15;JAMBI;1509;P.052;SIMPANG  LOGPON  - TANJUNG;P.11.052.004;SEI. BEMBAN;26;METER;2024
142;15;JAMBI;1509;P.052;SIMPANG  LOGPON  - TANJUNG;P.11.052.005;SEI. ABANG;32,5;METER;2024
143;15;JAMBI;1509;P.052;SIMPANG  LOGPON  - TANJUNG;P.11.052.006;SEI. SAMSEW O;36,2;METER;2024
144;15;JAMBI;1509;P.052;SIMPANG  LOGPON  - TANJUNG;P.11.052.007;SEI. BUNGO;40;METER;2024
145;15;JAMBI;1509;P.052;SIMPANG  LOGPON  - TANJUNG;P.11.052.008;SEI. KUAMANG;25,5;METER;2024
146;15;JAMBI;1509;P.052;SIMPANG  LOGPON  - TANJUNG;P.11.052.009;SEI. TANJUNG;169,1;METER;2024
147;15;JAMBI;1508;P.053;SIMPANG  SAUMIL  - SIMPANG  LOGPON;P.11.053.001;SEI. ALAI I;25,6;METER;2024
148;15;JAMBI;1508;P.053;SIMPANG  SAUMIL  - SIMPANG  LOGPON;P.11.053.002;SEI. ALAI II;26;METER;2024
149;15;JAMBI;1508;P.053;SIMPANG  SAUMIL  - SIMPANG  LOGPON;P.11.053.003;SEI. PANDAN  I;23;METER;2024
150;15;JAMBI;1508;P.053;SIMPANG  SAUMIL  - SIMPANG  LOGPON;P.11.053.004;SEI. PANDAN  II;16;METER;2024
151;15;JAMBI;1508;P.061;MUARA BUNGO  - PENINJAUAN-JUNCTION;P.11.061.001;SEI. GEMURUH;18;METER;2024
152;15;JAMBI;1508;P.061;MUARA BUNGO  - PENINJAUAN-JUNCTION;P.11.061.002;SEI. BEDAH  I;11,9;METER;2024
153;15;JAMBI;1508;P.061;MUARA BUNGO  - PENINJAUAN-JUNCTION;P.11.061.003;SEI. KENDERANG;19,8;METER;2024
154;15;JAMBI;1508;P.061;MUARA BUNGO  - PENINJAUAN-JUNCTION;P.11.061.004;SEI. DUSUN  BARU;16;METER;2024
155;15;JAMBI;1508;P.061;MUARA BUNGO  - PENINJAUAN-JUNCTION;P.11.061.005;SEI. AUR;26,3;METER;2024
156;15;JAMBI;1508;P.061;MUARA BUNGO  - PENINJAUAN-JUNCTION;P.11.061.006;SEI. RANAU;9;METER;2024
157;15;JAMBI;1508;P.061;MUARA BUNGO  - PENINJAUAN-JUNCTION;P.11.061.007;SEI.TELENTAM BESAR;36,4;METER;2024
158;15;JAMBI;1508;P.061;MUARA BUNGO  - PENINJAUAN-JUNCTION;P.11.061.008;SEI. TANAH  BERKALI;16,9;METER;2024
159;15;JAMBI;1508;P.061;MUARA BUNGO  - PENINJAUAN-JUNCTION;P.11.061.009;SEI. TELENTAM  KECIL;21,1;METER;2024
160;15;JAMBI;1508;P.061;MUARA BUNGO  - PENINJAUAN-JUNCTION;P.11.061.010;SEI. AIR BIRU;46;METER;2024
161;15;JAMBI;1508;P.061;MUARA BUNGO  - PENINJAUAN-JUNCTION;P.11.061.011;SEI. JANTAN;26,2;METER;2024
162;15;JAMBI;1508;P.061;MUARA BUNGO  - PENINJAUAN-JUNCTION;P.11.061.012;SEI. ARANG;14,8;METER;2024
163;15;JAMBI;1508;P.061;MUARA BUNGO  - PENINJAUAN-JUNCTION;P.11.061.013;SEI. BATANG  ULEH;64,6;METER;2024
164;15;JAMBI;1508;P.061;MUARA BUNGO  - PENINJAUAN-JUNCTION;P.11.061.014;SEI. SEMAGAI;42,1;METER;2024
165;15;JAMBI;1508;P.061;MUARA BUNGO  - PENINJAUAN-JUNCTION;P.11.061.015;SEI. PENINJAUAN;112;METER;2024
166;15;JAMBI;1508;P.061;MUARA BUNGO  - PENINJAUAN-JUNCTION;P.11.061.016;SEI. PANTAI;46,2;METER;2024
167;15;JAMBI;1508;P.061;MUARA BUNGO  - PENINJAUAN-JUNCTION;P.11.061.017;SEI. JANTAYO;20,2;METER;2024
168;15;JAMBI;1508;P.061;MUARA BUNGO  - PENINJAUAN-JUNCTION;P.11.061.018;BOX 1;5,75;METER;2024
169;15;JAMBI;1508;P.061;MUARA BUNGO  - PENINJAUAN-JUNCTION;P.11.061.019;BOX 2;5,5;METER;2024
170;15;JAMBI;1508;P.061;MUARA BUNGO  - PENINJAUAN-JUNCTION;P.11.061.020;BOX 4;6,3;METER;2024
171;15;JAMBI;1508;P.061;MUARA BUNGO  - PENINJAUAN-JUNCTION;P.11.061.021;BOX 5;6,3;METER;2024
172;15;JAMBI;1508;P.061;MUARA BUNGO  - PENINJAUAN-JUNCTION;P.11.061.022;BOX 6;5,6;METER;2024
