no;kode_provinsi;nama_provinsi;kode_kabupaten_kota;kode_kecamatan;kode_kelurahan_desa;nama_hotel;data;tenaga_kerja;jumlah_tenaga_kerja;fasilitas;jenis_kamar;jumlah;jumlah_tempat_tidur
85;15;JAMBI;1502;150202;1502021013;Hotel Bukit Indah ;HOTEL NON BINTANG;L;3;3,7;Standar, Deluxe,Superior ;18;36
86;15;JAMBI;1502;150202;1502021013;Hotel Keluarga ;HOTEL NON BINTANG;L;6;3,7;Standar, Deluxe,Superior ;38;72
87;15;JAMBI;1502;150202;1502021013;Hotel Family in ;HOTEL NON BINTANG;L;1;3,7;Standar, Deluxe, Superior ;12;26
88;15;JAMBI;1502;150202;1502021013;Hotel Deli ;HOTEL NON BINTANG;L;2;3,7;Standar, Deluxe ,Superior ;18;36
89;15;JAMBI;1502;150202;1502021013;Hotel Dahlia ;HOTEL NON BINTANG;L;2;3,7;Standar, Deluxe, Superior ;3;4
90;15;JAMBI;1502;150202;1502021013;Hotel Royal ;HOTEL NON BINTANG;L;4;3,7;Standar, Deluxe, Superior ;20;30
91;15;JAMBI;1502;150202;1502021011;Pinginapan Ibu Haji ;HOTEL NON BINTANG;L;2;3,7;Standar, Deluxe, Superior ;14;38
92;15;JAMBI;1502;150202;1502021013;Hotel Suslinda ;HOTEL NON BINTANG;L;2;3,7;Standar, Deluxe ;10;12
93;15;JAMBI;1502;150202;1502021013;Hotel Anisa ;HOTEL NON BINTANG;L;6;3,7;Standar, Deluxe, Superior ;35;75
94;15;JAMBI;1502;150202;1502021011;Losmen Bunda Arema ;HOTEL NON BINTANG;L;2;3,7;Standar, Deluxe, Superior ;14;28
95;15;JAMBI;1503;150303;1503031016;Beringin Penginapan ;HOTEL NON BINTANG;L;3;3,7;Standar, Deluxe, Superior ;25;41
96;15;JAMBI;1503;150303;1503031016;Tiga Putri Penginapan ;HOTEL NON BINTANG;L;4;3,7;Standar, Deluxe, Superior ;20;34
97;15;JAMBI;1503;150303;1503031016;Zalina Penginapan ;HOTEL NON BINTANG;L;5;3,7;Standar, Deluxe, Superior ;10;14
98;15;JAMBI;1503;150301;1503012011;Paniban Indah Hotel ;HOTEL NON BINTANG;L;1;3,7;Standar, Deluxe, Superior ;7;10
99;15;JAMBI;1503;150303;1503031026;Serantih Hotel ;HOTEL NON BINTANG;L;5;3,7;Standar, Deluxe, Superior ;5;5
100;15;JAMBI;1503;150303;1503031026;Ratu Hotel ;HOTEL NON BINTANG;L;0;3,7;Standar, Deluxe, Superior ;5;5
101;15;JAMBI;1503;150303;1503031026;Atika Hotel ;HOTEL NON BINTANG;L;9;3,7;Standar, Deluxe, Superior ;10;15
102;15;JAMBI;1503;150303;1503031026;Sayang Hotel ;HOTEL NON BINTANG;L;3;3,7;Standar, Deluxe, Superior ;22;28
103;15;JAMBI;1503;150303;1503031026;King Hotel ;HOTEL NON BINTANG;L;4;3,7;Standar, Deluxe, Superior ;17;23
104;15;JAMBI;1503;150303;1503031026;Nafiti Hotel ;HOTEL NON BINTANG;L;3;3,7;Standar, Deluxe, Superior ;15;20
105;15;JAMBI;1503;150303;1503031025;Golden Hotel ;HOTEL NON BINTANG;L;3;3,7;Standar, Deluxe, Superior ;13;19
106;15;JAMBI;1503;150303;1503031016;Abadi Hotel Sarolangun;HOTEL NON BINTANG;L;0;0;V.I.P Standar Ekonomi ;0;0
107;15;JAMBI;1503;150303;1503031025;Garden Hotel ;HOTEL NON BINTANG;L;0;0; Standar, Superior, Deluxe;0;0
108;15;JAMBI;1503;150303;1503032002;Surabaya Penginapan ;HOTEL NON BINTANG;L;0;0;Standar, Deluxe ;0;0
109;15;JAMBI;1504;150403;1504031005;Gemilang ;HOTEL NON BINTANG;L;0;0;Standar ;0;0
110;15;JAMBI;1504;150403;1504031004;Keluarga ;HOTEL NON BINTANG;L;0;0;Standar ;0;0
111;15;JAMBI;1504;150403;1504031001;PKK Wisma ;HOTEL NON BINTANG;L;0;0;Standar ;0;0
112;15;JAMBI;1504;150403;1504031005;Idola ;HOTEL NON BINTANG;L;0;0;Superior V.I.P Standar Ekonomi Plus Ekonomi ;0;0
113;15;JAMBI;1504;150403;1504031001;Penginapan Tugu Muda ;HOTEL NON BINTANG;L;0;0;V.I.P Standar Ekonomi ;0;0
114;15;JAMBI;1504;150402;1504021002;Penginapan Dhilla B&B ;HOTEL NON BINTANG;L;0;0;Suite Deluxe Superior Standar ;0;0
115;15;JAMBI;1504;150401;1504012016;Penginapan Amanah ;HOTEL NON BINTANG;L;0;0;Standar I Standar Ii Standar Iii;0;0
116;15;JAMBI;1505;150501;1505012013;Hotel La Rose ;HOTEL NON BINTANG;L;0;0;Standar, Superior, Standar Room;0;0
117;15;JAMBI;1506;150601;1506012006;Penginapan Rizal ;HOTEL NON BINTANG;L;0;0;Superior Room, Deluxe Room, Executive ;0;0
118;15;JAMBI;1506;150601;1506011005;Penginapan Berkah ;HOTEL NON BINTANG;L;0;0;Room Ac, Non AC;0;0
119;15;JAMBI;1507;150709;1507092005;Sinar Wajo ;HOTEL NON BINTANG;L;0;0;Deluxe Superior, V.I.P, Standar Ekonomi ,Plus Ekonomi ;0;0
120;15;JAMBI;1507;150702;1507021002;Kita Bersama ;HOTEL NON BINTANG;L;0;0;Vip Standar A, Standar B ;0;0
121;15;JAMBI;1507;150707;1507071004;Aulia ;HOTEL NON BINTANG;L;0;0;Executiv Superior ;0;0
122;15;JAMBI;1507;150707;1507071004;Putri ;HOTEL NON BINTANG;L;0;0;Deluxe, Standar ;0;0
123;15;JAMBI;1507;150707;1507071004;Ratu Masita ;HOTEL NON BINTANG;L;0;0;Deluxe Superior, Standar Ekonomi ;0;0
124;15;JAMBI;1506;150602;1506021006;Hotel Mulia ;HOTEL NON BINTANG;L;0;0;V.I.P Room, Standar Ekonomi ;0;0
125;15;JAMBI;1506;150602;1506021005;Hotel Mutiara Indah ;HOTEL NON BINTANG;L;0;0;Standar ;0;0
126;15;JAMBI;1506;150602;1506021004;Hotel Setia Jaya ;HOTEL NON BINTANG;L;0;0;Ekonomi, Standar, VIP;0;0
127;15;JAMBI;1506;150602;1506021016;Hotel Namber ;HOTEL NON BINTANG;L;0;0;Standar Ekonomi, Standar Bussines, Junior Bussines ;0;0
128;15;JAMBI;1506;150602;1506021004;Hotel Arriyadh ;HOTEL NON BINTANG;L;0;0;Standar Superior,Deluxe Junior Suite ;0;0
129;15;JAMBI;1506;150602;1506021005;Hotel Cahaya ;HOTEL NON BINTANG;L;0;0;Standar Junior Bisnis ;0;0
130;15;JAMBI;1506;150602;1506021004;Hotel Sungai Batang Indah;HOTEL NON BINTANG;L;0;0;Superior Deluxe ;0;0
131;15;JAMBI;1506;150602;1506021007;Penginapan Melati Jaya ;HOTEL NON BINTANG;L;0;0;Super Deluxe Deluxe Superior Standar;0;0
132;15;JAMBI;1506;150602;1506021017;Hotel City ;HOTEL NON BINTANG;L;0;0;Standar Superior Deluxe ;0;0
133;15;JAMBI;1506;150602;1506021004;Hotel Masa Kini ;HOTEL NON BINTANG;L;0;0;Deluxe, Standar ;0;0
134;15;JAMBI;1506;150602;1506021007;Penginapan Candi Agung ;HOTEL NON BINTANG;L;0;0;Ekonomi I Ekonomi Ii Standar Vip ;0;0
135;15;JAMBI;1506;150602;1506021007;Tungkal Hotel ;HOTEL NON BINTANG;L;0;0;Standar Room Superior Room Deluxe Room ;0;0
136;15;JAMBI;1506;150602;1506021017;Hotel Syariah ;HOTEL NON BINTANG;L;0;0;Standar Premium Superior Family ;0;0
