no;kode_provinsi;nama_provinsi;kode_kabupaten_kota;kode_kecamatan;kategori;data;semester;jumlah;satuan;tahun
111;15;JAMBI;1506;150611;PEREKAMAN KTP;WAJIB KTP;1;13749;JIWA;2022
112;15;JAMBI;1506;150612;PEREKAMAN KTP;WAJIB KTP;1;10083;JIWA;2022
113;15;JAMBI;1506;150605;PEREKAMAN KTP;WAJIB KTP;1;11323;JIWA;2022
114;15;JAMBI;1506;150609;PEREKAMAN KTP;WAJIB KTP;1;7346;JIWA;2022
115;15;JAMBI;1506;150603;PEREKAMAN KTP;WAJIB KTP;1;19381;JIWA;2022
116;15;JAMBI;1506;150608;PEREKAMAN KTP;WAJIB KTP;1;10775;JIWA;2022
117;15;JAMBI;1506;150610;PEREKAMAN KTP;WAJIB KTP;1;6762;JIWA;2022
118;15;JAMBI;1506;150613;PEREKAMAN KTP;WAJIB KTP;1;18536;JIWA;2022
119;15;JAMBI;1506;150606;PEREKAMAN KTP;WAJIB KTP;1;24606;JIWA;2022
120;15;JAMBI;1506;150602;PEREKAMAN KTP;WAJIB KTP;1;53289;JIWA;2022
121;15;JAMBI;1506;150601;PEREKAMAN KTP;WAJIB KTP;1;10113;JIWA;2022
122;15;JAMBI;1507;150711;PEREKAMAN KTP;WAJIB KTP;1;7774;JIWA;2022
123;15;JAMBI;1507;150706;PEREKAMAN KTP;WAJIB KTP;1;12452;JIWA;2022
124;15;JAMBI;1507;150710;PEREKAMAN KTP;WAJIB KTP;1;19337;JIWA;2022
125;15;JAMBI;1507;150708;PEREKAMAN KTP;WAJIB KTP;1;10831;JIWA;2022
126;15;JAMBI;1507;150703;PEREKAMAN KTP;WAJIB KTP;1;19656;JIWA;2022
127;15;JAMBI;1507;150709;PEREKAMAN KTP;WAJIB KTP;1;12028;JIWA;2022
128;15;JAMBI;1507;150707;PEREKAMAN KTP;WAJIB KTP;1;15831;JIWA;2022
129;15;JAMBI;1507;150701;PEREKAMAN KTP;WAJIB KTP;1;24237;JIWA;2022
130;15;JAMBI;1507;150702;PEREKAMAN KTP;WAJIB KTP;1;19501;JIWA;2022
131;15;JAMBI;1507;150704;PEREKAMAN KTP;WAJIB KTP;1;18965;JIWA;2022
132;15;JAMBI;1507;150705;PEREKAMAN KTP;WAJIB KTP;1;9560;JIWA;2022
133;15;JAMBI;1509;150912;PEREKAMAN KTP;WAJIB KTP;1;12883;JIWA;2022
134;15;JAMBI;1509;150904;PEREKAMAN KTP;WAJIB KTP;1;46672;JIWA;2022
135;15;JAMBI;1509;150908;PEREKAMAN KTP;WAJIB KTP;1;17766;JIWA;2022
136;15;JAMBI;1509;150907;PEREKAMAN KTP;WAJIB KTP;1;28100;JIWA;2022
137;15;JAMBI;1509;150910;PEREKAMAN KTP;WAJIB KTP;1;7455;JIWA;2022
138;15;JAMBI;1509;150905;PEREKAMAN KTP;WAJIB KTP;1;16870;JIWA;2022
139;15;JAMBI;1509;150902;PEREKAMAN KTP;WAJIB KTP;1;20801;JIWA;2022
140;15;JAMBI;1509;150901;PEREKAMAN KTP;WAJIB KTP;1;28766;JIWA;2022
141;15;JAMBI;1509;150903;PEREKAMAN KTP;WAJIB KTP;1;25079;JIWA;2022
142;15;JAMBI;1509;150909;PEREKAMAN KTP;WAJIB KTP;1;18826;JIWA;2022
143;15;JAMBI;1509;150906;PEREKAMAN KTP;WAJIB KTP;1;13941;JIWA;2022
144;15;JAMBI;1509;150911;PEREKAMAN KTP;WAJIB KTP;1;13144;JIWA;2022
145;15;JAMBI;1504;150407;PEREKAMAN KTP;REKAM KTP;1;27023;JIWA;2022
146;15;JAMBI;1504;150404;PEREKAMAN KTP;REKAM KTP;1;20727;JIWA;2022
147;15;JAMBI;1504;150408;PEREKAMAN KTP;REKAM KTP;1;10586;JIWA;2022
148;15;JAMBI;1504;150406;PEREKAMAN KTP;REKAM KTP;1;23514;JIWA;2022
149;15;JAMBI;1504;150401;PEREKAMAN KTP;REKAM KTP;1;21740;JIWA;2022
150;15;JAMBI;1504;150403;PEREKAMAN KTP;REKAM KTP;1;47100;JIWA;2022
151;15;JAMBI;1504;150402;PEREKAMAN KTP;REKAM KTP;1;22839;JIWA;2022
152;15;JAMBI;1504;150405;PEREKAMAN KTP;REKAM KTP;1;24629;JIWA;2022
153;15;JAMBI;1508;150815;PEREKAMAN KTP;REKAM KTP;1;6101;JIWA;2022
154;15;JAMBI;1508;150811;PEREKAMAN KTP;REKAM KTP;1;17600;JIWA;2022
155;15;JAMBI;1508;150814;PEREKAMAN KTP;REKAM KTP;1;6429;JIWA;2022
156;15;JAMBI;1508;150810;PEREKAMAN KTP;REKAM KTP;1;9577;JIWA;2022
157;15;JAMBI;1508;150812;PEREKAMAN KTP;REKAM KTP;1;18493;JIWA;2022
158;15;JAMBI;1508;150804;PEREKAMAN KTP;REKAM KTP;1;12633;JIWA;2022
159;15;JAMBI;1508;150816;PEREKAMAN KTP;REKAM KTP;1;7594;JIWA;2022
160;15;JAMBI;1508;150807;PEREKAMAN KTP;REKAM KTP;1;11429;JIWA;2022
161;15;JAMBI;1508;150808;PEREKAMAN KTP;REKAM KTP;1;10589;JIWA;2022
162;15;JAMBI;1508;150803;PEREKAMAN KTP;REKAM KTP;1;14649;JIWA;2022
163;15;JAMBI;1508;150806;PEREKAMAN KTP;REKAM KTP;1;23503;JIWA;2022
164;15;JAMBI;1508;150809;PEREKAMAN KTP;REKAM KTP;1;35353;JIWA;2022
165;15;JAMBI;1508;150802;PEREKAMAN KTP;REKAM KTP;1;7181;JIWA;2022
166;15;JAMBI;1508;150813;PEREKAMAN KTP;REKAM KTP;1;21878;JIWA;2022
167;15;JAMBI;1508;150805;PEREKAMAN KTP;REKAM KTP;1;16822;JIWA;2022
168;15;JAMBI;1508;150817;PEREKAMAN KTP;REKAM KTP;1;16891;JIWA;2022
169;15;JAMBI;1508;150801;PEREKAMAN KTP;REKAM KTP;1;10804;JIWA;2022
170;15;JAMBI;1501;150105;PEREKAMAN KTP;REKAM KTP;1;8983;JIWA;2022
171;15;JAMBI;1501;150121;PEREKAMAN KTP;REKAM KTP;1;7676;JIWA;2022
172;15;JAMBI;1501;150111;PEREKAMAN KTP;REKAM KTP;1;15678;JIWA;2022
173;15;JAMBI;1501;150107;PEREKAMAN KTP;REKAM KTP;1;8969;JIWA;2022
174;15;JAMBI;1501;150120;PEREKAMAN KTP;REKAM KTP;1;9864;JIWA;2022
175;15;JAMBI;1501;150102;PEREKAMAN KTP;REKAM KTP;1;9943;JIWA;2022
176;15;JAMBI;1501;150123;PEREKAMAN KTP;REKAM KTP;1;9666;JIWA;2022
177;15;JAMBI;1501;150117;PEREKAMAN KTP;REKAM KTP;1;13028;JIWA;2022
178;15;JAMBI;1501;150106;PEREKAMAN KTP;REKAM KTP;1;9299;JIWA;2022
179;15;JAMBI;1501;150101;PEREKAMAN KTP;REKAM KTP;1;6513;JIWA;2022
180;15;JAMBI;1501;150115;PEREKAMAN KTP;REKAM KTP;1;10741;JIWA;2022
181;15;JAMBI;1501;150109;PEREKAMAN KTP;REKAM KTP;1;14210;JIWA;2022
182;15;JAMBI;1501;150119;PEREKAMAN KTP;REKAM KTP;1;15311;JIWA;2022
183;15;JAMBI;1501;150108;PEREKAMAN KTP;REKAM KTP;1;10362;JIWA;2022
184;15;JAMBI;1501;150104;PEREKAMAN KTP;REKAM KTP;1;7788;JIWA;2022
185;15;JAMBI;1501;150116;PEREKAMAN KTP;REKAM KTP;1;16929;JIWA;2022
186;15;JAMBI;1501;150118;PEREKAMAN KTP;REKAM KTP;1;8694;JIWA;2022
187;15;JAMBI;1501;150122;PEREKAMAN KTP;REKAM KTP;1;7226;JIWA;2022
188;15;JAMBI;1571;157109;PEREKAMAN KTP;REKAM KTP;1;77260;JIWA;2022
189;15;JAMBI;1571;157110;PEREKAMAN KTP;REKAM KTP;1;30979;JIWA;2022
190;15;JAMBI;1571;157106;PEREKAMAN KTP;REKAM KTP;1;9330;JIWA;2022
