NO;kode_provinsi;nama_provinsi;kode_kabupaten_kota;kode_kecamatan;kategori;data;satuan;semester;jumlah_penduduk;tahun
714;15;JAMBI;1502;150218;AKTA LAHIR;BELUM MEMILIKI;JIWA;2;6;2022
76;15;JAMBI;1502;150219;AKTA LAHIR;MEMILIKI;JIWA;1;4047;2022
220;15;JAMBI;1502;150219;AKTA LAHIR;BELUM MEMILIKI;JIWA;1;262;2022
364;15;JAMBI;1502;150219;AKTA LAHIR;UMUR 0-18;JIWA;1;4309;2022
691;15;JAMBI;1502;150219;AKTA LAHIR;MEMILIKI;JIWA;2;4282;2022
715;15;JAMBI;1502;150219;AKTA LAHIR;BELUM MEMILIKI;JIWA;2;9;2022
74;15;JAMBI;1502;150220;AKTA LAHIR;MEMILIKI;JIWA;1;3181;2022
218;15;JAMBI;1502;150220;AKTA LAHIR;BELUM MEMILIKI;JIWA;1;259;2022
362;15;JAMBI;1502;150220;AKTA LAHIR;UMUR 0-18;JIWA;1;3440;2022
692;15;JAMBI;1502;150220;AKTA LAHIR;MEMILIKI;JIWA;2;3449;2022
716;15;JAMBI;1502;150220;AKTA LAHIR;BELUM MEMILIKI;JIWA;2;1;2022
69;15;JAMBI;1502;150221;AKTA LAHIR;MEMILIKI;JIWA;1;3608;2022
213;15;JAMBI;1502;150221;AKTA LAHIR;BELUM MEMILIKI;JIWA;1;351;2022
357;15;JAMBI;1502;150221;AKTA LAHIR;UMUR 0-18;JIWA;1;3959;2022
693;15;JAMBI;1502;150221;AKTA LAHIR;MEMILIKI;JIWA;2;3933;2022
717;15;JAMBI;1502;150221;AKTA LAHIR;BELUM MEMILIKI;JIWA;2;16;2022
82;15;JAMBI;1502;150222;AKTA LAHIR;MEMILIKI;JIWA;1;2306;2022
226;15;JAMBI;1502;150222;AKTA LAHIR;BELUM MEMILIKI;JIWA;1;237;2022
370;15;JAMBI;1502;150222;AKTA LAHIR;UMUR 0-18;JIWA;1;2543;2022
694;15;JAMBI;1502;150222;AKTA LAHIR;MEMILIKI;JIWA;2;2529;2022
718;15;JAMBI;1502;150222;AKTA LAHIR;BELUM MEMILIKI;JIWA;2;10;2022
80;15;JAMBI;1502;150223;AKTA LAHIR;MEMILIKI;JIWA;1;2847;2022
224;15;JAMBI;1502;150223;AKTA LAHIR;BELUM MEMILIKI;JIWA;1;202;2022
368;15;JAMBI;1502;150223;AKTA LAHIR;UMUR 0-18;JIWA;1;3049;2022
695;15;JAMBI;1502;150223;AKTA LAHIR;MEMILIKI;JIWA;2;3060;2022
719;15;JAMBI;1502;150223;AKTA LAHIR;BELUM MEMILIKI;JIWA;2;7;2022
86;15;JAMBI;1502;150224;AKTA LAHIR;MEMILIKI;JIWA;1;1236;2022
230;15;JAMBI;1502;150224;AKTA LAHIR;BELUM MEMILIKI;JIWA;1;99;2022
374;15;JAMBI;1502;150224;AKTA LAHIR;UMUR 0-18;JIWA;1;1335;2022
696;15;JAMBI;1502;150224;AKTA LAHIR;MEMILIKI;JIWA;2;1329;2022
720;15;JAMBI;1502;150224;AKTA LAHIR;BELUM MEMILIKI;JIWA;2;1;2022
99;15;JAMBI;1503;150301;AKTA LAHIR;MEMILIKI;JIWA;1;5945;2022
243;15;JAMBI;1503;150301;AKTA LAHIR;BELUM MEMILIKI;JIWA;1;286;2022
387;15;JAMBI;1503;150301;AKTA LAHIR;UMUR 0-18;JIWA;1;6231;2022
651;15;JAMBI;1503;150301;AKTA LAHIR;MEMILIKI;JIWA;2;6233;2022
662;15;JAMBI;1503;150301;AKTA LAHIR;BELUM MEMILIKI;JIWA;2;282;2022
102;15;JAMBI;1503;150302;AKTA LAHIR;MEMILIKI;JIWA;1;5858;2022
246;15;JAMBI;1503;150302;AKTA LAHIR;BELUM MEMILIKI;JIWA;1;316;2022
390;15;JAMBI;1503;150302;AKTA LAHIR;UMUR 0-18;JIWA;1;6174;2022
652;15;JAMBI;1503;150302;AKTA LAHIR;MEMILIKI;JIWA;2;6104;2022
663;15;JAMBI;1503;150302;AKTA LAHIR;BELUM MEMILIKI;JIWA;2;280;2022
107;15;JAMBI;1503;150303;AKTA LAHIR;MEMILIKI;JIWA;1;18863;2022
251;15;JAMBI;1503;150303;AKTA LAHIR;BELUM MEMILIKI;JIWA;1;571;2022
395;15;JAMBI;1503;150303;AKTA LAHIR;UMUR 0-18;JIWA;1;19434;2022
653;15;JAMBI;1503;150303;AKTA LAHIR;MEMILIKI;JIWA;2;18746;2022
