id;kode_provinsi;nama_provinsi;kode_kabupaten_kota;kode_kecamatan;tanggal_kejadian;kategori_terdampak_bencana;keterangan;satuan;jumlah_kejadian; jumlah_kerugian ;tahun
89;15;JAMBI ;1501;150115;01/02/2025;KERUSAKAN;RUMAH TERENDAM;UNIT;2;Rp0,00;2025
90;15;JAMBI ;1501;150115;01/02/2025;KERUSAKAN;SARANA PENDIDIKAN;UNIT;0;Rp0,00;2025
91;15;JAMBI ;1501;150115;01/02/2025;KERUSAKAN;SARANA IBADAH;UNIT;0;Rp0,00;2025
92;15;JAMBI ;1501;150115;01/02/2025;KERUSAKAN;SARANA KESEHATAN;UNIT;0;Rp0,00;2025
93;15;JAMBI ;1501;150115;01/02/2025;KERUSAKAN;PERKANTORAN;UNIT;0;Rp0,00;2025
94;15;JAMBI ;1501;150115;01/02/2025;KERUSAKAN;BANGUNAN LAIN;UNIT;0;Rp0,00;2025
95;15;JAMBI ;1501;150115;01/02/2025;KERUSAKAN;JEMBATAN;UNIT;0;Rp0,00;2025
96;15;JAMBI ;1501;150115;01/02/2025;KERUSAKAN;JALAN;KM;0;Rp0,00;2025
97;15;JAMBI ;1501;150115;01/02/2025;KERUSAKAN;SAWAH;HA;0;Rp0,00;2025
98;15;JAMBI ;1501;150115;01/02/2025;KERUSAKAN;KEBUN/HUTAN;HA;0;Rp0,00;2025
99;15;JAMBI ;1501;150115;01/02/2025;KERUSAKAN;KOLAM;HA;0;Rp0,00;2025
100;15;JAMBI ;1501;150115;01/02/2025;KERUSAKAN;IRIGASI;HA;0;Rp0,00;2025
101;15;JAMBI ;1507;150701;17/03/2025;KORBAN;MENINGGAL;JIWA;0;0;2025
102;15;JAMBI ;1507;150701;17/03/2025;KORBAN;HILANG;JIWA;0;0;2025
103;15;JAMBI ;1507;150701;17/03/2025;KORBAN;LUKA;JIWA;0;0;2025
104;15;JAMBI ;1507;150701;17/03/2025;KORBAN;MENDERITA;JIWA;0;0;2025
